location,date,age_group,target,value,population,value_numeric
49,2023-09-30,0-130,rate hosp,0.1,3376238.0,0.1
49,2023-09-30,0-130,inc hosp,3.376238,3376238.0,3.376238
49,2023-09-23,0-130,rate hosp,0.0,3376238.0,0.0
49,2023-09-23,0-130,inc hosp,0.0,3376238.0,0.0
49,2023-09-16,0-130,rate hosp,0.1,3376238.0,0.1
49,2023-09-16,0-130,inc hosp,3.376238,3376238.0,3.376238
49,2023-09-09,0-130,rate hosp,0.1,3376238.0,0.1
49,2023-09-09,0-130,inc hosp,3.376238,3376238.0,3.376238
49,2023-09-02,0-130,rate hosp,0.1,3376238.0,0.1
49,2023-09-02,0-130,inc hosp,3.376238,3376238.0,3.376238
49,2023-08-26,0-130,rate hosp,0.0,3376238.0,0.0
49,2023-08-26,0-130,inc hosp,0.0,3376238.0,0.0
49,2023-08-19,0-130,rate hosp,0.1,3376238.0,0.1
49,2023-08-19,0-130,inc hosp,3.376238,3376238.0,3.376238
49,2023-08-12,0-130,rate hosp,0.0,3376238.0,0.0
49,2023-08-12,0-130,inc hosp,0.0,3376238.0,0.0
49,2023-08-05,0-130,rate hosp,0.0,3376238.0,0.0
49,2023-08-05,0-130,inc hosp,0.0,3376238.0,0.0
49,2023-07-29,0-130,rate hosp,0.0,3376238.0,0.0
49,2023-07-29,0-130,inc hosp,0.0,3376238.0,0.0
49,2023-07-22,0-130,rate hosp,0.0,3376238.0,0.0
49,2023-07-22,0-130,inc hosp,0.0,3376238.0,0.0
49,2023-07-15,0-130,rate hosp,0.0,3376238.0,0.0
49,2023-07-15,0-130,inc hosp,0.0,3376238.0,0.0
49,2023-07-08,0-130,rate hosp,0.0,3376238.0,0.0
49,2023-07-08,0-130,inc hosp,0.0,3376238.0,0.0
49,2023-07-01,0-130,rate hosp,0.0,3376238.0,0.0
49,2023-07-01,0-130,inc hosp,0.0,3376238.0,0.0
49,2023-06-24,0-130,rate hosp,0.0,3376238.0,0.0
49,2023-06-24,0-130,inc hosp,0.0,3376238.0,0.0
49,2023-06-17,0-130,rate hosp,0.1,3376238.0,0.1
49,2023-06-17,0-130,inc hosp,3.376238,3376238.0,3.376238
49,2023-06-10,0-130,rate hosp,0.0,3376238.0,0.0
49,2023-06-10,0-130,inc hosp,0.0,3376238.0,0.0
49,2023-06-03,0-130,rate hosp,0.1,3376238.0,0.1
49,2023-06-03,0-130,inc hosp,3.376238,3376238.0,3.376238
49,2023-05-27,0-130,rate hosp,0.1,3376238.0,0.1
49,2023-05-27,0-130,inc hosp,3.376238,3376238.0,3.376238
49,2023-05-20,0-130,rate hosp,0.0,3376238.0,0.0
49,2023-05-20,0-130,inc hosp,0.0,3376238.0,0.0
49,2023-05-13,0-130,rate hosp,0.1,3376238.0,0.1
49,2023-05-13,0-130,inc hosp,3.376238,3376238.0,3.376238
49,2023-05-06,0-130,rate hosp,0.0,3376238.0,0.0
49,2023-05-06,0-130,inc hosp,0.0,3376238.0,0.0
49,2023-04-29,0-130,rate hosp,0.0,3376238.0,0.0
49,2023-04-29,0-130,inc hosp,0.0,3376238.0,0.0
49,2023-04-22,0-130,rate hosp,0.3,3376238.0,0.3
49,2023-04-22,0-130,inc hosp,10.128714,3376238.0,10.128714
49,2023-04-15,0-130,rate hosp,0.0,3376238.0,0.0
49,2023-04-15,0-130,inc hosp,0.0,3376238.0,0.0
49,2023-04-08,0-130,rate hosp,0.0,3376238.0,0.0
49,2023-04-08,0-130,inc hosp,0.0,3376238.0,0.0
49,2023-04-01,0-130,rate hosp,0.2,3376238.0,0.2
49,2023-04-01,0-130,inc hosp,6.752476,3376238.0,6.752476
