"scenario_id","value","type_id","model_name","horizon","target_end_date","age_group"
1,16.5557791411,0.01,1,1,2023-11-18,"0-0.99"
1,33.6599410724,0.025,1,1,2023-11-18,"0-0.99"
1,58.5767079642,0.05,1,1,2023-11-18,"0-0.99"
1,79.217693702,0.1,1,1,2023-11-18,"0-0.99"
1,115.9076301149,0.25,1,1,2023-11-18,"0-0.99"
1,163.8444635214,0.5,1,1,2023-11-18,"0-0.99"
1,221.1041528985,0.75,1,1,2023-11-18,"0-0.99"
1,327.5502511773,0.9,1,1,2023-11-18,"0-0.99"
1,417.2971685546,0.95,1,1,2023-11-18,"0-0.99"
1,488.1112130779,0.975,1,1,2023-11-18,"0-0.99"
1,551.8250090672,0.99,1,1,2023-11-18,"0-0.99"
1,142.1378755906,0.01,1,1,2023-11-18,"0-130"
1,171.3954319956,0.025,1,1,2023-11-18,"0-130"
1,209.7329800615,0.05,1,1,2023-11-18,"0-130"
1,263.8473030444,0.1,1,1,2023-11-18,"0-130"
1,339.3235094175,0.25,1,1,2023-11-18,"0-130"
1,530.1703034544,0.5,1,1,2023-11-18,"0-130"
1,713.0424078189,0.75,1,1,2023-11-18,"0-130"
1,1082.9484874345,0.9,1,1,2023-11-18,"0-130"
1,1434.6135617486,0.95,1,1,2023-11-18,"0-130"
1,1704.6684427326,0.975,1,1,2023-11-18,"0-130"
1,1762.3864901747,0.99,1,1,2023-11-18,"0-130"
1,12.584754769,0.01,1,1,2023-11-18,"1-4"
1,15.5137362948,0.025,1,1,2023-11-18,"1-4"
1,23.7001447634,0.05,1,1,2023-11-18,"1-4"
1,35.5890821425,0.1,1,1,2023-11-18,"1-4"
1,67.5916390508,0.25,1,1,2023-11-18,"1-4"
1,109.9112348466,0.5,1,1,2023-11-18,"1-4"
1,149.0747434751,0.75,1,1,2023-11-18,"1-4"
1,213.7197832862,0.9,1,1,2023-11-18,"1-4"
1,276.4784721878,0.95,1,1,2023-11-18,"1-4"
1,328.9064114265,0.975,1,1,2023-11-18,"1-4"
1,370.522662091,0.99,1,1,2023-11-18,"1-4"
1,11.8221359373,0.01,1,1,2023-11-18,"5-64"
1,28.9893334087,0.025,1,1,2023-11-18,"5-64"
1,48.294626251,0.05,1,1,2023-11-18,"5-64"
1,56.7712303444,0.1,1,1,2023-11-18,"5-64"
1,79.9130147809,0.25,1,1,2023-11-18,"5-64"
1,116.8169912445,0.5,1,1,2023-11-18,"5-64"
1,148.3447420681,0.75,1,1,2023-11-18,"5-64"
1,187.1767906851,0.9,1,1,2023-11-18,"5-64"
1,231.5602487779,0.95,1,1,2023-11-18,"5-64"
1,262.1384844264,0.975,1,1,2023-11-18,"5-64"
1,303.5934,0.99,1,1,2023-11-18,"5-64"
1,7.2992869917,0.01,1,1,2023-11-18,"65-130"
1,17.7693587331,0.025,1,1,2023-11-18,"65-130"
1,22.3911109386,0.05,1,1,2023-11-18,"65-130"
1,30.0960542939,0.1,1,1,2023-11-18,"65-130"
1,68.0016762131,0.25,1,1,2023-11-18,"65-130"
1,134.842555621,0.5,1,1,2023-11-18,"65-130"
1,183.8142103727,0.75,1,1,2023-11-18,"65-130"
1,247.1158091845,0.9,1,1,2023-11-18,"65-130"
1,324.6379371763,0.95,1,1,2023-11-18,"65-130"
1,426.437,0.975,1,1,2023-11-18,"65-130"
1,506.5386,0.99,1,1,2023-11-18,"65-130"
1,11.6367264906,0.01,2,1,2023-11-18,"0-0.99"
1,18.9527807738,0.025,2,1,2023-11-18,"0-0.99"
1,29.5958380078,0.05,2,1,2023-11-18,"0-0.99"
1,62.6895719311,0.1,2,1,2023-11-18,"0-0.99"
1,111.5353933806,0.25,2,1,2023-11-18,"0-0.99"
1,164.4919095641,0.5,2,1,2023-11-18,"0-0.99"
1,243.8895725511,0.75,2,1,2023-11-18,"0-0.99"
1,405.3725289754,0.9,2,1,2023-11-18,"0-0.99"
1,489.9934517283,0.95,2,1,2023-11-18,"0-0.99"
1,550.9879215085,0.975,2,1,2023-11-18,"0-0.99"
1,578.1936611708,0.99,2,1,2023-11-18,"0-0.99"
1,63.818166616,0.01,2,1,2023-11-18,"0-130"
1,85.0257867133,0.025,2,1,2023-11-18,"0-130"
1,143.3185974441,0.05,2,1,2023-11-18,"0-130"
1,221.6417799164,0.1,2,1,2023-11-18,"0-130"
1,325.7614330846,0.25,2,1,2023-11-18,"0-130"
1,530.1703034544,0.5,2,1,2023-11-18,"0-130"
1,781.2922385453,0.75,2,1,2023-11-18,"0-130"
1,1360.0444177071,0.9,2,1,2023-11-18,"0-130"
1,1607.2719125606,0.95,2,1,2023-11-18,"0-130"
1,1746.5777243072,0.975,2,1,2023-11-18,"0-130"
1,2058.1,0.99,2,1,2023-11-18,"0-130"
1,8.7511179523,0.01,2,1,2023-11-18,"1-4"
1,13.6479583824,0.025,2,1,2023-11-18,"1-4"
1,18.3071205726,0.05,2,1,2023-11-18,"1-4"
1,29.9742067609,0.1,2,1,2023-11-18,"1-4"
1,59.0240003301,0.25,2,1,2023-11-18,"1-4"
1,109.9112348466,0.5,2,1,2023-11-18,"1-4"
1,161.2475796769,0.75,2,1,2023-11-18,"1-4"
1,426.5197511223,0.9,2,1,2023-11-18,"1-4"
1,683,0.95,2,1,2023-11-18,"1-4"
1,797.25,0.975,2,1,2023-11-18,"1-4"
1,866.2,0.99,2,1,2023-11-18,"1-4"
1,7.0947460029,0.01,2,1,2023-11-18,"5-64"
1,14.6311013707,0.025,2,1,2023-11-18,"5-64"
1,24.0783969503,0.05,2,1,2023-11-18,"5-64"
1,50.825257814,0.1,2,1,2023-11-18,"5-64"
1,75.5819669784,0.25,2,1,2023-11-18,"5-64"
1,116.8169912445,0.5,2,1,2023-11-18,"5-64"
1,153.4811540472,0.75,2,1,2023-11-18,"5-64"
1,224.1492932025,0.9,2,1,2023-11-18,"5-64"
1,295.1889168068,0.95,2,1,2023-11-18,"5-64"
1,418,0.975,2,1,2023-11-18,"5-64"
1,689.2,0.99,2,1,2023-11-18,"5-64"
1,5.4415329749,0.01,2,1,2023-11-18,"65-130"
1,10.9230409193,0.025,2,1,2023-11-18,"65-130"
1,15.523481567,0.05,2,1,2023-11-18,"65-130"
1,21.3557970782,0.1,2,1,2023-11-18,"65-130"
1,48.5142762886,0.25,2,1,2023-11-18,"65-130"
1,134.4744662151,0.5,2,1,2023-11-18,"65-130"
1,190.6040680284,0.75,2,1,2023-11-18,"65-130"
1,289.7898699587,0.9,2,1,2023-11-18,"65-130"
1,403.8347572213,0.95,2,1,2023-11-18,"65-130"
1,505.4859044046,0.975,2,1,2023-11-18,"65-130"
1,627.4,0.99,2,1,2023-11-18,"65-130"
1,64.9005406685,0.01,3,1,2023-11-18,"0-0.99"
1,70.6208086758,0.025,3,1,2023-11-18,"0-0.99"
1,79.9825598083,0.05,3,1,2023-11-18,"0-0.99"
1,100.004775,0.1,3,1,2023-11-18,"0-0.99"
1,118.70585,0.25,3,1,2023-11-18,"0-0.99"
1,162.45885,0.5,3,1,2023-11-18,"0-0.99"
1,195.6403721101,0.75,3,1,2023-11-18,"0-0.99"
1,224.4213510136,0.9,3,1,2023-11-18,"0-0.99"
1,239.1469733343,0.95,3,1,2023-11-18,"0-0.99"
1,256.0668995315,0.975,3,1,2023-11-18,"0-0.99"
1,267.481302645,0.99,3,1,2023-11-18,"0-0.99"
1,233.5865898334,0.01,3,1,2023-11-18,"0-130"
1,241.9459625,0.025,3,1,2023-11-18,"0-130"
1,251.070475,0.05,3,1,2023-11-18,"0-130"
1,275.1095391666,0.1,3,1,2023-11-18,"0-130"
1,380.68615,0.25,3,1,2023-11-18,"0-130"
1,536.897771213,0.5,3,1,2023-11-18,"0-130"
1,648.2604615378,0.75,3,1,2023-11-18,"0-130"
1,722.5607988879,0.9,3,1,2023-11-18,"0-130"
1,773.3169673526,0.95,3,1,2023-11-18,"0-130"
1,814.2981719953,0.975,3,1,2023-11-18,"0-130"
1,844.0193297314,0.99,3,1,2023-11-18,"0-130"
1,37.7567937757,0.01,3,1,2023-11-18,"1-4"
1,53.18465625,0.025,3,1,2023-11-18,"1-4"
1,56.7059686606,0.05,3,1,2023-11-18,"1-4"
1,61.1489875,0.1,3,1,2023-11-18,"1-4"
1,80.77965,0.25,3,1,2023-11-18,"1-4"
1,114.3207654577,0.5,3,1,2023-11-18,"1-4"
1,136.9585126426,0.75,3,1,2023-11-18,"1-4"
1,157.1742299456,0.9,3,1,2023-11-18,"1-4"
1,169.8793146077,0.95,3,1,2023-11-18,"1-4"
1,188.9456071304,0.975,3,1,2023-11-18,"1-4"
1,201.9029854186,0.99,3,1,2023-11-18,"1-4"
1,40.7692857143,0.01,3,1,2023-11-18,"5-64"
1,50.52055,0.025,3,1,2023-11-18,"5-64"
1,54.3881785714,0.05,3,1,2023-11-18,"5-64"
1,62.573675597,0.1,3,1,2023-11-18,"5-64"
1,89.1861870552,0.25,3,1,2023-11-18,"5-64"
1,114.7176740006,0.5,3,1,2023-11-18,"5-64"
1,148.3251254195,0.75,3,1,2023-11-18,"5-64"
1,159.9873180655,0.9,3,1,2023-11-18,"5-64"
1,169.0883270257,0.95,3,1,2023-11-18,"5-64"
1,177.5820286137,0.975,3,1,2023-11-18,"5-64"
1,188.32674,0.99,3,1,2023-11-18,"5-64"
1,14.9928571429,0.01,3,1,2023-11-18,"65-130"
1,17.5392857143,0.025,3,1,2023-11-18,"65-130"
1,24.5857142857,0.05,3,1,2023-11-18,"65-130"
1,61.13215,0.1,3,1,2023-11-18,"65-130"
1,104.3667152115,0.25,3,1,2023-11-18,"65-130"
1,145.3793257692,0.5,3,1,2023-11-18,"65-130"
1,176.7920260324,0.75,3,1,2023-11-18,"65-130"
1,198.1,0.9,3,1,2023-11-18,"65-130"
1,230.7,0.95,3,1,2023-11-18,"65-130"
1,251.3375,0.975,3,1,2023-11-18,"65-130"
1,267.665,0.99,3,1,2023-11-18,"65-130"
1,57.9357142857,0.01,4,1,2023-11-18,"0-0.99"
1,62.6642857143,0.025,4,1,2023-11-18,"0-0.99"
1,65.3642857143,0.05,4,1,2023-11-18,"0-0.99"
1,74.6285714286,0.1,4,1,2023-11-18,"0-0.99"
1,99.8214285714,0.25,4,1,2023-11-18,"0-0.99"
1,131.5714285714,0.5,4,1,2023-11-18,"0-0.99"
1,170.7142857143,0.75,4,1,2023-11-18,"0-0.99"
1,210.6714285714,0.9,4,1,2023-11-18,"0-0.99"
1,234.2714285714,0.95,4,1,2023-11-18,"0-0.99"
1,258.3142857143,0.975,4,1,2023-11-18,"0-0.99"
1,278.2342857143,0.99,4,1,2023-11-18,"0-0.99"
1,152.3485714286,0.01,4,1,2023-11-18,"0-130"
1,170.1428571429,0.025,4,1,2023-11-18,"0-130"
1,180.5071428571,0.05,4,1,2023-11-18,"0-130"
1,207.8142857143,0.1,4,1,2023-11-18,"0-130"
1,264.1071428571,0.25,4,1,2023-11-18,"0-130"
1,333.5,0.5,4,1,2023-11-18,"0-130"
1,405.8571428571,0.75,4,1,2023-11-18,"0-130"
1,479.2571428571,0.9,4,1,2023-11-18,"0-130"
1,522.6,0.95,4,1,2023-11-18,"0-130"
1,565.3035714286,0.975,4,1,2023-11-18,"0-130"
1,598.2885714286,0.99,4,1,2023-11-18,"0-130"
1,10.8314285714,0.01,4,1,2023-11-18,"1-4"
1,12.1071428571,0.025,4,1,2023-11-18,"1-4"
1,15.35,0.05,4,1,2023-11-18,"1-4"
1,17.2571428571,0.1,4,1,2023-11-18,"1-4"
1,26.3928571429,0.25,4,1,2023-11-18,"1-4"
1,35.7142857143,0.5,4,1,2023-11-18,"1-4"
1,49.2142857143,0.75,4,1,2023-11-18,"1-4"
1,59.7142857143,0.9,4,1,2023-11-18,"1-4"
1,68.5214285714,0.95,4,1,2023-11-18,"1-4"
1,80.6464285714,0.975,4,1,2023-11-18,"1-4"
1,85.8885714286,0.99,4,1,2023-11-18,"1-4"
1,40.5685714286,0.01,4,1,2023-11-18,"5-64"
1,47.9,0.025,4,1,2023-11-18,"5-64"
1,55.1428571429,0.05,4,1,2023-11-18,"5-64"
1,66.2714285714,0.1,4,1,2023-11-18,"5-64"
1,79.25,0.25,4,1,2023-11-18,"5-64"
1,99.7857142857,0.5,4,1,2023-11-18,"5-64"
1,130.8214285714,0.75,4,1,2023-11-18,"5-64"
1,152.0857142857,0.9,4,1,2023-11-18,"5-64"
1,160.6642857143,0.95,4,1,2023-11-18,"5-64"
1,170.2392857143,0.975,4,1,2023-11-18,"5-64"
1,174.4942857143,0.99,4,1,2023-11-18,"5-64"
1,13.9957142857,0.01,4,1,2023-11-18,"65-130"
1,18.1285714286,0.025,4,1,2023-11-18,"65-130"
1,20.2714285714,0.05,4,1,2023-11-18,"65-130"
1,22.5142857143,0.1,4,1,2023-11-18,"65-130"
1,28.8928571429,0.25,4,1,2023-11-18,"65-130"
1,36.5,0.5,4,1,2023-11-18,"65-130"
1,48.6071428571,0.75,4,1,2023-11-18,"65-130"
1,63.6428571429,0.9,4,1,2023-11-18,"65-130"
1,69.8071428571,0.95,4,1,2023-11-18,"65-130"
1,74.8571428571,0.975,4,1,2023-11-18,"65-130"
1,75.0042857143,0.99,4,1,2023-11-18,"65-130"
1,250.92,0.01,5,1,2023-11-18,"0-0.99"
1,259.75,0.025,5,1,2023-11-18,"0-0.99"
1,309.4,0.05,5,1,2023-11-18,"0-0.99"
1,334.9,0.1,5,1,2023-11-18,"0-0.99"
1,372.75,0.25,5,1,2023-11-18,"0-0.99"
1,412.5,0.5,5,1,2023-11-18,"0-0.99"
1,528.5,0.75,5,1,2023-11-18,"0-0.99"
1,561,0.9,5,1,2023-11-18,"0-0.99"
1,573.5,0.95,5,1,2023-11-18,"0-0.99"
1,586.525,0.975,5,1,2023-11-18,"0-0.99"
1,765.12,0.99,5,1,2023-11-18,"0-0.99"
1,951.95,0.01,5,1,2023-11-18,"0-130"
1,955.325,0.025,5,1,2023-11-18,"0-130"
