"scenario_id","value","type_id","model_name","horizon","target_end_date","age_group"
1,2.6166631393,0.01,1,1,2023-11-18,"0-0.99"
1,5.8224506996,0.025,1,1,2023-11-18,"0-0.99"
1,8.7299873178,0.05,1,1,2023-11-18,"0-0.99"
1,11.7176496903,0.1,1,1,2023-11-18,"0-0.99"
1,16.56087992,0.25,1,1,2023-11-18,"0-0.99"
1,31.4674690486,0.5,1,1,2023-11-18,"0-0.99"
1,44.5289874277,0.75,1,1,2023-11-18,"0-0.99"
1,54.462268752,0.9,1,1,2023-11-18,"0-0.99"
1,62.7007872173,0.95,1,1,2023-11-18,"0-0.99"
1,69.5612365872,0.975,1,1,2023-11-18,"0-0.99"
1,79.6709618308,0.99,1,1,2023-11-18,"0-0.99"
1,3.7228571428,0.01,1,1,2023-11-18,"0-130"
1,9.9026346712,0.025,1,1,2023-11-18,"0-130"
1,20.8384833035,0.05,1,1,2023-11-18,"0-130"
1,36.481409508,0.1,1,1,2023-11-18,"0-130"
1,55.2232326684,0.25,1,1,2023-11-18,"0-130"
1,101.2985635133,0.5,1,1,2023-11-18,"0-130"
1,127.1702696878,0.75,1,1,2023-11-18,"0-130"
1,163.5404381232,0.9,1,1,2023-11-18,"0-130"
1,208.8266599739,0.95,1,1,2023-11-18,"0-130"
1,251.4540767152,0.975,1,1,2023-11-18,"0-130"
1,312.4820029862,0.99,1,1,2023-11-18,"0-130"
1,0,0.01,1,1,2023-11-18,"1-4"
1,0,0.025,1,1,2023-11-18,"1-4"
1,0,0.05,1,1,2023-11-18,"1-4"
1,8.9428366353,0.1,1,1,2023-11-18,"1-4"
1,19.5255487278,0.25,1,1,2023-11-18,"1-4"
1,31.0809863287,0.5,1,1,2023-11-18,"1-4"
1,47.9167490751,0.75,1,1,2023-11-18,"1-4"
1,70.6759096924,0.9,1,1,2023-11-18,"1-4"
1,87.2004003857,0.95,1,1,2023-11-18,"1-4"
1,102.4991259863,0.975,1,1,2023-11-18,"1-4"
1,126.4429218167,0.99,1,1,2023-11-18,"1-4"
1,0,0.01,1,1,2023-11-18,"5-64"
1,0,0.025,1,1,2023-11-18,"5-64"
1,0.0680525401,0.05,1,1,2023-11-18,"5-64"
1,4.4974813179,0.1,1,1,2023-11-18,"5-64"
1,7.4039361203,0.25,1,1,2023-11-18,"5-64"
1,14.9799414991,0.5,1,1,2023-11-18,"5-64"
1,19.842986694,0.75,1,1,2023-11-18,"5-64"
1,33.0661620056,0.9,1,1,2023-11-18,"5-64"
1,41.5315680204,0.95,1,1,2023-11-18,"5-64"
1,49.1679739604,0.975,1,1,2023-11-18,"5-64"
1,59.7844275825,0.99,1,1,2023-11-18,"5-64"
1,0,0.01,1,1,2023-11-18,"65-130"
1,0,0.025,1,1,2023-11-18,"65-130"
1,0,0.05,1,1,2023-11-18,"65-130"
1,1.7353803028,0.1,1,1,2023-11-18,"65-130"
1,3.9081467078,0.25,1,1,2023-11-18,"65-130"
1,9.7798244242,0.5,1,1,2023-11-18,"65-130"
1,15.9273697645,0.75,1,1,2023-11-18,"65-130"
1,24.1589196775,0.9,1,1,2023-11-18,"65-130"
1,32.1755371656,0.95,1,1,2023-11-18,"65-130"
1,50.805,0.975,1,1,2023-11-18,"65-130"
1,65.125,0.99,1,1,2023-11-18,"65-130"
1,0,0.01,2,1,2023-11-18,"0-0.99"
1,0,0.025,2,1,2023-11-18,"0-0.99"
1,1.155571556,0.05,2,1,2023-11-18,"0-0.99"
1,8.2280112639,0.1,2,1,2023-11-18,"0-0.99"
1,13.889145111,0.25,2,1,2023-11-18,"0-0.99"
1,31.4674690486,0.5,2,1,2023-11-18,"0-0.99"
1,44.9112028139,0.75,2,1,2023-11-18,"0-0.99"
1,55.7415551158,0.9,2,1,2023-11-18,"0-0.99"
1,65.8322756211,0.95,2,1,2023-11-18,"0-0.99"
1,78.0123018967,0.975,2,1,2023-11-18,"0-0.99"
1,92.3892917714,0.99,2,1,2023-11-18,"0-0.99"
1,1.1828693863,0.01,2,1,2023-11-18,"0-130"
1,5.9027249573,0.025,2,1,2023-11-18,"0-130"
1,11.9584014805,0.05,2,1,2023-11-18,"0-130"
1,26.7215270669,0.1,2,1,2023-11-18,"0-130"
1,44.1498411683,0.25,2,1,2023-11-18,"0-130"
1,101.1218386119,0.5,2,1,2023-11-18,"0-130"
1,129.4277014341,0.75,2,1,2023-11-18,"0-130"
1,185.9690587177,0.9,2,1,2023-11-18,"0-130"
1,241.8716440549,0.95,2,1,2023-11-18,"0-130"
1,298.3956627939,0.975,2,1,2023-11-18,"0-130"
1,352.3407777591,0.99,2,1,2023-11-18,"0-130"
1,0,0.01,2,1,2023-11-18,"1-4"
1,0,0.025,2,1,2023-11-18,"1-4"
1,0,0.05,2,1,2023-11-18,"1-4"
1,0.8539704426,0.1,2,1,2023-11-18,"1-4"
1,17.295641908,0.25,2,1,2023-11-18,"1-4"
1,31.0809863287,0.5,2,1,2023-11-18,"1-4"
1,55.4330444961,0.75,2,1,2023-11-18,"1-4"
1,81.122056832,0.9,2,1,2023-11-18,"1-4"
1,107.0728595552,0.95,2,1,2023-11-18,"1-4"
1,130.4601714146,0.975,2,1,2023-11-18,"1-4"
1,161.0251479887,0.99,2,1,2023-11-18,"1-4"
1,0,0.01,2,1,2023-11-18,"5-64"
1,0,0.025,2,1,2023-11-18,"5-64"
1,0,0.05,2,1,2023-11-18,"5-64"
1,1.7946855391,0.1,2,1,2023-11-18,"5-64"
1,6.6349975207,0.25,2,1,2023-11-18,"5-64"
1,14.9799414991,0.5,2,1,2023-11-18,"5-64"
1,22.6190312431,0.75,2,1,2023-11-18,"5-64"
1,41.8315067199,0.9,2,1,2023-11-18,"5-64"
1,50.9571766031,0.95,2,1,2023-11-18,"5-64"
1,58.8144813145,0.975,2,1,2023-11-18,"5-64"
1,66.0316265175,0.99,2,1,2023-11-18,"5-64"
1,0,0.01,2,1,2023-11-18,"65-130"
1,0,0.025,2,1,2023-11-18,"65-130"
1,0,0.05,2,1,2023-11-18,"65-130"
1,0,0.1,2,1,2023-11-18,"65-130"
1,3.8956235829,0.25,2,1,2023-11-18,"65-130"
1,9.7798244242,0.5,2,1,2023-11-18,"65-130"
1,16.883950781,0.75,2,1,2023-11-18,"65-130"
1,30.1053395445,0.9,2,1,2023-11-18,"65-130"
1,46.8684526272,0.95,2,1,2023-11-18,"65-130"
1,59.5397038917,0.975,2,1,2023-11-18,"65-130"
1,75.7041988198,0.99,2,1,2023-11-18,"65-130"
1,8.72615,0.01,3,1,2023-11-18,"0-0.99"
1,9.9087510761,0.025,3,1,2023-11-18,"0-0.99"
1,12.9446177428,0.05,3,1,2023-11-18,"0-0.99"
1,14.4719,0.1,3,1,2023-11-18,"0-0.99"
1,20.929,0.25,3,1,2023-11-18,"0-0.99"
1,33,0.5,3,1,2023-11-18,"0-0.99"
1,45,0.75,3,1,2023-11-18,"0-0.99"
1,53.7964327661,0.9,3,1,2023-11-18,"0-0.99"
1,58.0785714286,0.95,3,1,2023-11-18,"0-0.99"
1,68.7875,0.975,3,1,2023-11-18,"0-0.99"
1,73.0009218109,0.99,3,1,2023-11-18,"0-0.99"
1,39.93,0.01,3,1,2023-11-18,"0-130"
1,45.3218,0.025,3,1,2023-11-18,"0-130"
1,49.924,0.05,3,1,2023-11-18,"0-130"
1,58.2404804795,0.1,3,1,2023-11-18,"0-130"
1,75.3248954897,0.25,3,1,2023-11-18,"0-130"
1,105.3316529178,0.5,3,1,2023-11-18,"0-130"
1,124.8742811707,0.75,3,1,2023-11-18,"0-130"
1,137.3196408631,0.9,3,1,2023-11-18,"0-130"
1,151.8117005671,0.95,3,1,2023-11-18,"0-130"
1,165.3376045708,0.975,3,1,2023-11-18,"0-130"
1,198.240296381,0.99,3,1,2023-11-18,"0-130"
1,11.8750187983,0.01,3,1,2023-11-18,"1-4"
1,12.4369857494,0.025,3,1,2023-11-18,"1-4"
1,15.0427201543,0.05,3,1,2023-11-18,"1-4"
1,17.7639704871,0.1,3,1,2023-11-18,"1-4"
1,22.4533753251,0.25,3,1,2023-11-18,"1-4"
1,28.982898378,0.5,3,1,2023-11-18,"1-4"
1,41.0745611014,0.75,3,1,2023-11-18,"1-4"
1,46.6195199264,0.9,3,1,2023-11-18,"1-4"
1,57.3613950203,0.95,3,1,2023-11-18,"1-4"
1,67.2850515888,0.975,3,1,2023-11-18,"1-4"
1,77.4025704318,0.99,3,1,2023-11-18,"1-4"
1,4,0.01,3,1,2023-11-18,"5-64"
1,4.7375,0.025,3,1,2023-11-18,"5-64"
1,5,0.05,3,1,2023-11-18,"5-64"
1,5.8880663442,0.1,3,1,2023-11-18,"5-64"
1,7.3928111383,0.25,3,1,2023-11-18,"5-64"
1,14.25,0.5,3,1,2023-11-18,"5-64"
1,20.2041272868,0.75,3,1,2023-11-18,"5-64"
1,35.6824285715,0.9,3,1,2023-11-18,"5-64"
1,41.9242007188,0.95,3,1,2023-11-18,"5-64"
1,44.5071432572,0.975,3,1,2023-11-18,"5-64"
1,50.9505624032,0.99,3,1,2023-11-18,"5-64"
1,3.0386625,0.01,3,1,2023-11-18,"65-130"
1,3.1322225,0.025,3,1,2023-11-18,"65-130"
1,3.24241,0.05,3,1,2023-11-18,"65-130"
1,3.4194,0.1,3,1,2023-11-18,"65-130"
1,4.502725,0.25,3,1,2023-11-18,"65-130"
1,8.65705,0.5,3,1,2023-11-18,"65-130"
1,13.1857631312,0.75,3,1,2023-11-18,"65-130"
1,17.5938228813,0.9,3,1,2023-11-18,"65-130"
1,23.2857142857,0.95,3,1,2023-11-18,"65-130"
1,26.875,0.975,3,1,2023-11-18,"65-130"
1,28.5242857143,0.99,3,1,2023-11-18,"65-130"
1,0,0.01,4,1,2023-11-18,"0-0.99"
1,0,0.025,4,1,2023-11-18,"0-0.99"
1,1.6571428571,0.05,4,1,2023-11-18,"0-0.99"
1,3.7714285714,0.1,4,1,2023-11-18,"0-0.99"
1,9.1071428571,0.25,4,1,2023-11-18,"0-0.99"
1,16.1428571429,0.5,4,1,2023-11-18,"0-0.99"
1,26.9285714286,0.75,4,1,2023-11-18,"0-0.99"
1,47.9571428571,0.9,4,1,2023-11-18,"0-0.99"
1,54.0571428571,0.95,4,1,2023-11-18,"0-0.99"
1,71.0714285714,0.975,4,1,2023-11-18,"0-0.99"
1,84.6385714286,0.99,4,1,2023-11-18,"0-0.99"
1,0,0.01,4,1,2023-11-18,"0-130"
1,0,0.025,4,1,2023-11-18,"0-130"
1,1.6571428571,0.05,4,1,2023-11-18,"0-130"
1,5.1,0.1,4,1,2023-11-18,"0-130"
1,11.0714285714,0.25,4,1,2023-11-18,"0-130"
1,34.9285714286,0.5,4,1,2023-11-18,"0-130"
1,64.9642857143,0.75,4,1,2023-11-18,"0-130"
1,113.6714285714,0.9,4,1,2023-11-18,"0-130"
1,130.6642857143,0.95,4,1,2023-11-18,"0-130"
1,155.1035714286,0.975,4,1,2023-11-18,"0-130"
1,194.6385714286,0.99,4,1,2023-11-18,"0-130"
1,0,0.01,4,1,2023-11-18,"1-4"
1,0,0.025,4,1,2023-11-18,"1-4"
1,0,0.05,4,1,2023-11-18,"1-4"
1,0,0.1,4,1,2023-11-18,"1-4"
1,0,0.25,4,1,2023-11-18,"1-4"
1,1.6428571429,0.5,4,1,2023-11-18,"1-4"
1,8.8571428571,0.75,4,1,2023-11-18,"1-4"
1,12.4285714286,0.9,4,1,2023-11-18,"1-4"
1,14.2285714286,0.95,4,1,2023-11-18,"1-4"
1,19.0285714286,0.975,4,1,2023-11-18,"1-4"
1,20.4571428571,0.99,4,1,2023-11-18,"1-4"
1,0,0.01,4,1,2023-11-18,"5-64"
1,0,0.025,4,1,2023-11-18,"5-64"
1,0,0.05,4,1,2023-11-18,"5-64"
1,0,0.1,4,1,2023-11-18,"5-64"
1,0,0.25,4,1,2023-11-18,"5-64"
1,9.6428571429,0.5,4,1,2023-11-18,"5-64"
1,21.1785714286,0.75,4,1,2023-11-18,"5-64"
1,36.2428571429,0.9,4,1,2023-11-18,"5-64"
1,44.7785714286,0.95,4,1,2023-11-18,"5-64"
1,52.6607142857,0.975,4,1,2023-11-18,"5-64"
1,69.7528571429,0.99,4,1,2023-11-18,"5-64"
1,0,0.01,4,1,2023-11-18,"65-130"
1,0,0.025,4,1,2023-11-18,"65-130"
1,0,0.05,4,1,2023-11-18,"65-130"
1,0,0.1,4,1,2023-11-18,"65-130"
1,0,0.25,4,1,2023-11-18,"65-130"
1,3.4285714286,0.5,4,1,2023-11-18,"65-130"
1,8.6071428571,0.75,4,1,2023-11-18,"65-130"
1,16.2571428571,0.9,4,1,2023-11-18,"65-130"
1,19.5714285714,0.95,4,1,2023-11-18,"65-130"
1,25.225,0.975,4,1,2023-11-18,"65-130"
1,27.0385714286,0.99,4,1,2023-11-18,"65-130"
1,25.97,0.01,5,1,2023-11-18,"0-0.99"
1,26,0.025,5,1,2023-11-18,"0-0.99"
1,27.95,0.05,5,1,2023-11-18,"0-0.99"
1,29,0.1,5,1,2023-11-18,"0-0.99"
1,33,0.25,5,1,2023-11-18,"0-0.99"
1,37,0.5,5,1,2023-11-18,"0-0.99"
1,44,0.75,5,1,2023-11-18,"0-0.99"
1,58,0.9,5,1,2023-11-18,"0-0.99"
1,62.1,0.95,5,1,2023-11-18,"0-0.99"
1,66.525,0.975,5,1,2023-11-18,"0-0.99"
1,67.07,0.99,5,1,2023-11-18,"0-0.99"
1,99.98,0.01,5,1,2023-11-18,"0-130"
1,106.425,0.025,5,1,2023-11-18,"0-130"
1,110.9,0.05,5,1,2023-11-18,"0-130"
1,116.9,0.1,5,1,2023-11-18,"0-130"
1,124,0.25,5,1,2023-11-18,"0-130"
1,132,0.5,5,1,2023-11-18,"0-130"
1,146,0.75,5,1,2023-11-18,"0-130"
1,173.3,0.9,5,1,2023-11-18,"0-130"
1,185.1,0.95,5,1,2023-11-18,"0-130"
1,197.15,0.975,5,1,2023-11-18,"0-130"
1,213.03,0.99,5,1,2023-11-18,"0-130"
1,44.99,0.01,5,1,2023-11-18,"1-4"
1,46,0.025,5,1,2023-11-18,"1-4"
1,47,0.05,5,1,2023-11-18,"1-4"
1,51.9,0.1,5,1,2023-11-18,"1-4"
1,57,0.25,5,1,2023-11-18,"1-4"
1,63,0.5,5,1,2023-11-18,"1-4"
1,70,0.75,5,1,2023-11-18,"1-4"
1,78.2,0.9,5,1,2023-11-18,"1-4"
1,89.1,0.95,5,1,2023-11-18,"1-4"
1,93.05,0.975,5,1,2023-11-18,"1-4"
1,101.03,0.99,5,1,2023-11-18,"1-4"
1,4,0.01,5,1,2023-11-18,"5-64"
1,5.475,0.025,5,1,2023-11-18,"5-64"
1,6,0.05,5,1,2023-11-18,"5-64"
1,8,0.1,5,1,2023-11-18,"5-64"
1,11,0.25,5,1,2023-11-18,"5-64"
1,14,0.5,5,1,2023-11-18,"5-64"
1,16.25,0.75,5,1,2023-11-18,"5-64"
1,18.1,0.9,5,1,2023-11-18,"5-64"
1,21,0.95,5,1,2023-11-18,"5-64"
1,21,0.975,5,1,2023-11-18,"5-64"
1,22.01,0.99,5,1,2023-11-18,"5-64"
1,10,0.01,5,1,2023-11-18,"65-130"
1,11,0.025,5,1,2023-11-18,"65-130"
1,11.95,0.05,5,1,2023-11-18,"65-130"
1,12.9,0.1,5,1,2023-11-18,"65-130"
1,17,0.25,5,1,2023-11-18,"65-130"
1,19,0.5,5,1,2023-11-18,"65-130"
1,23,0.75,5,1,2023-11-18,"65-130"
1,25.1,0.9,5,1,2023-11-18,"65-130"
1,27,0.95,5,1,2023-11-18,"65-130"
1,28.525,0.975,5,1,2023-11-18,"65-130"
1,30.01,0.99,5,1,2023-11-18,"65-130"
1,10.4623,0.01,6,1,2023-11-18,"0-0.99"
1,11.7711,0.025,6,1,2023-11-18,"0-0.99"
1,12.0647,0.05,6,1,2023-11-18,"0-0.99"
1,12.1938,0.1,6,1,2023-11-18,"0-0.99"
1,12.4238,0.25,6,1,2023-11-18,"0-0.99"
1,13.2146,0.5,6,1,2023-11-18,"0-0.99"
1,13.7886,0.75,6,1,2023-11-18,"0-0.99"
1,14.1081,0.9,6,1,2023-11-18,"0-0.99"
1,14.2312,0.95,6,1,2023-11-18,"0-0.99"
1,14.3682,0.975,6,1,2023-11-18,"0-0.99"
1,14.4804,0.99,6,1,2023-11-18,"0-0.99"
1,34.221,0.01,6,1,2023-11-18,"0-130"
1,38.5236,0.025,6,1,2023-11-18,"0-130"
1,39.994,0.05,6,1,2023-11-18,"0-130"
1,41.5452,0.1,6,1,2023-11-18,"0-130"
1,42.9412,0.25,6,1,2023-11-18,"0-130"
1,43.6167,0.5,6,1,2023-11-18,"0-130"
1,44.0257,0.75,6,1,2023-11-18,"0-130"
1,44.2762,0.9,6,1,2023-11-18,"0-130"
1,44.48,0.95,6,1,2023-11-18,"0-130"
1,44.6067,0.975,6,1,2023-11-18,"0-130"
1,44.6619,0.99,6,1,2023-11-18,"0-130"
1,13.8922,0.01,6,1,2023-11-18,"1-4"
1,16.457,0.025,6,1,2023-11-18,"1-4"
1,17.0299,0.05,6,1,2023-11-18,"1-4"
1,17.989,0.1,6,1,2023-11-18,"1-4"
1,19.2046,0.25,6,1,2023-11-18,"1-4"
1,19.9136,0.5,6,1,2023-11-18,"1-4"
1,20.2864,0.75,6,1,2023-11-18,"1-4"
1,20.5221,0.9,6,1,2023-11-18,"1-4"
1,20.6792,0.95,6,1,2023-11-18,"1-4"
1,20.7292,0.975,6,1,2023-11-18,"1-4"
1,20.8221,0.99,6,1,2023-11-18,"1-4"
1,5.8539,0.01,6,1,2023-11-18,"5-64"
1,6.1295,0.025,6,1,2023-11-18,"5-64"
1,6.2687,0.05,6,1,2023-11-18,"5-64"
1,6.4111,0.1,6,1,2023-11-18,"5-64"
1,6.5217,0.25,6,1,2023-11-18,"5-64"
1,6.601,0.5,6,1,2023-11-18,"5-64"
1,6.653,0.75,6,1,2023-11-18,"5-64"
1,6.7877,0.9,6,1,2023-11-18,"5-64"
1,6.8496,0.95,6,1,2023-11-18,"5-64"
1,6.9241,0.975,6,1,2023-11-18,"5-64"
1,7.0413,0.99,6,1,2023-11-18,"5-64"
1,3.7644,0.01,6,1,2023-11-18,"65-130"
1,3.7939,0.025,6,1,2023-11-18,"65-130"
1,3.8018,0.05,6,1,2023-11-18,"65-130"
1,3.8388,0.1,6,1,2023-11-18,"65-130"
1,3.8735,0.25,6,1,2023-11-18,"65-130"
1,3.906,0.5,6,1,2023-11-18,"65-130"
1,3.9623,0.75,6,1,2023-11-18,"65-130"
1,3.993,0.9,6,1,2023-11-18,"65-130"
1,4.027,0.95,6,1,2023-11-18,"65-130"
1,4.0483,0.975,6,1,2023-11-18,"65-130"
1,4.0703,0.99,6,1,2023-11-18,"65-130"
1,17.77137,0.01,7,1,2023-11-18,"0-0.99"
1,18.2272608333,0.025,7,1,2023-11-18,"0-0.99"
1,21.5124,0.05,7,1,2023-11-18,"0-0.99"
1,23.4324933333,0.1,7,1,2023-11-18,"0-0.99"
1,30.0260833333,0.25,7,1,2023-11-18,"0-0.99"
1,37.8699666667,0.5,7,1,2023-11-18,"0-0.99"
1,42.0266666667,0.75,7,1,2023-11-18,"0-0.99"
1,47.09285,0.9,7,1,2023-11-18,"0-0.99"
1,50.377825,0.95,7,1,2023-11-18,"0-0.99"
1,55.4428591667,0.975,7,1,2023-11-18,"0-0.99"
1,63.3058843333,0.99,7,1,2023-11-18,"0-0.99"
1,56.9858136667,0.01,7,1,2023-11-18,"0-130"
1,64.33925375,0.025,7,1,2023-11-18,"0-130"
1,65.765055,0.05,7,1,2023-11-18,"0-130"
1,75.539555,0.1,7,1,2023-11-18,"0-130"
1,96.6131916667,0.25,7,1,2023-11-18,"0-130"
1,116.4472916667,0.5,7,1,2023-11-18,"0-130"
1,132.168975,0.75,7,1,2023-11-18,"0-130"
1,144.1957366667,0.9,7,1,2023-11-18,"0-130"
1,150.4644741667,0.95,7,1,2023-11-18,"0-130"
1,172.1916220833,0.975,7,1,2023-11-18,"0-130"
1,201.8420213333,0.99,7,1,2023-11-18,"0-130"
1,12.04319,0.01,7,1,2023-11-18,"1-4"
1,12.4027125,0.025,7,1,2023-11-18,"1-4"
1,12.6542,0.05,7,1,2023-11-18,"1-4"
