"scenario_id","value","type_id","model_name","horizon","target_end_date","age_group"
1,3.0677175899,0.01,1,1,2023-11-18,"0-0.99"
1,5.6031270772,0.025,1,1,2023-11-18,"0-0.99"
1,8.747941877,0.05,1,1,2023-11-18,"0-0.99"
1,15.0995601954,0.1,1,1,2023-11-18,"0-0.99"
1,21.7666026553,0.25,1,1,2023-11-18,"0-0.99"
1,31.4800150446,0.5,1,1,2023-11-18,"0-0.99"
1,41.9941769806,0.75,1,1,2023-11-18,"0-0.99"
1,51.5707202763,0.9,1,1,2023-11-18,"0-0.99"
1,55.8691168728,0.95,1,1,2023-11-18,"0-0.99"
1,58.6942450448,0.975,1,1,2023-11-18,"0-0.99"
1,62.2206329815,0.99,1,1,2023-11-18,"0-0.99"
1,15.071297965,0.01,1,1,2023-11-18,"0-130"
1,28.7478452154,0.025,1,1,2023-11-18,"0-130"
1,37.1407749321,0.05,1,1,2023-11-18,"0-130"
1,57.674155906,0.1,1,1,2023-11-18,"0-130"
1,92.6359052708,0.25,1,1,2023-11-18,"0-130"
1,131.0760295772,0.5,1,1,2023-11-18,"0-130"
1,151.1053288997,0.75,1,1,2023-11-18,"0-130"
1,196.7059346128,0.9,1,1,2023-11-18,"0-130"
1,218.4004679522,0.95,1,1,2023-11-18,"0-130"
1,232.121762059,0.975,1,1,2023-11-18,"0-130"
1,243.4001468217,0.99,1,1,2023-11-18,"0-130"
1,0.9581545779,0.01,1,1,2023-11-18,"1-4"
1,2.7688551496,0.025,1,1,2023-11-18,"1-4"
1,4.389044065,0.05,1,1,2023-11-18,"1-4"
1,7.9907278015,0.1,1,1,2023-11-18,"1-4"
1,16.2743539911,0.25,1,1,2023-11-18,"1-4"
1,26.2335293452,0.5,1,1,2023-11-18,"1-4"
1,36.3013402553,0.75,1,1,2023-11-18,"1-4"
1,43.48607846,0.9,1,1,2023-11-18,"1-4"
1,47.7237684085,0.95,1,1,2023-11-18,"1-4"
1,51.3381816096,0.975,1,1,2023-11-18,"1-4"
1,55.7503578563,0.99,1,1,2023-11-18,"1-4"
1,2.5921759921,0.01,1,1,2023-11-18,"5-64"
1,3.9789092196,0.025,1,1,2023-11-18,"5-64"
1,6.0433611828,0.05,1,1,2023-11-18,"5-64"
1,11.3918277718,0.1,1,1,2023-11-18,"5-64"
1,21.727115164,0.25,1,1,2023-11-18,"5-64"
1,30.2569244874,0.5,1,1,2023-11-18,"5-64"
1,38.1322690188,0.75,1,1,2023-11-18,"5-64"
1,48.2093392826,0.9,1,1,2023-11-18,"5-64"
1,57.1837205128,0.95,1,1,2023-11-18,"5-64"
1,67.653497077,0.975,1,1,2023-11-18,"5-64"
1,83.207138259,0.99,1,1,2023-11-18,"5-64"
1,2.3686317573,0.01,1,1,2023-11-18,"65-130"
1,3.6577989843,0.025,1,1,2023-11-18,"65-130"
1,7.5568140703,0.05,1,1,2023-11-18,"65-130"
1,11.6602340594,0.1,1,1,2023-11-18,"65-130"
1,20.5879471063,0.25,1,1,2023-11-18,"65-130"
1,31.0897568263,0.5,1,1,2023-11-18,"65-130"
1,39.9091912771,0.75,1,1,2023-11-18,"65-130"
1,52.6198774106,0.9,1,1,2023-11-18,"65-130"
1,63.2440366306,0.95,1,1,2023-11-18,"65-130"
1,69.7135239841,0.975,1,1,2023-11-18,"65-130"
1,76.1163710542,0.99,1,1,2023-11-18,"65-130"
1,2.2645106726,0.01,2,1,2023-11-18,"0-0.99"
1,4.0143426353,0.025,2,1,2023-11-18,"0-0.99"
1,6.9442910956,0.05,2,1,2023-11-18,"0-0.99"
1,11.0763826917,0.1,2,1,2023-11-18,"0-0.99"
1,20.6563683338,0.25,2,1,2023-11-18,"0-0.99"
1,31.4800150446,0.5,2,1,2023-11-18,"0-0.99"
1,44.5591953826,0.75,2,1,2023-11-18,"0-0.99"
1,64.1468381743,0.9,2,1,2023-11-18,"0-0.99"
1,87,0.95,2,1,2023-11-18,"0-0.99"
1,95.25,0.975,2,1,2023-11-18,"0-0.99"
1,105,0.99,2,1,2023-11-18,"0-0.99"
1,13.419176072,0.01,2,1,2023-11-18,"0-130"
1,21.1118943009,0.025,2,1,2023-11-18,"0-130"
1,30.6784906682,0.05,2,1,2023-11-18,"0-130"
1,48.281998196,0.1,2,1,2023-11-18,"0-130"
1,87.7021741462,0.25,2,1,2023-11-18,"0-130"
1,131.5723497925,0.5,2,1,2023-11-18,"0-130"
1,169.4740138164,0.75,2,1,2023-11-18,"0-130"
1,248.2321461783,0.9,2,1,2023-11-18,"0-130"
1,300.5,0.95,2,1,2023-11-18,"0-130"
1,321,0.975,2,1,2023-11-18,"0-130"
1,334.1,0.99,2,1,2023-11-18,"0-130"
1,0.4584129385,0.01,2,1,2023-11-18,"1-4"
1,2.1150103075,0.025,2,1,2023-11-18,"1-4"
1,3.4060797858,0.05,2,1,2023-11-18,"1-4"
1,5.828507112,0.1,2,1,2023-11-18,"1-4"
1,14.7661596724,0.25,2,1,2023-11-18,"1-4"
1,26.2335293452,0.5,2,1,2023-11-18,"1-4"
1,37.7856848848,0.75,2,1,2023-11-18,"1-4"
1,75.9308008788,0.9,2,1,2023-11-18,"1-4"
1,126.5,0.95,2,1,2023-11-18,"1-4"
1,140,0.975,2,1,2023-11-18,"1-4"
1,149.1,0.99,2,1,2023-11-18,"1-4"
1,0.9201335925,0.01,2,1,2023-11-18,"5-64"
1,3.1266482185,0.025,2,1,2023-11-18,"5-64"
1,5.5076118953,0.05,2,1,2023-11-18,"5-64"
1,9.9820508759,0.1,2,1,2023-11-18,"5-64"
1,20.7114301972,0.25,2,1,2023-11-18,"5-64"
1,30.4537785649,0.5,2,1,2023-11-18,"5-64"
1,42.3599105567,0.75,2,1,2023-11-18,"5-64"
1,67.4607083212,0.9,2,1,2023-11-18,"5-64"
1,83.2519442143,0.95,2,1,2023-11-18,"5-64"
1,95.053540163,0.975,2,1,2023-11-18,"5-64"
1,109.6536846593,0.99,2,1,2023-11-18,"5-64"
1,0,0.01,2,1,2023-11-18,"65-130"
1,2.6978832006,0.025,2,1,2023-11-18,"65-130"
1,4.8819687252,0.05,2,1,2023-11-18,"65-130"
1,8.4367221841,0.1,2,1,2023-11-18,"65-130"
1,18.2686497276,0.25,2,1,2023-11-18,"65-130"
1,31.0897568263,0.5,2,1,2023-11-18,"65-130"
1,43.8977582297,0.75,2,1,2023-11-18,"65-130"
1,58.9256604268,0.9,2,1,2023-11-18,"65-130"
1,66.5415360419,0.95,2,1,2023-11-18,"65-130"
1,72.7781734752,0.975,2,1,2023-11-18,"65-130"
1,78.354865503,0.99,2,1,2023-11-18,"65-130"
1,15.189108844,0.01,3,1,2023-11-18,"0-0.99"
1,16.1347199546,0.025,3,1,2023-11-18,"0-0.99"
1,17.0514468162,0.05,3,1,2023-11-18,"0-0.99"
1,18.2806646444,0.1,3,1,2023-11-18,"0-0.99"
1,22.2479308653,0.25,3,1,2023-11-18,"0-0.99"
1,30.5402933546,0.5,3,1,2023-11-18,"0-0.99"
1,38.7976,0.75,3,1,2023-11-18,"0-0.99"
1,46.9042191162,0.9,3,1,2023-11-18,"0-0.99"
1,53.3379006438,0.95,3,1,2023-11-18,"0-0.99"
1,59.5851428572,0.975,3,1,2023-11-18,"0-0.99"
1,61.7622308334,0.99,3,1,2023-11-18,"0-0.99"
1,69.3785487518,0.01,3,1,2023-11-18,"0-130"
1,74.7122605646,0.025,3,1,2023-11-18,"0-130"
1,83.4601910416,0.05,3,1,2023-11-18,"0-130"
1,87.5268148956,0.1,3,1,2023-11-18,"0-130"
1,102.1763347917,0.25,3,1,2023-11-18,"0-130"
1,122.4311543971,0.5,3,1,2023-11-18,"0-130"
1,143.8006175914,0.75,3,1,2023-11-18,"0-130"
1,162.6396449558,0.9,3,1,2023-11-18,"0-130"
1,181.7209645796,0.95,3,1,2023-11-18,"0-130"
1,196.1719620301,0.975,3,1,2023-11-18,"0-130"
1,203.9814779172,0.99,3,1,2023-11-18,"0-130"
1,7.632,0.01,3,1,2023-11-18,"1-4"
1,9.3957453195,0.025,3,1,2023-11-18,"1-4"
1,10.8435189519,0.05,3,1,2023-11-18,"1-4"
1,12.2696846795,0.1,3,1,2023-11-18,"1-4"
1,16.5431781018,0.25,3,1,2023-11-18,"1-4"
1,25.2925033107,0.5,3,1,2023-11-18,"1-4"
1,34.8083499092,0.75,3,1,2023-11-18,"1-4"
1,41.8859049936,0.9,3,1,2023-11-18,"1-4"
1,45.8849398241,0.95,3,1,2023-11-18,"1-4"
1,48.7890647288,0.975,3,1,2023-11-18,"1-4"
1,50.7672197404,0.99,3,1,2023-11-18,"1-4"
1,8.48,0.01,3,1,2023-11-18,"5-64"
1,9.475,0.025,3,1,2023-11-18,"5-64"
1,12.45,0.05,3,1,2023-11-18,"5-64"
1,15.5,0.1,3,1,2023-11-18,"5-64"
1,21.875,0.25,3,1,2023-11-18,"5-64"
1,29.2466,0.5,3,1,2023-11-18,"5-64"
1,37.7488341722,0.75,3,1,2023-11-18,"5-64"
1,42.2821894284,0.9,3,1,2023-11-18,"5-64"
1,44.9513089153,0.95,3,1,2023-11-18,"5-64"
1,48.0387347975,0.975,3,1,2023-11-18,"5-64"
1,49.0442955034,0.99,3,1,2023-11-18,"5-64"
1,6.3858395,0.01,3,1,2023-11-18,"65-130"
1,13.6779154843,0.025,3,1,2023-11-18,"65-130"
1,15.3344761556,0.05,3,1,2023-11-18,"65-130"
1,16.5886762893,0.1,3,1,2023-11-18,"65-130"
1,23.2572281951,0.25,3,1,2023-11-18,"65-130"
1,29.7045232162,0.5,3,1,2023-11-18,"65-130"
1,36.2575492954,0.75,3,1,2023-11-18,"65-130"
1,44.1345683936,0.9,3,1,2023-11-18,"65-130"
1,50.4101844198,0.95,3,1,2023-11-18,"65-130"
1,53.5488776478,0.975,3,1,2023-11-18,"65-130"
1,55.8473263728,0.99,3,1,2023-11-18,"65-130"
1,6.99,0.01,4,1,2023-11-18,"0-0.99"
1,7.85,0.025,4,1,2023-11-18,"0-0.99"
1,8.1428571429,0.05,4,1,2023-11-18,"0-0.99"
1,9.2857142857,0.1,4,1,2023-11-18,"0-0.99"
1,19.8571428571,0.25,4,1,2023-11-18,"0-0.99"
1,26.5714285714,0.5,4,1,2023-11-18,"0-0.99"
1,35.75,0.75,4,1,2023-11-18,"0-0.99"
1,45.7285714286,0.9,4,1,2023-11-18,"0-0.99"
1,52.9571428571,0.95,4,1,2023-11-18,"0-0.99"
1,59.9892857143,0.975,4,1,2023-11-18,"0-0.99"
