"scenario_id","value","type_id","model_name","horizon","target_end_date","age_group"
1,1385.0756309195,0.01,1,1,2023-11-18,"0-0.99"
1,1499.8420361087,0.025,1,1,2023-11-18,"0-0.99"
1,1604.1420552301,0.05,1,1,2023-11-18,"0-0.99"
1,1654.5253164816,0.1,1,1,2023-11-18,"0-0.99"
1,1820.4342952557,0.25,1,1,2023-11-18,"0-0.99"
1,2305.4215524474,0.5,1,1,2023-11-18,"0-0.99"
1,3044.3317523801,0.75,1,1,2023-11-18,"0-0.99"
1,3632.2047418381,0.9,1,1,2023-11-18,"0-0.99"
1,4031.5606033782,0.95,1,1,2023-11-18,"0-0.99"
1,4732.5391724527,0.975,1,1,2023-11-18,"0-0.99"
1,5014.5594044983,0.99,1,1,2023-11-18,"0-0.99"
1,3817.1285761005,0.01,1,1,2023-11-18,"0-130"
1,4065.9708188131,0.025,1,1,2023-11-18,"0-130"
1,4408.2846762377,0.05,1,1,2023-11-18,"0-130"
1,4667.2703866872,0.1,1,1,2023-11-18,"0-130"
1,5770.7626189383,0.25,1,1,2023-11-18,"0-130"
1,7314.4529092597,0.5,1,1,2023-11-18,"0-130"
1,8799.1541878562,0.75,1,1,2023-11-18,"0-130"
1,11841.2257791536,0.9,1,1,2023-11-18,"0-130"
1,14602.9185678601,0.95,1,1,2023-11-18,"0-130"
1,15372.5553910355,0.975,1,1,2023-11-18,"0-130"
1,19542.38,0.99,1,1,2023-11-18,"0-130"
1,478.8,0.01,1,1,2023-11-18,"1-4"
1,770.4371163455,0.025,1,1,2023-11-18,"1-4"
1,980.0223190933,0.05,1,1,2023-11-18,"1-4"
1,1244.6044543278,0.1,1,1,2023-11-18,"1-4"
1,1371.7082710682,0.25,1,1,2023-11-18,"1-4"
1,1769.3960704587,0.5,1,1,2023-11-18,"1-4"
1,2297.4129080512,0.75,1,1,2023-11-18,"1-4"
1,2900.9204498202,0.9,1,1,2023-11-18,"1-4"
1,3649.6244695572,0.95,1,1,2023-11-18,"1-4"
1,4316.6078109097,0.975,1,1,2023-11-18,"1-4"
1,4997.0228,0.99,1,1,2023-11-18,"1-4"
1,771.0127363499,0.01,1,1,2023-11-18,"5-64"
1,846.0695210254,0.025,1,1,2023-11-18,"5-64"
1,883.4951561844,0.05,1,1,2023-11-18,"5-64"
1,1036.9028265603,0.1,1,1,2023-11-18,"5-64"
1,1205.9745854347,0.25,1,1,2023-11-18,"5-64"
1,1463.0681768568,0.5,1,1,2023-11-18,"5-64"
1,1757.6498313313,0.75,1,1,2023-11-18,"5-64"
1,2357.5723975542,0.9,1,1,2023-11-18,"5-64"
1,2622.5167676088,0.95,1,1,2023-11-18,"5-64"
1,3009.9316133086,0.975,1,1,2023-11-18,"5-64"
1,3479.4935815592,0.99,1,1,2023-11-18,"5-64"
1,439.044102,0.01,1,1,2023-11-18,"65-130"
1,464.4883288988,0.025,1,1,2023-11-18,"65-130"
1,548.5920176938,0.05,1,1,2023-11-18,"65-130"
1,626.142144873,0.1,1,1,2023-11-18,"65-130"
1,827.1923291213,0.25,1,1,2023-11-18,"65-130"
1,1429.1569985916,0.5,1,1,2023-11-18,"65-130"
1,1907.8688450265,0.75,1,1,2023-11-18,"65-130"
1,2208.5317782525,0.9,1,1,2023-11-18,"65-130"
1,2543.2937199349,0.95,1,1,2023-11-18,"65-130"
1,3164,0.975,1,1,2023-11-18,"65-130"
1,5347.92,0.99,1,1,2023-11-18,"65-130"
1,830.4,0.01,2,1,2023-11-18,"0-0.99"
1,1220.5874017277,0.025,2,1,2023-11-18,"0-0.99"
1,1492.8411276264,0.05,2,1,2023-11-18,"0-0.99"
1,1646.1448700491,0.1,2,1,2023-11-18,"0-0.99"
1,1745.7509242707,0.25,2,1,2023-11-18,"0-0.99"
1,2305.4215524474,0.5,2,1,2023-11-18,"0-0.99"
1,3296.1182967572,0.75,2,1,2023-11-18,"0-0.99"
1,4216.2339627429,0.9,2,1,2023-11-18,"0-0.99"
1,4611.5390611453,0.95,2,1,2023-11-18,"0-0.99"
1,4945.8506191313,0.975,2,1,2023-11-18,"0-0.99"
1,5378.7818582268,0.99,2,1,2023-11-18,"0-0.99"
1,2184.1,0.01,2,1,2023-11-18,"0-130"
1,3568.5727606688,0.025,2,1,2023-11-18,"0-130"
1,4130.6727059265,0.05,2,1,2023-11-18,"0-130"
1,4582.8751875719,0.1,2,1,2023-11-18,"0-130"
1,5184.4972256389,0.25,2,1,2023-11-18,"0-130"
1,7314.4529092597,0.5,2,1,2023-11-18,"0-130"
1,9204.1455283938,0.75,2,1,2023-11-18,"0-130"
1,13850.4396918275,0.9,2,1,2023-11-18,"0-130"
1,15267.1002285471,0.95,2,1,2023-11-18,"0-130"
1,18084.0810713217,0.975,2,1,2023-11-18,"0-130"
1,20925.6818423559,0.99,2,1,2023-11-18,"0-130"
1,420.8301651605,0.01,2,1,2023-11-18,"1-4"
1,471.031840259,0.025,2,1,2023-11-18,"1-4"
1,523.8005034965,0.05,2,1,2023-11-18,"1-4"
1,642.751768275,0.1,2,1,2023-11-18,"1-4"
1,1333.1521392747,0.25,2,1,2023-11-18,"1-4"
1,1769.3960704587,0.5,2,1,2023-11-18,"1-4"
1,2456.7838660314,0.75,2,1,2023-11-18,"1-4"
1,5385.9050506108,0.9,2,1,2023-11-18,"1-4"
1,6175.5,0.95,2,1,2023-11-18,"1-4"
1,6600.75,0.975,2,1,2023-11-18,"1-4"
1,6851.2,0.99,2,1,2023-11-18,"1-4"
1,502,0.01,2,1,2023-11-18,"5-64"
1,737.2976674129,0.025,2,1,2023-11-18,"5-64"
1,857.7598794336,0.05,2,1,2023-11-18,"5-64"
1,881.3444285574,0.1,2,1,2023-11-18,"5-64"
1,1152.5417581686,0.25,2,1,2023-11-18,"5-64"
1,1463.0681768568,0.5,2,1,2023-11-18,"5-64"
1,1870.6023077765,0.75,2,1,2023-11-18,"5-64"
