"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
13.5,0.01,3,2025-05-03,77,"04",1,"0-130"
14.5,0.025,3,2025-05-03,77,"04",1,"0-130"
15.8,0.05,3,2025-05-03,77,"04",1,"0-130"
18.9,0.1,3,2025-05-03,77,"04",1,"0-130"
26.1,0.25,3,2025-05-03,77,"04",1,"0-130"
164.1,0.5,3,2025-05-03,77,"04",1,"0-130"
293.5,0.75,3,2025-05-03,77,"04",1,"0-130"
320.3,0.9,3,2025-05-03,77,"04",1,"0-130"
364,0.95,3,2025-05-03,77,"04",1,"0-130"
492,0.975,3,2025-05-03,77,"04",1,"0-130"
506.8,0.99,3,2025-05-03,77,"04",1,"0-130"
9,0.01,3,2025-05-03,77,"04",1,"0-64"
10,0.025,3,2025-05-03,77,"04",1,"0-64"
10.4,0.05,3,2025-05-03,77,"04",1,"0-64"
12.7,0.1,3,2025-05-03,77,"04",1,"0-64"
17.6,0.25,3,2025-05-03,77,"04",1,"0-64"
98.7,0.5,3,2025-05-03,77,"04",1,"0-64"
170,0.75,3,2025-05-03,77,"04",1,"0-64"
186.6,0.9,3,2025-05-03,77,"04",1,"0-64"
211.7,0.95,3,2025-05-03,77,"04",1,"0-64"
291,0.975,3,2025-05-03,77,"04",1,"0-64"
295.2,0.99,3,2025-05-03,77,"04",1,"0-64"
4.4,0.01,3,2025-05-03,77,"04",1,"65-130"
4.5,0.025,3,2025-05-03,77,"04",1,"65-130"
5.1,0.05,3,2025-05-03,77,"04",1,"65-130"
6.2,0.1,3,2025-05-03,77,"04",1,"65-130"
8.7,0.25,3,2025-05-03,77,"04",1,"65-130"
65.4,0.5,3,2025-05-03,77,"04",1,"65-130"
122.1,0.75,3,2025-05-03,77,"04",1,"65-130"
136.5,0.9,3,2025-05-03,77,"04",1,"65-130"
152.2,0.95,3,2025-05-03,77,"04",1,"65-130"
201.1,0.975,3,2025-05-03,77,"04",1,"65-130"
211.7,0.99,3,2025-05-03,77,"04",1,"65-130"
