"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
3.3,0.01,3,2025-05-03,77,"30",1,"0-130"
4.8,0.025,3,2025-05-03,77,"30",1,"0-130"
5.5,0.05,3,2025-05-03,77,"30",1,"0-130"
6.7,0.1,3,2025-05-03,77,"30",1,"0-130"
9.5,0.25,3,2025-05-03,77,"30",1,"0-130"
12.1,0.5,3,2025-05-03,77,"30",1,"0-130"
16.5,0.75,3,2025-05-03,77,"30",1,"0-130"
20.8,0.9,3,2025-05-03,77,"30",1,"0-130"
24.8,0.95,3,2025-05-03,77,"30",1,"0-130"
28.1,0.975,3,2025-05-03,77,"30",1,"0-130"
32.4,0.99,3,2025-05-03,77,"30",1,"0-130"
2.4,0.01,3,2025-05-03,77,"30",1,"0-64"
3.2,0.025,3,2025-05-03,77,"30",1,"0-64"
3.9,0.05,3,2025-05-03,77,"30",1,"0-64"
4.7,0.1,3,2025-05-03,77,"30",1,"0-64"
6.5,0.25,3,2025-05-03,77,"30",1,"0-64"
8.2,0.5,3,2025-05-03,77,"30",1,"0-64"
11,0.75,3,2025-05-03,77,"30",1,"0-64"
13,0.9,3,2025-05-03,77,"30",1,"0-64"
15,0.95,3,2025-05-03,77,"30",1,"0-64"
17.3,0.975,3,2025-05-03,77,"30",1,"0-64"
19.4,0.99,3,2025-05-03,77,"30",1,"0-64"
0.9,0.01,3,2025-05-03,77,"30",1,"65-130"
1.4,0.025,3,2025-05-03,77,"30",1,"65-130"
1.6,0.05,3,2025-05-03,77,"30",1,"65-130"
2,0.1,3,2025-05-03,77,"30",1,"65-130"
2.9,0.25,3,2025-05-03,77,"30",1,"65-130"
4.1,0.5,3,2025-05-03,77,"30",1,"65-130"
5.6,0.75,3,2025-05-03,77,"30",1,"65-130"
7.7,0.9,3,2025-05-03,77,"30",1,"65-130"
9.4,0.95,3,2025-05-03,77,"30",1,"65-130"
10.8,0.975,3,2025-05-03,77,"30",1,"65-130"
12.9,0.99,3,2025-05-03,77,"30",1,"65-130"
2.399,0.01,6,2025-05-03,77,"30",1,"0-130"
2.4,0.025,6,2025-05-03,77,"30",1,"0-130"
2.595,0.05,6,2025-05-03,77,"30",1,"0-130"
3.09,0.1,6,2025-05-03,77,"30",1,"0-130"
11.575,0.25,6,2025-05-03,77,"30",1,"0-130"
16.7,0.5,6,2025-05-03,77,"30",1,"0-130"
17.725,0.75,6,2025-05-03,77,"30",1,"0-130"
18.33,0.9,6,2025-05-03,77,"30",1,"0-130"
19.8,0.95,6,2025-05-03,77,"30",1,"0-130"
19.8525,0.975,6,2025-05-03,77,"30",1,"0-130"
19.902,0.99,6,2025-05-03,77,"30",1,"0-130"
1.1,0.01,6,2025-05-03,77,"30",1,"0-64"
1.2,0.025,6,2025-05-03,77,"30",1,"0-64"
1.2,0.05,6,2025-05-03,77,"30",1,"0-64"
1.49,0.1,6,2025-05-03,77,"30",1,"0-64"
5.575,0.25,6,2025-05-03,77,"30",1,"0-64"
8,0.5,6,2025-05-03,77,"30",1,"0-64"
8.525,0.75,6,2025-05-03,77,"30",1,"0-64"
8.82,0.9,6,2025-05-03,77,"30",1,"0-64"
9.5,0.95,6,2025-05-03,77,"30",1,"0-64"
9.5525,0.975,6,2025-05-03,77,"30",1,"0-64"
9.601,0.99,6,2025-05-03,77,"30",1,"0-64"
1.2,0.01,6,2025-05-03,77,"30",1,"65-130"
1.2,0.025,6,2025-05-03,77,"30",1,"65-130"
1.3,0.05,6,2025-05-03,77,"30",1,"65-130"
1.6,0.1,6,2025-05-03,77,"30",1,"65-130"
6,0.25,6,2025-05-03,77,"30",1,"65-130"
8.7,0.5,6,2025-05-03,77,"30",1,"65-130"
