"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
3.1,0.01,3,2025-05-03,77,"10",1,"0-130"
3.3,0.025,3,2025-05-03,77,"10",1,"0-130"
3.5,0.05,3,2025-05-03,77,"10",1,"0-130"
3.8,0.1,3,2025-05-03,77,"10",1,"0-130"
5.5,0.25,3,2025-05-03,77,"10",1,"0-130"
8.6,0.5,3,2025-05-03,77,"10",1,"0-130"
14.3,0.75,3,2025-05-03,77,"10",1,"0-130"
24.4,0.9,3,2025-05-03,77,"10",1,"0-130"
26.5,0.95,3,2025-05-03,77,"10",1,"0-130"
42.7,0.975,3,2025-05-03,77,"10",1,"0-130"
43.7,0.99,3,2025-05-03,77,"10",1,"0-130"
2.1,0.01,3,2025-05-03,77,"10",1,"0-64"
2.2,0.025,3,2025-05-03,77,"10",1,"0-64"
2.3,0.05,3,2025-05-03,77,"10",1,"0-64"
2.6,0.1,3,2025-05-03,77,"10",1,"0-64"
3.6,0.25,3,2025-05-03,77,"10",1,"0-64"
5.8,0.5,3,2025-05-03,77,"10",1,"0-64"
9.2,0.75,3,2025-05-03,77,"10",1,"0-64"
14.5,0.9,3,2025-05-03,77,"10",1,"0-64"
15.6,0.95,3,2025-05-03,77,"10",1,"0-64"
25,0.975,3,2025-05-03,77,"10",1,"0-64"
25.6,0.99,3,2025-05-03,77,"10",1,"0-64"
1,0.01,3,2025-05-03,77,"10",1,"65-130"
1,0.025,3,2025-05-03,77,"10",1,"65-130"
1.1,0.05,3,2025-05-03,77,"10",1,"65-130"
1.2,0.1,3,2025-05-03,77,"10",1,"65-130"
1.8,0.25,3,2025-05-03,77,"10",1,"65-130"
2.8,0.5,3,2025-05-03,77,"10",1,"65-130"
5.2,0.75,3,2025-05-03,77,"10",1,"65-130"
10,0.9,3,2025-05-03,77,"10",1,"65-130"
11,0.95,3,2025-05-03,77,"10",1,"65-130"
17.3,0.975,3,2025-05-03,77,"10",1,"65-130"
18,0.99,3,2025-05-03,77,"10",1,"65-130"
0,0.01,6,2025-05-03,77,"10",1,"0-130"
0,0.025,6,2025-05-03,77,"10",1,"0-130"
0,0.05,6,2025-05-03,77,"10",1,"0-130"
0,0.1,6,2025-05-03,77,"10",1,"0-130"
0,0.25,6,2025-05-03,77,"10",1,"0-130"
0,0.5,6,2025-05-03,77,"10",1,"0-130"
0,0.75,6,2025-05-03,77,"10",1,"0-130"
0,0.9,6,2025-05-03,77,"10",1,"0-130"
0,0.95,6,2025-05-03,77,"10",1,"0-130"
0,0.975,6,2025-05-03,77,"10",1,"0-130"
0.001,0.99,6,2025-05-03,77,"10",1,"0-130"
0,0.01,6,2025-05-03,77,"10",1,"0-64"
0,0.025,6,2025-05-03,77,"10",1,"0-64"
