"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
8,0.01,3,2025-05-03,77,"27",1,"0-130"
8.7,0.025,3,2025-05-03,77,"27",1,"0-130"
9.2,0.05,3,2025-05-03,77,"27",1,"0-130"
9.9,0.1,3,2025-05-03,77,"27",1,"0-130"
14.4,0.25,3,2025-05-03,77,"27",1,"0-130"
38.7,0.5,3,2025-05-03,77,"27",1,"0-130"
94.2,0.75,3,2025-05-03,77,"27",1,"0-130"
185.1,0.9,3,2025-05-03,77,"27",1,"0-130"
219.2,0.95,3,2025-05-03,77,"27",1,"0-130"
249,0.975,3,2025-05-03,77,"27",1,"0-130"
271,0.99,3,2025-05-03,77,"27",1,"0-130"
5.6,0.01,3,2025-05-03,77,"27",1,"0-64"
6.2,0.025,3,2025-05-03,77,"27",1,"0-64"
6.3,0.05,3,2025-05-03,77,"27",1,"0-64"
6.7,0.1,3,2025-05-03,77,"27",1,"0-64"
9.7,0.25,3,2025-05-03,77,"27",1,"0-64"
24.7,0.5,3,2025-05-03,77,"27",1,"0-64"
58.7,0.75,3,2025-05-03,77,"27",1,"0-64"
109.5,0.9,3,2025-05-03,77,"27",1,"0-64"
132.9,0.95,3,2025-05-03,77,"27",1,"0-64"
151.8,0.975,3,2025-05-03,77,"27",1,"0-64"
164.1,0.99,3,2025-05-03,77,"27",1,"0-64"
2.3,0.01,3,2025-05-03,77,"27",1,"65-130"
2.5,0.025,3,2025-05-03,77,"27",1,"65-130"
2.7,0.05,3,2025-05-03,77,"27",1,"65-130"
3.1,0.1,3,2025-05-03,77,"27",1,"65-130"
4.8,0.25,3,2025-05-03,77,"27",1,"65-130"
13.7,0.5,3,2025-05-03,77,"27",1,"65-130"
36.1,0.75,3,2025-05-03,77,"27",1,"65-130"
71.8,0.9,3,2025-05-03,77,"27",1,"65-130"
86.4,0.95,3,2025-05-03,77,"27",1,"65-130"
98,0.975,3,2025-05-03,77,"27",1,"65-130"
110.3,0.99,3,2025-05-03,77,"27",1,"65-130"
26.684,0.01,6,2025-05-03,77,"27",1,"0-130"
27.195,0.025,6,2025-05-03,77,"27",1,"0-130"
28.16,0.05,6,2025-05-03,77,"27",1,"0-130"
30.06,0.1,6,2025-05-03,77,"27",1,"0-130"
34.025,0.25,6,2025-05-03,77,"27",1,"0-130"
48.35,0.5,6,2025-05-03,77,"27",1,"0-130"
58.7,0.75,6,2025-05-03,77,"27",1,"0-130"
69.87,0.9,6,2025-05-03,77,"27",1,"0-130"
86.245,0.95,6,2025-05-03,77,"27",1,"0-130"
90.11,0.975,6,2025-05-03,77,"27",1,"0-130"
97.754,0.99,6,2025-05-03,77,"27",1,"0-130"
13.591,0.01,6,2025-05-03,77,"27",1,"0-64"
13.8,0.025,6,2025-05-03,77,"27",1,"0-64"
14.28,0.05,6,2025-05-03,77,"27",1,"0-64"
15.28,0.1,6,2025-05-03,77,"27",1,"0-64"
17.25,0.25,6,2025-05-03,77,"27",1,"0-64"
24.55,0.5,6,2025-05-03,77,"27",1,"0-64"
29.8,0.75,6,2025-05-03,77,"27",1,"0-64"
35.44,0.9,6,2025-05-03,77,"27",1,"0-64"
43.725,0.95,6,2025-05-03,77,"27",1,"0-64"
