"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
42,0.01,3,2025-05-03,77,"34",1,"0-130"
47,0.025,3,2025-05-03,77,"34",1,"0-130"
47.7,0.05,3,2025-05-03,77,"34",1,"0-130"
61.5,0.1,3,2025-05-03,77,"34",1,"0-130"
86.1,0.25,3,2025-05-03,77,"34",1,"0-130"
153,0.5,3,2025-05-03,77,"34",1,"0-130"
274.9,0.75,3,2025-05-03,77,"34",1,"0-130"
402.1,0.9,3,2025-05-03,77,"34",1,"0-130"
477.4,0.95,3,2025-05-03,77,"34",1,"0-130"
488.7,0.975,3,2025-05-03,77,"34",1,"0-130"
517,0.99,3,2025-05-03,77,"34",1,"0-130"
29.4,0.01,3,2025-05-03,77,"34",1,"0-64"
33.1,0.025,3,2025-05-03,77,"34",1,"0-64"
33.4,0.05,3,2025-05-03,77,"34",1,"0-64"
41,0.1,3,2025-05-03,77,"34",1,"0-64"
58.5,0.25,3,2025-05-03,77,"34",1,"0-64"
102.6,0.5,3,2025-05-03,77,"34",1,"0-64"
167.7,0.75,3,2025-05-03,77,"34",1,"0-64"
241.8,0.9,3,2025-05-03,77,"34",1,"0-64"
290.6,0.95,3,2025-05-03,77,"34",1,"0-64"
294.8,0.975,3,2025-05-03,77,"34",1,"0-64"
311,0.99,3,2025-05-03,77,"34",1,"0-64"
12.6,0.01,3,2025-05-03,77,"34",1,"65-130"
13.8,0.025,3,2025-05-03,77,"34",1,"65-130"
14.3,0.05,3,2025-05-03,77,"34",1,"65-130"
19.9,0.1,3,2025-05-03,77,"34",1,"65-130"
27.4,0.25,3,2025-05-03,77,"34",1,"65-130"
50.2,0.5,3,2025-05-03,77,"34",1,"65-130"
108.2,0.75,3,2025-05-03,77,"34",1,"65-130"
162.8,0.9,3,2025-05-03,77,"34",1,"65-130"
188.2,0.95,3,2025-05-03,77,"34",1,"65-130"
194.3,0.975,3,2025-05-03,77,"34",1,"65-130"
206,0.99,3,2025-05-03,77,"34",1,"65-130"
112.666,0.01,6,2025-05-03,77,"34",1,"0-130"
117.4725,0.025,6,2025-05-03,77,"34",1,"0-130"
129.82,0.05,6,2025-05-03,77,"34",1,"0-130"
149.96,0.1,6,2025-05-03,77,"34",1,"0-130"
174.75,0.25,6,2025-05-03,77,"34",1,"0-130"
191.3,0.5,6,2025-05-03,77,"34",1,"0-130"
201.375,0.75,6,2025-05-03,77,"34",1,"0-130"
217.65,0.9,6,2025-05-03,77,"34",1,"0-130"
255.39,0.95,6,2025-05-03,77,"34",1,"0-130"
281.0525,0.975,6,2025-05-03,77,"34",1,"0-130"
292.258,0.99,6,2025-05-03,77,"34",1,"0-130"
57.132,0.01,6,2025-05-03,77,"34",1,"0-64"
59.56,0.025,6,2025-05-03,77,"34",1,"0-64"
65.81,0.05,6,2025-05-03,77,"34",1,"0-64"
75.98,0.1,6,2025-05-03,77,"34",1,"0-64"
88.525,0.25,6,2025-05-03,77,"34",1,"0-64"
96.9,0.5,6,2025-05-03,77,"34",1,"0-64"
102.075,0.75,6,2025-05-03,77,"34",1,"0-64"
