"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
108.8,0.01,3,2025-05-03,77,"36",1,"0-130"
172.7,0.025,3,2025-05-03,77,"36",1,"0-130"
216.3,0.05,3,2025-05-03,77,"36",1,"0-130"
286.7,0.1,3,2025-05-03,77,"36",1,"0-130"
358.8,0.25,3,2025-05-03,77,"36",1,"0-130"
653.3,0.5,3,2025-05-03,77,"36",1,"0-130"
1034.6,0.75,3,2025-05-03,77,"36",1,"0-130"
1151.9,0.9,3,2025-05-03,77,"36",1,"0-130"
1204.7,0.95,3,2025-05-03,77,"36",1,"0-130"
1356.5,0.975,3,2025-05-03,77,"36",1,"0-130"
1505.9,0.99,3,2025-05-03,77,"36",1,"0-130"
76.2,0.01,3,2025-05-03,77,"36",1,"0-64"
119.9,0.025,3,2025-05-03,77,"36",1,"0-64"
147.8,0.05,3,2025-05-03,77,"36",1,"0-64"
193.6,0.1,3,2025-05-03,77,"36",1,"0-64"
238,0.25,3,2025-05-03,77,"36",1,"0-64"
411.2,0.5,3,2025-05-03,77,"36",1,"0-64"
632.3,0.75,3,2025-05-03,77,"36",1,"0-64"
697,0.9,3,2025-05-03,77,"36",1,"0-64"
743.5,0.95,3,2025-05-03,77,"36",1,"0-64"
818.9,0.975,3,2025-05-03,77,"36",1,"0-64"
906.5,0.99,3,2025-05-03,77,"36",1,"0-64"
33.1,0.01,3,2025-05-03,77,"36",1,"65-130"
52.5,0.025,3,2025-05-03,77,"36",1,"65-130"
71,0.05,3,2025-05-03,77,"36",1,"65-130"
94.7,0.1,3,2025-05-03,77,"36",1,"65-130"
120.5,0.25,3,2025-05-03,77,"36",1,"65-130"
251.1,0.5,3,2025-05-03,77,"36",1,"65-130"
399.8,0.75,3,2025-05-03,77,"36",1,"65-130"
453.6,0.9,3,2025-05-03,77,"36",1,"65-130"
459.4,0.95,3,2025-05-03,77,"36",1,"65-130"
540.6,0.975,3,2025-05-03,77,"36",1,"65-130"
600,0.99,3,2025-05-03,77,"36",1,"65-130"
327.081,0.01,6,2025-05-03,77,"36",1,"0-130"
333.915,0.025,6,2025-05-03,77,"36",1,"0-130"
342.66,0.05,6,2025-05-03,77,"36",1,"0-130"
371.32,0.1,6,2025-05-03,77,"36",1,"0-130"
415.025,0.25,6,2025-05-03,77,"36",1,"0-130"
510.1,0.5,6,2025-05-03,77,"36",1,"0-130"
670.2,0.75,6,2025-05-03,77,"36",1,"0-130"
745.95,0.9,6,2025-05-03,77,"36",1,"0-130"
805.485,0.95,6,2025-05-03,77,"36",1,"0-130"
828.9925,0.975,6,2025-05-03,77,"36",1,"0-130"
835.43,0.99,6,2025-05-03,77,"36",1,"0-130"
162.84,0.01,6,2025-05-03,77,"36",1,"0-64"
166.1575,0.025,6,2025-05-03,77,"36",1,"0-64"
170.53,0.05,6,2025-05-03,77,"36",1,"0-64"
184.81,0.1,6,2025-05-03,77,"36",1,"0-64"
206.55,0.25,6,2025-05-03,77,"36",1,"0-64"
253.85,0.5,6,2025-05-03,77,"36",1,"0-64"
333.55,0.75,6,2025-05-03,77,"36",1,"0-64"
371.22,0.9,6,2025-05-03,77,"36",1,"0-64"
400.89,0.95,6,2025-05-03,77,"36",1,"0-64"
412.57,0.975,6,2025-05-03,77,"36",1,"0-64"
415.814,0.99,6,2025-05-03,77,"36",1,"0-64"
164.34,0.01,6,2025-05-03,77,"36",1,"65-130"
167.7575,0.025,6,2025-05-03,77,"36",1,"65-130"
172.13,0.05,6,2025-05-03,77,"36",1,"65-130"
186.51,0.1,6,2025-05-03,77,"36",1,"65-130"
208.475,0.25,6,2025-05-03,77,"36",1,"65-130"
256.2,0.5,6,2025-05-03,77,"36",1,"65-130"
336.65,0.75,6,2025-05-03,77,"36",1,"65-130"
374.72,0.9,6,2025-05-03,77,"36",1,"65-130"
404.595,0.95,6,2025-05-03,77,"36",1,"65-130"
416.4225,0.975,6,2025-05-03,77,"36",1,"65-130"
419.616,0.99,6,2025-05-03,77,"36",1,"65-130"
309.297,0.01,7,2025-05-03,77,"36",1,"0-130"
314.02125,0.025,7,2025-05-03,77,"36",1,"0-130"
320.7875,0.05,7,2025-05-03,77,"36",1,"0-130"
338.405,0.1,7,2025-05-03,77,"36",1,"0-130"
423.5125,0.25,7,2025-05-03,77,"36",1,"0-130"
644.2,0.5,7,2025-05-03,77,"36",1,"0-130"
695.225,0.75,7,2025-05-03,77,"36",1,"0-130"
761.025,0.9,7,2025-05-03,77,"36",1,"0-130"
801.6075,0.95,7,2025-05-03,77,"36",1,"0-130"
836.75875,0.975,7,2025-05-03,77,"36",1,"0-130"
840.25,0.99,7,2025-05-03,77,"36",1,"0-130"
122.4005,0.01,7,2025-05-03,77,"36",1,"0-64"
136.1625,0.025,7,2025-05-03,77,"36",1,"0-64"
155.4,0.05,7,2025-05-03,77,"36",1,"0-64"
182.305,0.1,7,2025-05-03,77,"36",1,"0-64"
197.075,0.25,7,2025-05-03,77,"36",1,"0-64"
246.175,0.5,7,2025-05-03,77,"36",1,"0-64"
277.125,0.75,7,2025-05-03,77,"36",1,"0-64"
291.7,0.9,7,2025-05-03,77,"36",1,"0-64"
301.55,0.95,7,2025-05-03,77,"36",1,"0-64"
315.075,0.975,7,2025-05-03,77,"36",1,"0-64"
320.505,0.99,7,2025-05-03,77,"36",1,"0-64"
172.0875,0.01,7,2025-05-03,77,"36",1,"65-130"
176.9375,0.025,7,2025-05-03,77,"36",1,"65-130"
183.1825,0.05,7,2025-05-03,77,"36",1,"65-130"
192.03,0.1,7,2025-05-03,77,"36",1,"65-130"
224.525,0.25,7,2025-05-03,77,"36",1,"65-130"
322.125,0.5,7,2025-05-03,77,"36",1,"65-130"
422.625,0.75,7,2025-05-03,77,"36",1,"65-130"
463.18,0.9,7,2025-05-03,77,"36",1,"65-130"
484.3,0.95,7,2025-05-03,77,"36",1,"65-130"
524.0625,0.975,7,2025-05-03,77,"36",1,"65-130"
560.51,0.99,7,2025-05-03,77,"36",1,"65-130"
155.3273245684,0.01,12,2025-05-03,77,"36",1,"0-130"
236.1325516112,0.025,12,2025-05-03,77,"36",1,"0-130"
298.0631737386,0.05,12,2025-05-03,77,"36",1,"0-130"
325.0947093515,0.1,12,2025-05-03,77,"36",1,"0-130"
427.831539422,0.25,12,2025-05-03,77,"36",1,"0-130"
626.7882821379,0.5,12,2025-05-03,77,"36",1,"0-130"
709.3830238478,0.75,12,2025-05-03,77,"36",1,"0-130"
817.8042862207,0.9,12,2025-05-03,77,"36",1,"0-130"
999.1098190604,0.95,12,2025-05-03,77,"36",1,"0-130"
1103.1700206072,0.975,12,2025-05-03,77,"36",1,"0-130"
1194.14,0.99,12,2025-05-03,77,"36",1,"0-130"
75.7283446251,0.01,12,2025-05-03,77,"36",1,"0-64"
100.5101380094,0.025,12,2025-05-03,77,"36",1,"0-64"
110.2419888136,0.05,12,2025-05-03,77,"36",1,"0-64"
117.7749181,0.1,12,2025-05-03,77,"36",1,"0-64"
185.4349220828,0.25,12,2025-05-03,77,"36",1,"0-64"
214.8940999274,0.5,12,2025-05-03,77,"36",1,"0-64"
277.4271129784,0.75,12,2025-05-03,77,"36",1,"0-64"
341.7159121003,0.9,12,2025-05-03,77,"36",1,"0-64"
420.1691735544,0.95,12,2025-05-03,77,"36",1,"0-64"
569.345,0.975,12,2025-05-03,77,"36",1,"0-64"
685.716,0.99,12,2025-05-03,77,"36",1,"0-64"
91.6628386052,0.01,12,2025-05-03,77,"36",1,"65-130"
123.4198221093,0.025,12,2025-05-03,77,"36",1,"65-130"
152.2501989722,0.05,12,2025-05-03,77,"36",1,"65-130"
184.0123473866,0.1,12,2025-05-03,77,"36",1,"65-130"
226.388052396,0.25,12,2025-05-03,77,"36",1,"65-130"
377.8141513746,0.5,12,2025-05-03,77,"36",1,"65-130"
432.1110034708,0.75,12,2025-05-03,77,"36",1,"65-130"
481.4949792196,0.9,12,2025-05-03,77,"36",1,"65-130"
537.1317218174,0.95,12,2025-05-03,77,"36",1,"65-130"
580.0747406183,0.975,12,2025-05-03,77,"36",1,"65-130"
623.5692807948,0.99,12,2025-05-03,77,"36",1,"65-130"
141.6306513688,0.01,15,2025-05-03,77,"36",1,"0-130"
183.71595089,0.025,15,2025-05-03,77,"36",1,"0-130"
231.5631209664,0.05,15,2025-05-03,77,"36",1,"0-130"
303.0428646849,0.1,15,2025-05-03,77,"36",1,"0-130"
373.1370139938,0.25,15,2025-05-03,77,"36",1,"0-130"
620.7676922058,0.5,15,2025-05-03,77,"36",1,"0-130"
712.6189883082,0.75,15,2025-05-03,77,"36",1,"0-130"
852.4093299747,0.9,15,2025-05-03,77,"36",1,"0-130"
1095.3916203701,0.95,15,2025-05-03,77,"36",1,"0-130"
1285.9235614893,0.975,15,2025-05-03,77,"36",1,"0-130"
1558.5761027958,0.99,15,2025-05-03,77,"36",1,"0-130"
46.5419778523,0.01,15,2025-05-03,77,"36",1,"0-64"
56.4270795256,0.025,15,2025-05-03,77,"36",1,"0-64"
73.1560529776,0.05,15,2025-05-03,77,"36",1,"0-64"
104.7188398302,0.1,15,2025-05-03,77,"36",1,"0-64"
147.6349207671,0.25,15,2025-05-03,77,"36",1,"0-64"
214.3291596992,0.5,15,2025-05-03,77,"36",1,"0-64"
285.2022375521,0.75,15,2025-05-03,77,"36",1,"0-64"
416.5671562217,0.9,15,2025-05-03,77,"36",1,"0-64"
617.7642994578,0.95,15,2025-05-03,77,"36",1,"0-64"
679.275729473,0.975,15,2025-05-03,77,"36",1,"0-64"
739.6940014354,0.99,15,2025-05-03,77,"36",1,"0-64"
69.1471078687,0.01,15,2025-05-03,77,"36",1,"65-130"
