"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
42.3,0.01,3,2025-05-03,77,"37",1,"0-130"
43.5,0.025,3,2025-05-03,77,"37",1,"0-130"
47.3,0.05,3,2025-05-03,77,"37",1,"0-130"
50.7,0.1,3,2025-05-03,77,"37",1,"0-130"
77.5,0.25,3,2025-05-03,77,"37",1,"0-130"
150,0.5,3,2025-05-03,77,"37",1,"0-130"
277.2,0.75,3,2025-05-03,77,"37",1,"0-130"
381.4,0.9,3,2025-05-03,77,"37",1,"0-130"
393.6,0.95,3,2025-05-03,77,"37",1,"0-130"
405,0.975,3,2025-05-03,77,"37",1,"0-130"
439.5,0.99,3,2025-05-03,77,"37",1,"0-130"
31,0.01,3,2025-05-03,77,"37",1,"0-64"
31.6,0.025,3,2025-05-03,77,"37",1,"0-64"
33.3,0.05,3,2025-05-03,77,"37",1,"0-64"
36.1,0.1,3,2025-05-03,77,"37",1,"0-64"
53.8,0.25,3,2025-05-03,77,"37",1,"0-64"
101.8,0.5,3,2025-05-03,77,"37",1,"0-64"
171.4,0.75,3,2025-05-03,77,"37",1,"0-64"
234.2,0.9,3,2025-05-03,77,"37",1,"0-64"
242,0.95,3,2025-05-03,77,"37",1,"0-64"
252.5,0.975,3,2025-05-03,77,"37",1,"0-64"
274,0.99,3,2025-05-03,77,"37",1,"0-64"
11.4,0.01,3,2025-05-03,77,"37",1,"65-130"
11.7,0.025,3,2025-05-03,77,"37",1,"65-130"
13.3,0.05,3,2025-05-03,77,"37",1,"65-130"
14.3,0.1,3,2025-05-03,77,"37",1,"65-130"
23.7,0.25,3,2025-05-03,77,"37",1,"65-130"
47.5,0.5,3,2025-05-03,77,"37",1,"65-130"
105.9,0.75,3,2025-05-03,77,"37",1,"65-130"
146.3,0.9,3,2025-05-03,77,"37",1,"65-130"
151.8,0.95,3,2025-05-03,77,"37",1,"65-130"
155.5,0.975,3,2025-05-03,77,"37",1,"65-130"
165.5,0.99,3,2025-05-03,77,"37",1,"65-130"
49.393,0.01,6,2025-05-03,77,"37",1,"0-130"
51.7425,0.025,6,2025-05-03,77,"37",1,"0-130"
55.975,0.05,6,2025-05-03,77,"37",1,"0-130"
59.76,0.1,6,2025-05-03,77,"37",1,"0-130"
69.525,0.25,6,2025-05-03,77,"37",1,"0-130"
100.5,0.5,6,2025-05-03,77,"37",1,"0-130"
201.725,0.75,6,2025-05-03,77,"37",1,"0-130"
234.83,0.9,6,2025-05-03,77,"37",1,"0-130"
244.74,0.95,6,2025-05-03,77,"37",1,"0-130"
261.2325,0.975,6,2025-05-03,77,"37",1,"0-130"
267.818,0.99,6,2025-05-03,77,"37",1,"0-130"
24.397,0.01,6,2025-05-03,77,"37",1,"0-64"
25.595,0.025,6,2025-05-03,77,"37",1,"0-64"
27.735,0.05,6,2025-05-03,77,"37",1,"0-64"
29.58,0.1,6,2025-05-03,77,"37",1,"0-64"
34.375,0.25,6,2025-05-03,77,"37",1,"0-64"
49.75,0.5,6,2025-05-03,77,"37",1,"0-64"
99.8,0.75,6,2025-05-03,77,"37",1,"0-64"
116.21,0.9,6,2025-05-03,77,"37",1,"0-64"
121.115,0.95,6,2025-05-03,77,"37",1,"0-64"
129.24,0.975,6,2025-05-03,77,"37",1,"0-64"
132.509,0.99,6,2025-05-03,77,"37",1,"0-64"
24.897,0.01,6,2025-05-03,77,"37",1,"65-130"
26.095,0.025,6,2025-05-03,77,"37",1,"65-130"
28.24,0.05,6,2025-05-03,77,"37",1,"65-130"
30.18,0.1,6,2025-05-03,77,"37",1,"65-130"
35.075,0.25,6,2025-05-03,77,"37",1,"65-130"
50.8,0.5,6,2025-05-03,77,"37",1,"65-130"
101.9,0.75,6,2025-05-03,77,"37",1,"65-130"
118.62,0.9,6,2025-05-03,77,"37",1,"65-130"
123.62,0.95,6,2025-05-03,77,"37",1,"65-130"
131.9925,0.975,6,2025-05-03,77,"37",1,"65-130"
135.309,0.99,6,2025-05-03,77,"37",1,"65-130"
85.9315,0.01,7,2025-05-03,77,"37",1,"0-130"
89.4125,0.025,7,2025-05-03,77,"37",1,"0-130"
93.845,0.05,7,2025-05-03,77,"37",1,"0-130"
99.62,0.1,7,2025-05-03,77,"37",1,"0-130"
113.1375,0.25,7,2025-05-03,77,"37",1,"0-130"
146.1,0.5,7,2025-05-03,77,"37",1,"0-130"
214.6875,0.75,7,2025-05-03,77,"37",1,"0-130"
242.78,0.9,7,2025-05-03,77,"37",1,"0-130"
269.955,0.95,7,2025-05-03,77,"37",1,"0-130"
297.14125,0.975,7,2025-05-03,77,"37",1,"0-130"
305.919,0.99,7,2025-05-03,77,"37",1,"0-130"
33.142,0.01,7,2025-05-03,77,"37",1,"0-64"
33.62375,0.025,7,2025-05-03,77,"37",1,"0-64"
34.5975,0.05,7,2025-05-03,77,"37",1,"0-64"
36.24,0.1,7,2025-05-03,77,"37",1,"0-64"
