"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
58.5,0.01,3,2025-05-03,77,"42",1,"0-130"
61.5,0.025,3,2025-05-03,77,"42",1,"0-130"
63.5,0.05,3,2025-05-03,77,"42",1,"0-130"
86.8,0.1,3,2025-05-03,77,"42",1,"0-130"
162.7,0.25,3,2025-05-03,77,"42",1,"0-130"
580.4,0.5,3,2025-05-03,77,"42",1,"0-130"
669.2,0.75,3,2025-05-03,77,"42",1,"0-130"
844.6,0.9,3,2025-05-03,77,"42",1,"0-130"
886,0.95,3,2025-05-03,77,"42",1,"0-130"
1009.6,0.975,3,2025-05-03,77,"42",1,"0-130"
1024.8,0.99,3,2025-05-03,77,"42",1,"0-130"
39.7,0.01,3,2025-05-03,77,"42",1,"0-64"
41,0.025,3,2025-05-03,77,"42",1,"0-64"
42.3,0.05,3,2025-05-03,77,"42",1,"0-64"
56.2,0.1,3,2025-05-03,77,"42",1,"0-64"
107,0.25,3,2025-05-03,77,"42",1,"0-64"
333.8,0.5,3,2025-05-03,77,"42",1,"0-64"
385.8,0.75,3,2025-05-03,77,"42",1,"0-64"
473.2,0.9,3,2025-05-03,77,"42",1,"0-64"
492.8,0.95,3,2025-05-03,77,"42",1,"0-64"
568.6,0.975,3,2025-05-03,77,"42",1,"0-64"
579.9,0.99,3,2025-05-03,77,"42",1,"0-64"
18.7,0.01,3,2025-05-03,77,"42",1,"65-130"
19.6,0.025,3,2025-05-03,77,"42",1,"65-130"
20.5,0.05,3,2025-05-03,77,"42",1,"65-130"
28.9,0.1,3,2025-05-03,77,"42",1,"65-130"
57,0.25,3,2025-05-03,77,"42",1,"65-130"
246.6,0.5,3,2025-05-03,77,"42",1,"65-130"
284.5,0.75,3,2025-05-03,77,"42",1,"65-130"
371,0.9,3,2025-05-03,77,"42",1,"65-130"
392.2,0.95,3,2025-05-03,77,"42",1,"65-130"
440.9,0.975,3,2025-05-03,77,"42",1,"65-130"
444.9,0.99,3,2025-05-03,77,"42",1,"65-130"
0.398,0.01,6,2025-05-03,77,"42",1,"0-130"
0.595,0.025,6,2025-05-03,77,"42",1,"0-130"
0.795,0.05,6,2025-05-03,77,"42",1,"0-130"
1.2,0.1,6,2025-05-03,77,"42",1,"0-130"
2.35,0.25,6,2025-05-03,77,"42",1,"0-130"
4.05,0.5,6,2025-05-03,77,"42",1,"0-130"
7.525,0.75,6,2025-05-03,77,"42",1,"0-130"
12.2,0.9,6,2025-05-03,77,"42",1,"0-130"
