"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
2.1,0.01,3,2025-05-03,77,"44",1,"0-130"
2.1,0.025,3,2025-05-03,77,"44",1,"0-130"
2.4,0.05,3,2025-05-03,77,"44",1,"0-130"
3.2,0.1,3,2025-05-03,77,"44",1,"0-130"
7.6,0.25,3,2025-05-03,77,"44",1,"0-130"
15,0.5,3,2025-05-03,77,"44",1,"0-130"
45.5,0.75,3,2025-05-03,77,"44",1,"0-130"
60.5,0.9,3,2025-05-03,77,"44",1,"0-130"
63.7,0.95,3,2025-05-03,77,"44",1,"0-130"
69.2,0.975,3,2025-05-03,77,"44",1,"0-130"
71.5,0.99,3,2025-05-03,77,"44",1,"0-130"
1.4,0.01,3,2025-05-03,77,"44",1,"0-64"
1.6,0.025,3,2025-05-03,77,"44",1,"0-64"
1.6,0.05,3,2025-05-03,77,"44",1,"0-64"
2.1,0.1,3,2025-05-03,77,"44",1,"0-64"
5,0.25,3,2025-05-03,77,"44",1,"0-64"
9.8,0.5,3,2025-05-03,77,"44",1,"0-64"
26.3,0.75,3,2025-05-03,77,"44",1,"0-64"
34.3,0.9,3,2025-05-03,77,"44",1,"0-64"
36.4,0.95,3,2025-05-03,77,"44",1,"0-64"
38.8,0.975,3,2025-05-03,77,"44",1,"0-64"
40.3,0.99,3,2025-05-03,77,"44",1,"0-64"
0.6,0.01,3,2025-05-03,77,"44",1,"65-130"
0.7,0.025,3,2025-05-03,77,"44",1,"65-130"
0.8,0.05,3,2025-05-03,77,"44",1,"65-130"
1,0.1,3,2025-05-03,77,"44",1,"65-130"
2.5,0.25,3,2025-05-03,77,"44",1,"65-130"
5.5,0.5,3,2025-05-03,77,"44",1,"65-130"
19.1,0.75,3,2025-05-03,77,"44",1,"65-130"
25.9,0.9,3,2025-05-03,77,"44",1,"65-130"
27.2,0.95,3,2025-05-03,77,"44",1,"65-130"
29.2,0.975,3,2025-05-03,77,"44",1,"65-130"
31.1,0.99,3,2025-05-03,77,"44",1,"65-130"
17.999,0.01,6,2025-05-03,77,"44",1,"0-130"
18.2,0.025,6,2025-05-03,77,"44",1,"0-130"
19.55,0.05,6,2025-05-03,77,"44",1,"0-130"
