"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
40.7,0.01,3,2025-05-03,77,"26",1,"0-130"
42.4,0.025,3,2025-05-03,77,"26",1,"0-130"
43.9,0.05,3,2025-05-03,77,"26",1,"0-130"
44.9,0.1,3,2025-05-03,77,"26",1,"0-130"
67.6,0.25,3,2025-05-03,77,"26",1,"0-130"
211.2,0.5,3,2025-05-03,77,"26",1,"0-130"
360.3,0.75,3,2025-05-03,77,"26",1,"0-130"
460.6,0.9,3,2025-05-03,77,"26",1,"0-130"
525.4,0.95,3,2025-05-03,77,"26",1,"0-130"
550.7,0.975,3,2025-05-03,77,"26",1,"0-130"
599.9,0.99,3,2025-05-03,77,"26",1,"0-130"
29.5,0.01,3,2025-05-03,77,"26",1,"0-64"
30.1,0.025,3,2025-05-03,77,"26",1,"0-64"
30.9,0.05,3,2025-05-03,77,"26",1,"0-64"
32,0.1,3,2025-05-03,77,"26",1,"0-64"
46.1,0.25,3,2025-05-03,77,"26",1,"0-64"
132.4,0.5,3,2025-05-03,77,"26",1,"0-64"
218.1,0.75,3,2025-05-03,77,"26",1,"0-64"
274.7,0.9,3,2025-05-03,77,"26",1,"0-64"
316.2,0.95,3,2025-05-03,77,"26",1,"0-64"
325.7,0.975,3,2025-05-03,77,"26",1,"0-64"
352.5,0.99,3,2025-05-03,77,"26",1,"0-64"
10.8,0.01,3,2025-05-03,77,"26",1,"65-130"
11.5,0.025,3,2025-05-03,77,"26",1,"65-130"
12.3,0.05,3,2025-05-03,77,"26",1,"65-130"
13.2,0.1,3,2025-05-03,77,"26",1,"65-130"
21.3,0.25,3,2025-05-03,77,"26",1,"65-130"
78.8,0.5,3,2025-05-03,77,"26",1,"65-130"
145.5,0.75,3,2025-05-03,77,"26",1,"65-130"
187.6,0.9,3,2025-05-03,77,"26",1,"65-130"
210.1,0.95,3,2025-05-03,77,"26",1,"65-130"
227.8,0.975,3,2025-05-03,77,"26",1,"65-130"
247.6,0.99,3,2025-05-03,77,"26",1,"65-130"
0.5,0.01,6,2025-05-03,77,"26",1,"0-130"
0.8,0.025,6,2025-05-03,77,"26",1,"0-130"
1.2,0.05,6,2025-05-03,77,"26",1,"0-130"
1.3,0.1,6,2025-05-03,77,"26",1,"0-130"
2.3,0.25,6,2025-05-03,77,"26",1,"0-130"
3.6,0.5,6,2025-05-03,77,"26",1,"0-130"
7,0.75,6,2025-05-03,77,"26",1,"0-130"
11.1,0.9,6,2025-05-03,77,"26",1,"0-130"
12,0.95,6,2025-05-03,77,"26",1,"0-130"
