"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
2.5,0.01,3,2025-05-03,77,"33",1,"0-130"
2.7,0.025,3,2025-05-03,77,"33",1,"0-130"
2.9,0.05,3,2025-05-03,77,"33",1,"0-130"
3.2,0.1,3,2025-05-03,77,"33",1,"0-130"
4.3,0.25,3,2025-05-03,77,"33",1,"0-130"
10.1,0.5,3,2025-05-03,77,"33",1,"0-130"
25.8,0.75,3,2025-05-03,77,"33",1,"0-130"
46,0.9,3,2025-05-03,77,"33",1,"0-130"
55.8,0.95,3,2025-05-03,77,"33",1,"0-130"
69.2,0.975,3,2025-05-03,77,"33",1,"0-130"
73.9,0.99,3,2025-05-03,77,"33",1,"0-130"
1.8,0.01,3,2025-05-03,77,"33",1,"0-64"
1.8,0.025,3,2025-05-03,77,"33",1,"0-64"
2,0.05,3,2025-05-03,77,"33",1,"0-64"
2.1,0.1,3,2025-05-03,77,"33",1,"0-64"
2.8,0.25,3,2025-05-03,77,"33",1,"0-64"
6.3,0.5,3,2025-05-03,77,"33",1,"0-64"
15.5,0.75,3,2025-05-03,77,"33",1,"0-64"
27.6,0.9,3,2025-05-03,77,"33",1,"0-64"
32.9,0.95,3,2025-05-03,77,"33",1,"0-64"
40,0.975,3,2025-05-03,77,"33",1,"0-64"
42.1,0.99,3,2025-05-03,77,"33",1,"0-64"
0.7,0.01,3,2025-05-03,77,"33",1,"65-130"
0.8,0.025,3,2025-05-03,77,"33",1,"65-130"
0.9,0.05,3,2025-05-03,77,"33",1,"65-130"
1,0.1,3,2025-05-03,77,"33",1,"65-130"
1.5,0.25,3,2025-05-03,77,"33",1,"65-130"
3.9,0.5,3,2025-05-03,77,"33",1,"65-130"
10.3,0.75,3,2025-05-03,77,"33",1,"65-130"
18.6,0.9,3,2025-05-03,77,"33",1,"65-130"
23.4,0.95,3,2025-05-03,77,"33",1,"65-130"
29.1,0.975,3,2025-05-03,77,"33",1,"65-130"
31.7,0.99,3,2025-05-03,77,"33",1,"65-130"
1.4,0.01,6,2025-05-03,77,"33",1,"0-130"
1.5,0.025,6,2025-05-03,77,"33",1,"0-130"
1.8,0.05,6,2025-05-03,77,"33",1,"0-130"
1.9,0.1,6,2025-05-03,77,"33",1,"0-130"
4.3,0.25,6,2025-05-03,77,"33",1,"0-130"
8.1,0.5,6,2025-05-03,77,"33",1,"0-130"
26.1,0.75,6,2025-05-03,77,"33",1,"0-130"
28.6,0.9,6,2025-05-03,77,"33",1,"0-130"
29.8,0.95,6,2025-05-03,77,"33",1,"0-130"
44.2,0.975,6,2025-05-03,77,"33",1,"0-130"
46.9,0.99,6,2025-05-03,77,"33",1,"0-130"
0.6,0.01,6,2025-05-03,77,"33",1,"0-64"
0.7,0.025,6,2025-05-03,77,"33",1,"0-64"
0.8,0.05,6,2025-05-03,77,"33",1,"0-64"
0.9,0.1,6,2025-05-03,77,"33",1,"0-64"
2,0.25,6,2025-05-03,77,"33",1,"0-64"
3.8,0.5,6,2025-05-03,77,"33",1,"0-64"
12.1,0.75,6,2025-05-03,77,"33",1,"0-64"
13.2,0.9,6,2025-05-03,77,"33",1,"0-64"
13.7,0.95,6,2025-05-03,77,"33",1,"0-64"
20.4,0.975,6,2025-05-03,77,"33",1,"0-64"
21.6,0.99,6,2025-05-03,77,"33",1,"0-64"
0.7,0.01,6,2025-05-03,77,"33",1,"65-130"
0.8,0.025,6,2025-05-03,77,"33",1,"65-130"
0.9,0.05,6,2025-05-03,77,"33",1,"65-130"
1,0.1,6,2025-05-03,77,"33",1,"65-130"
2.3,0.25,6,2025-05-03,77,"33",1,"65-130"
4.4,0.5,6,2025-05-03,77,"33",1,"65-130"
14.1,0.75,6,2025-05-03,77,"33",1,"65-130"
15.4,0.9,6,2025-05-03,77,"33",1,"65-130"
16,0.95,6,2025-05-03,77,"33",1,"65-130"
23.8,0.975,6,2025-05-03,77,"33",1,"65-130"
25.2,0.99,6,2025-05-03,77,"33",1,"65-130"
5.748,0.01,7,2025-05-03,77,"33",1,"0-130"
6.18125,0.025,7,2025-05-03,77,"33",1,"0-130"
7.34,0.05,7,2025-05-03,77,"33",1,"0-130"
7.695,0.1,7,2025-05-03,77,"33",1,"0-130"
9,0.25,7,2025-05-03,77,"33",1,"0-130"
14.275,0.5,7,2025-05-03,77,"33",1,"0-130"
25.4,0.75,7,2025-05-03,77,"33",1,"0-130"
29.3,0.9,7,2025-05-03,77,"33",1,"0-130"
30.9,0.95,7,2025-05-03,77,"33",1,"0-130"
39.1,0.975,7,2025-05-03,77,"33",1,"0-130"
41.45,0.99,7,2025-05-03,77,"33",1,"0-130"
1.3,0.01,7,2025-05-03,77,"33",1,"0-64"
1.8,0.025,7,2025-05-03,77,"33",1,"0-64"
1.9,0.05,7,2025-05-03,77,"33",1,"0-64"
2,0.1,7,2025-05-03,77,"33",1,"0-64"
2.9,0.25,7,2025-05-03,77,"33",1,"0-64"
6.15,0.5,7,2025-05-03,77,"33",1,"0-64"
8.85,0.75,7,2025-05-03,77,"33",1,"0-64"
11.6,0.9,7,2025-05-03,77,"33",1,"0-64"
12.85,0.95,7,2025-05-03,77,"33",1,"0-64"
17.2,0.975,7,2025-05-03,77,"33",1,"0-64"
18.3,0.99,7,2025-05-03,77,"33",1,"0-64"
3.9985,0.01,7,2025-05-03,77,"33",1,"65-130"
4.36,0.025,7,2025-05-03,77,"33",1,"65-130"
5.195,0.05,7,2025-05-03,77,"33",1,"65-130"
6.05,0.1,7,2025-05-03,77,"33",1,"65-130"
7.75,0.25,7,2025-05-03,77,"33",1,"65-130"
10.775,0.5,7,2025-05-03,77,"33",1,"65-130"
15.725,0.75,7,2025-05-03,77,"33",1,"65-130"
18.16,0.9,7,2025-05-03,77,"33",1,"65-130"
20.85,0.95,7,2025-05-03,77,"33",1,"65-130"
24.4,0.975,7,2025-05-03,77,"33",1,"65-130"
25.6,0.99,7,2025-05-03,77,"33",1,"65-130"
2.274,0.01,12,2025-05-03,77,"33",1,"0-130"
2.9225941423,0.025,12,2025-05-03,77,"33",1,"0-130"
3.5100334448,0.05,12,2025-05-03,77,"33",1,"0-130"
5.6674120355,0.1,12,2025-05-03,77,"33",1,"0-130"
9.4392334191,0.25,12,2025-05-03,77,"33",1,"0-130"
16.0694220398,0.5,12,2025-05-03,77,"33",1,"0-130"
23.6648698556,0.75,12,2025-05-03,77,"33",1,"0-130"
30.5426322274,0.9,12,2025-05-03,77,"33",1,"0-130"
42.1206687828,0.95,12,2025-05-03,77,"33",1,"0-130"
53.0144465291,0.975,12,2025-05-03,77,"33",1,"0-130"
69.8301226279,0.99,12,2025-05-03,77,"33",1,"0-130"
0.7137588652,0.01,12,2025-05-03,77,"33",1,"0-64"
0.9,0.025,12,2025-05-03,77,"33",1,"0-64"
1.3152173913,0.05,12,2025-05-03,77,"33",1,"0-64"
1.8450608383,0.1,12,2025-05-03,77,"33",1,"0-64"
2.265325757,0.25,12,2025-05-03,77,"33",1,"0-64"
4.8977260122,0.5,12,2025-05-03,77,"33",1,"0-64"
8.3125156898,0.75,12,2025-05-03,77,"33",1,"0-64"
12.6680728265,0.9,12,2025-05-03,77,"33",1,"0-64"
16.4753658868,0.95,12,2025-05-03,77,"33",1,"0-64"
21.4989235515,0.975,12,2025-05-03,77,"33",1,"0-64"
26.7176328502,0.99,12,2025-05-03,77,"33",1,"0-64"
0.8279207921,0.01,12,2025-05-03,77,"33",1,"65-130"
1.0220994475,0.025,12,2025-05-03,77,"33",1,"65-130"
1.6,0.05,12,2025-05-03,77,"33",1,"65-130"
3.376827012,0.1,12,2025-05-03,77,"33",1,"65-130"
4.8121052395,0.25,12,2025-05-03,77,"33",1,"65-130"
12.2169764284,0.5,12,2025-05-03,77,"33",1,"65-130"
15.3375961265,0.75,12,2025-05-03,77,"33",1,"65-130"
19.2607613969,0.9,12,2025-05-03,77,"33",1,"65-130"
22.9556750356,0.95,12,2025-05-03,77,"33",1,"65-130"
27.0916402087,0.975,12,2025-05-03,77,"33",1,"65-130"
34.538,0.99,12,2025-05-03,77,"33",1,"65-130"
1.7213065327,0.01,15,2025-05-03,77,"33",1,"0-130"
2.2366795367,0.025,15,2025-05-03,77,"33",1,"0-130"
3.131092437,0.05,15,2025-05-03,77,"33",1,"0-130"
5.1666019369,0.1,15,2025-05-03,77,"33",1,"0-130"
7.4128872175,0.25,15,2025-05-03,77,"33",1,"0-130"
16.0655241746,0.5,15,2025-05-03,77,"33",1,"0-130"
23.8856653314,0.75,15,2025-05-03,77,"33",1,"0-130"
33.7668813114,0.9,15,2025-05-03,77,"33",1,"0-130"
45.287894897,0.95,15,2025-05-03,77,"33",1,"0-130"
56.1620982602,0.975,15,2025-05-03,77,"33",1,"0-130"
72.8759631846,0.99,15,2025-05-03,77,"33",1,"0-130"
0,0.01,15,2025-05-03,77,"33",1,"0-64"
0,0.025,15,2025-05-03,77,"33",1,"0-64"
0,0.05,15,2025-05-03,77,"33",1,"0-64"
0,0.1,15,2025-05-03,77,"33",1,"0-64"
2.0471667907,0.25,15,2025-05-03,77,"33",1,"0-64"
4.8327935976,0.5,15,2025-05-03,77,"33",1,"0-64"
8.0871636261,0.75,15,2025-05-03,77,"33",1,"0-64"
13.2057899227,0.9,15,2025-05-03,77,"33",1,"0-64"
18.6854074857,0.95,15,2025-05-03,77,"33",1,"0-64"
25.2870678289,0.975,15,2025-05-03,77,"33",1,"0-64"
32.753495935,0.99,15,2025-05-03,77,"33",1,"0-64"
0.8022360248,0.01,15,2025-05-03,77,"33",1,"65-130"
0.9599337748,0.025,15,2025-05-03,77,"33",1,"65-130"
1.2315789474,0.05,15,2025-05-03,77,"33",1,"65-130"
2.42,0.1,15,2025-05-03,77,"33",1,"65-130"
4.487990942,0.25,15,2025-05-03,77,"33",1,"65-130"
11.6485674957,0.5,15,2025-05-03,77,"33",1,"65-130"
15.6158371344,0.75,15,2025-05-03,77,"33",1,"65-130"
21.6396327986,0.9,15,2025-05-03,77,"33",1,"65-130"
27.0965986774,0.95,15,2025-05-03,77,"33",1,"65-130"
33.9109147982,0.975,15,2025-05-03,77,"33",1,"65-130"
44.5379589573,0.99,15,2025-05-03,77,"33",1,"65-130"
10,0.01,29,2025-05-03,77,"33",1,"0-130"
11,0.025,29,2025-05-03,77,"33",1,"0-130"
13,0.05,29,2025-05-03,77,"33",1,"0-130"
15,0.1,29,2025-05-03,77,"33",1,"0-130"
18,0.25,29,2025-05-03,77,"33",1,"0-130"
21,0.5,29,2025-05-03,77,"33",1,"0-130"
25,0.75,29,2025-05-03,77,"33",1,"0-130"
30,0.9,29,2025-05-03,77,"33",1,"0-130"
32,0.95,29,2025-05-03,77,"33",1,"0-130"
34,0.975,29,2025-05-03,77,"33",1,"0-130"
36,0.99,29,2025-05-03,77,"33",1,"0-130"
1,0.01,29,2025-05-03,77,"33",1,"0-64"
2,0.025,29,2025-05-03,77,"33",1,"0-64"
2,0.05,29,2025-05-03,77,"33",1,"0-64"
3,0.1,29,2025-05-03,77,"33",1,"0-64"
