"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
5.1,0.01,3,2025-05-03,77,"35",1,"0-130"
6,0.025,3,2025-05-03,77,"35",1,"0-130"
6.3,0.05,3,2025-05-03,77,"35",1,"0-130"
7.5,0.1,3,2025-05-03,77,"35",1,"0-130"
10,0.25,3,2025-05-03,77,"35",1,"0-130"
14.5,0.5,3,2025-05-03,77,"35",1,"0-130"
26.3,0.75,3,2025-05-03,77,"35",1,"0-130"
51.6,0.9,3,2025-05-03,77,"35",1,"0-130"
57.1,0.95,3,2025-05-03,77,"35",1,"0-130"
62.6,0.975,3,2025-05-03,77,"35",1,"0-130"
85,0.99,3,2025-05-03,77,"35",1,"0-130"
3.4,0.01,3,2025-05-03,77,"35",1,"0-64"
3.9,0.025,3,2025-05-03,77,"35",1,"0-64"
4.4,0.05,3,2025-05-03,77,"35",1,"0-64"
5.2,0.1,3,2025-05-03,77,"35",1,"0-64"
7.1,0.25,3,2025-05-03,77,"35",1,"0-64"
10.1,0.5,3,2025-05-03,77,"35",1,"0-64"
17.7,0.75,3,2025-05-03,77,"35",1,"0-64"
32.2,0.9,3,2025-05-03,77,"35",1,"0-64"
35.7,0.95,3,2025-05-03,77,"35",1,"0-64"
37.9,0.975,3,2025-05-03,77,"35",1,"0-64"
52,0.99,3,2025-05-03,77,"35",1,"0-64"
1.6,0.01,3,2025-05-03,77,"35",1,"65-130"
1.7,0.025,3,2025-05-03,77,"35",1,"65-130"
2,0.05,3,2025-05-03,77,"35",1,"65-130"
2.4,0.1,3,2025-05-03,77,"35",1,"65-130"
2.9,0.25,3,2025-05-03,77,"35",1,"65-130"
4.3,0.5,3,2025-05-03,77,"35",1,"65-130"
8.6,0.75,3,2025-05-03,77,"35",1,"65-130"
19.5,0.9,3,2025-05-03,77,"35",1,"65-130"
21.6,0.95,3,2025-05-03,77,"35",1,"65-130"
24.7,0.975,3,2025-05-03,77,"35",1,"65-130"
32.6,0.99,3,2025-05-03,77,"35",1,"65-130"
0.1,0.01,6,2025-05-03,77,"35",1,"0-130"
0.1,0.025,6,2025-05-03,77,"35",1,"0-130"
0.1,0.05,6,2025-05-03,77,"35",1,"0-130"
0.2,0.1,6,2025-05-03,77,"35",1,"0-130"
0.3,0.25,6,2025-05-03,77,"35",1,"0-130"
0.6,0.5,6,2025-05-03,77,"35",1,"0-130"
1.3,0.75,6,2025-05-03,77,"35",1,"0-130"
9.6,0.9,6,2025-05-03,77,"35",1,"0-130"
10.6,0.95,6,2025-05-03,77,"35",1,"0-130"
11,0.975,6,2025-05-03,77,"35",1,"0-130"
12.1,0.99,6,2025-05-03,77,"35",1,"0-130"
0,0.01,6,2025-05-03,77,"35",1,"0-64"
0,0.025,6,2025-05-03,77,"35",1,"0-64"
0.1,0.05,6,2025-05-03,77,"35",1,"0-64"
0.1,0.1,6,2025-05-03,77,"35",1,"0-64"
