"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
1.8,0.01,3,2025-05-03,77,"56",1,"0-130"
2,0.025,3,2025-05-03,77,"56",1,"0-130"
2.4,0.05,3,2025-05-03,77,"56",1,"0-130"
2.5,0.1,3,2025-05-03,77,"56",1,"0-130"
3.8,0.25,3,2025-05-03,77,"56",1,"0-130"
5.1,0.5,3,2025-05-03,77,"56",1,"0-130"
14,0.75,3,2025-05-03,77,"56",1,"0-130"
19,0.9,3,2025-05-03,77,"56",1,"0-130"
24.2,0.95,3,2025-05-03,77,"56",1,"0-130"
28.6,0.975,3,2025-05-03,77,"56",1,"0-130"
31.9,0.99,3,2025-05-03,77,"56",1,"0-130"
1.2,0.01,3,2025-05-03,77,"56",1,"0-64"
1.4,0.025,3,2025-05-03,77,"56",1,"0-64"
1.7,0.05,3,2025-05-03,77,"56",1,"0-64"
1.8,0.1,3,2025-05-03,77,"56",1,"0-64"
2.7,0.25,3,2025-05-03,77,"56",1,"0-64"
3.6,0.5,3,2025-05-03,77,"56",1,"0-64"
8.8,0.75,3,2025-05-03,77,"56",1,"0-64"
12.2,0.9,3,2025-05-03,77,"56",1,"0-64"
15.1,0.95,3,2025-05-03,77,"56",1,"0-64"
17.9,0.975,3,2025-05-03,77,"56",1,"0-64"
20.5,0.99,3,2025-05-03,77,"56",1,"0-64"
0.6,0.01,3,2025-05-03,77,"56",1,"65-130"
0.6,0.025,3,2025-05-03,77,"56",1,"65-130"
0.7,0.05,3,2025-05-03,77,"56",1,"65-130"
0.8,0.1,3,2025-05-03,77,"56",1,"65-130"
1.1,0.25,3,2025-05-03,77,"56",1,"65-130"
1.5,0.5,3,2025-05-03,77,"56",1,"65-130"
5,0.75,3,2025-05-03,77,"56",1,"65-130"
6.7,0.9,3,2025-05-03,77,"56",1,"65-130"
8.3,0.95,3,2025-05-03,77,"56",1,"65-130"
10.6,0.975,3,2025-05-03,77,"56",1,"65-130"
11.4,0.99,3,2025-05-03,77,"56",1,"65-130"
0,0.01,6,2025-05-03,77,"56",1,"0-130"
0.1,0.025,6,2025-05-03,77,"56",1,"0-130"
0.1,0.05,6,2025-05-03,77,"56",1,"0-130"
0.1,0.1,6,2025-05-03,77,"56",1,"0-130"
0.2,0.25,6,2025-05-03,77,"56",1,"0-130"
0.3,0.5,6,2025-05-03,77,"56",1,"0-130"
0.4,0.75,6,2025-05-03,77,"56",1,"0-130"
0.6,0.9,6,2025-05-03,77,"56",1,"0-130"
0.7,0.95,6,2025-05-03,77,"56",1,"0-130"
0.8,0.975,6,2025-05-03,77,"56",1,"0-130"
0.8,0.99,6,2025-05-03,77,"56",1,"0-130"
0,0.01,6,2025-05-03,77,"56",1,"0-64"
0,0.025,6,2025-05-03,77,"56",1,"0-64"
0,0.05,6,2025-05-03,77,"56",1,"0-64"
0.1,0.1,6,2025-05-03,77,"56",1,"0-64"
0.1,0.25,6,2025-05-03,77,"56",1,"0-64"
0.1,0.5,6,2025-05-03,77,"56",1,"0-64"
0.2,0.75,6,2025-05-03,77,"56",1,"0-64"
0.3,0.9,6,2025-05-03,77,"56",1,"0-64"
0.3,0.95,6,2025-05-03,77,"56",1,"0-64"
0.4,0.975,6,2025-05-03,77,"56",1,"0-64"
0.4,0.99,6,2025-05-03,77,"56",1,"0-64"
0,0.01,6,2025-05-03,77,"56",1,"65-130"
0,0.025,6,2025-05-03,77,"56",1,"65-130"
0,0.05,6,2025-05-03,77,"56",1,"65-130"
0.1,0.1,6,2025-05-03,77,"56",1,"65-130"
0.1,0.25,6,2025-05-03,77,"56",1,"65-130"
0.1,0.5,6,2025-05-03,77,"56",1,"65-130"
0.2,0.75,6,2025-05-03,77,"56",1,"65-130"
0.3,0.9,6,2025-05-03,77,"56",1,"65-130"
0.3,0.95,6,2025-05-03,77,"56",1,"65-130"
0.4,0.975,6,2025-05-03,77,"56",1,"65-130"
0.4,0.99,6,2025-05-03,77,"56",1,"65-130"
2.398,0.01,7,2025-05-03,77,"56",1,"0-130"
2.62125,0.025,7,2025-05-03,77,"56",1,"0-130"
3.2,0.05,7,2025-05-03,77,"56",1,"0-130"
3.45,0.1,7,2025-05-03,77,"56",1,"0-130"
5.175,0.25,7,2025-05-03,77,"56",1,"0-130"
7.55,0.5,7,2025-05-03,77,"56",1,"0-130"
9.725,0.75,7,2025-05-03,77,"56",1,"0-130"
11.63,0.9,7,2025-05-03,77,"56",1,"0-130"
12.755,0.95,7,2025-05-03,77,"56",1,"0-130"
13.65,0.975,7,2025-05-03,77,"56",1,"0-130"
16.4975,0.99,7,2025-05-03,77,"56",1,"0-130"
0.3495,0.01,7,2025-05-03,77,"56",1,"0-64"
0.8,0.025,7,2025-05-03,77,"56",1,"0-64"
0.9,0.05,7,2025-05-03,77,"56",1,"0-64"
1.45,0.1,7,2025-05-03,77,"56",1,"0-64"
2.3,0.25,7,2025-05-03,77,"56",1,"0-64"
3.3,0.5,7,2025-05-03,77,"56",1,"0-64"
5,0.75,7,2025-05-03,77,"56",1,"0-64"
