"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
12.2,0.01,3,2025-05-03,77,"09",1,"0-130"
13,0.025,3,2025-05-03,77,"09",1,"0-130"
13.4,0.05,3,2025-05-03,77,"09",1,"0-130"
15,0.1,3,2025-05-03,77,"09",1,"0-130"
21.4,0.25,3,2025-05-03,77,"09",1,"0-130"
36.1,0.5,3,2025-05-03,77,"09",1,"0-130"
58.5,0.75,3,2025-05-03,77,"09",1,"0-130"
100.2,0.9,3,2025-05-03,77,"09",1,"0-130"
112.5,0.95,3,2025-05-03,77,"09",1,"0-130"
168.7,0.975,3,2025-05-03,77,"09",1,"0-130"
186.5,0.99,3,2025-05-03,77,"09",1,"0-130"
8.4,0.01,3,2025-05-03,77,"09",1,"0-64"
8.6,0.025,3,2025-05-03,77,"09",1,"0-64"
9.4,0.05,3,2025-05-03,77,"09",1,"0-64"
10.1,0.1,3,2025-05-03,77,"09",1,"0-64"
14.8,0.25,3,2025-05-03,77,"09",1,"0-64"
24.1,0.5,3,2025-05-03,77,"09",1,"0-64"
37.5,0.75,3,2025-05-03,77,"09",1,"0-64"
60.4,0.9,3,2025-05-03,77,"09",1,"0-64"
65.8,0.95,3,2025-05-03,77,"09",1,"0-64"
99.4,0.975,3,2025-05-03,77,"09",1,"0-64"
110.1,0.99,3,2025-05-03,77,"09",1,"0-64"
3.6,0.01,3,2025-05-03,77,"09",1,"65-130"
4,0.025,3,2025-05-03,77,"09",1,"65-130"
4.2,0.05,3,2025-05-03,77,"09",1,"65-130"
4.6,0.1,3,2025-05-03,77,"09",1,"65-130"
6.8,0.25,3,2025-05-03,77,"09",1,"65-130"
12.2,0.5,3,2025-05-03,77,"09",1,"65-130"
21.1,0.75,3,2025-05-03,77,"09",1,"65-130"
40.8,0.9,3,2025-05-03,77,"09",1,"65-130"
46.5,0.95,3,2025-05-03,77,"09",1,"65-130"
69.7,0.975,3,2025-05-03,77,"09",1,"65-130"
74.6,0.99,3,2025-05-03,77,"09",1,"65-130"
52.695,0.01,6,2025-05-03,77,"09",1,"0-130"
56.915,0.025,6,2025-05-03,77,"09",1,"0-130"
59.58,0.05,6,2025-05-03,77,"09",1,"0-130"
62.39,0.1,6,2025-05-03,77,"09",1,"0-130"
167.175,0.25,6,2025-05-03,77,"09",1,"0-130"
252.1,0.5,6,2025-05-03,77,"09",1,"0-130"
354.775,0.75,6,2025-05-03,77,"09",1,"0-130"
433.46,0.9,6,2025-05-03,77,"09",1,"0-130"
462.485,0.95,6,2025-05-03,77,"09",1,"0-130"
527.47,0.975,6,2025-05-03,77,"09",1,"0-130"
555.001,0.99,6,2025-05-03,77,"09",1,"0-130"
25.898,0.01,6,2025-05-03,77,"09",1,"0-64"
28.0075,0.025,6,2025-05-03,77,"09",1,"0-64"
29.29,0.05,6,2025-05-03,77,"09",1,"0-64"
30.65,0.1,6,2025-05-03,77,"09",1,"0-64"
82.25,0.25,6,2025-05-03,77,"09",1,"0-64"
124,0.5,6,2025-05-03,77,"09",1,"0-64"
174.525,0.75,6,2025-05-03,77,"09",1,"0-64"
213.22,0.9,6,2025-05-03,77,"09",1,"0-64"
227.53,0.95,6,2025-05-03,77,"09",1,"0-64"
259.535,0.975,6,2025-05-03,77,"09",1,"0-64"
273.04,0.99,6,2025-05-03,77,"09",1,"0-64"
26.797,0.01,6,2025-05-03,77,"09",1,"65-130"
28.9075,0.025,6,2025-05-03,77,"09",1,"65-130"
30.29,0.05,6,2025-05-03,77,"09",1,"65-130"
31.65,0.1,6,2025-05-03,77,"09",1,"65-130"
84.925,0.25,6,2025-05-03,77,"09",1,"65-130"
128.1,0.5,6,2025-05-03,77,"09",1,"65-130"
180.25,0.75,6,2025-05-03,77,"09",1,"65-130"
220.23,0.9,6,2025-05-03,77,"09",1,"65-130"
234.955,0.95,6,2025-05-03,77,"09",1,"65-130"
267.9875,0.975,6,2025-05-03,77,"09",1,"65-130"
281.961,0.99,6,2025-05-03,77,"09",1,"65-130"
30.936,0.01,7,2025-05-03,77,"09",1,"0-130"
31.46125,0.025,7,2025-05-03,77,"09",1,"0-130"
32.63,0.05,7,2025-05-03,77,"09",1,"0-130"
34.55,0.1,7,2025-05-03,77,"09",1,"0-130"
38.375,0.25,7,2025-05-03,77,"09",1,"0-130"
47.575,0.5,7,2025-05-03,77,"09",1,"0-130"
67.9,0.75,7,2025-05-03,77,"09",1,"0-130"
89.53,0.9,7,2025-05-03,77,"09",1,"0-130"
103.265,0.95,7,2025-05-03,77,"09",1,"0-130"
111.805,0.975,7,2025-05-03,77,"09",1,"0-130"
122.065,0.99,7,2025-05-03,77,"09",1,"0-130"
8.7495,0.01,7,2025-05-03,77,"09",1,"0-64"
8.85,0.025,7,2025-05-03,77,"09",1,"0-64"
9.2975,0.05,7,2025-05-03,77,"09",1,"0-64"
