"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
28.4,0.01,3,2025-05-03,77,"28",1,"0-130"
33.2,0.025,3,2025-05-03,77,"28",1,"0-130"
39,0.05,3,2025-05-03,77,"28",1,"0-130"
43.8,0.1,3,2025-05-03,77,"28",1,"0-130"
52.7,0.25,3,2025-05-03,77,"28",1,"0-130"
59.3,0.5,3,2025-05-03,77,"28",1,"0-130"
71.5,0.75,3,2025-05-03,77,"28",1,"0-130"
101.2,0.9,3,2025-05-03,77,"28",1,"0-130"
109.8,0.95,3,2025-05-03,77,"28",1,"0-130"
113.2,0.975,3,2025-05-03,77,"28",1,"0-130"
133,0.99,3,2025-05-03,77,"28",1,"0-130"
17.2,0.01,3,2025-05-03,77,"28",1,"0-64"
20.8,0.025,3,2025-05-03,77,"28",1,"0-64"
25.5,0.05,3,2025-05-03,77,"28",1,"0-64"
27.8,0.1,3,2025-05-03,77,"28",1,"0-64"
33.1,0.25,3,2025-05-03,77,"28",1,"0-64"
37.3,0.5,3,2025-05-03,77,"28",1,"0-64"
44,0.75,3,2025-05-03,77,"28",1,"0-64"
61.6,0.9,3,2025-05-03,77,"28",1,"0-64"
67.1,0.95,3,2025-05-03,77,"28",1,"0-64"
68.7,0.975,3,2025-05-03,77,"28",1,"0-64"
80.7,0.99,3,2025-05-03,77,"28",1,"0-64"
11,0.01,3,2025-05-03,77,"28",1,"65-130"
11.8,0.025,3,2025-05-03,77,"28",1,"65-130"
13.7,0.05,3,2025-05-03,77,"28",1,"65-130"
15.8,0.1,3,2025-05-03,77,"28",1,"65-130"
18.6,0.25,3,2025-05-03,77,"28",1,"65-130"
21.8,0.5,3,2025-05-03,77,"28",1,"65-130"
27.5,0.75,3,2025-05-03,77,"28",1,"65-130"
40,0.9,3,2025-05-03,77,"28",1,"65-130"
43.7,0.95,3,2025-05-03,77,"28",1,"65-130"
45.1,0.975,3,2025-05-03,77,"28",1,"65-130"
51.8,0.99,3,2025-05-03,77,"28",1,"65-130"
5.498,0.01,6,2025-05-03,77,"28",1,"0-130"
5.8375,0.025,6,2025-05-03,77,"28",1,"0-130"
6.39,0.05,6,2025-05-03,77,"28",1,"0-130"
6.9,0.1,6,2025-05-03,77,"28",1,"0-130"
7.8,0.25,6,2025-05-03,77,"28",1,"0-130"
9.6,0.5,6,2025-05-03,77,"28",1,"0-130"
12.5,0.75,6,2025-05-03,77,"28",1,"0-130"
27.13,0.9,6,2025-05-03,77,"28",1,"0-130"
40.285,0.95,6,2025-05-03,77,"28",1,"0-130"
46.8875,0.975,6,2025-05-03,77,"28",1,"0-130"
51.12,0.99,6,2025-05-03,77,"28",1,"0-130"
2.699,0.01,6,2025-05-03,77,"28",1,"0-64"
2.895,0.025,6,2025-05-03,77,"28",1,"0-64"
3.195,0.05,6,2025-05-03,77,"28",1,"0-64"
3.4,0.1,6,2025-05-03,77,"28",1,"0-64"
3.9,0.25,6,2025-05-03,77,"28",1,"0-64"
4.7,0.5,6,2025-05-03,77,"28",1,"0-64"
6.2,0.75,6,2025-05-03,77,"28",1,"0-64"
13.46,0.9,6,2025-05-03,77,"28",1,"0-64"
19.895,0.95,6,2025-05-03,77,"28",1,"0-64"
23.1675,0.975,6,2025-05-03,77,"28",1,"0-64"
25.31,0.99,6,2025-05-03,77,"28",1,"0-64"
2.799,0.01,6,2025-05-03,77,"28",1,"65-130"
2.9425,0.025,6,2025-05-03,77,"28",1,"65-130"
3.195,0.05,6,2025-05-03,77,"28",1,"65-130"
3.5,0.1,6,2025-05-03,77,"28",1,"65-130"
3.9,0.25,6,2025-05-03,77,"28",1,"65-130"
4.8,0.5,6,2025-05-03,77,"28",1,"65-130"
6.3,0.75,6,2025-05-03,77,"28",1,"65-130"
