"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
18.3,0.01,3,2025-05-03,77,"05",1,"0-130"
23.6,0.025,3,2025-05-03,77,"05",1,"0-130"
26.1,0.05,3,2025-05-03,77,"05",1,"0-130"
29,0.1,3,2025-05-03,77,"05",1,"0-130"
35.3,0.25,3,2025-05-03,77,"05",1,"0-130"
45,0.5,3,2025-05-03,77,"05",1,"0-130"
64.7,0.75,3,2025-05-03,77,"05",1,"0-130"
86.7,0.9,3,2025-05-03,77,"05",1,"0-130"
91.9,0.95,3,2025-05-03,77,"05",1,"0-130"
100.9,0.975,3,2025-05-03,77,"05",1,"0-130"
110.4,0.99,3,2025-05-03,77,"05",1,"0-130"
13.1,0.01,3,2025-05-03,77,"05",1,"0-64"
16.6,0.025,3,2025-05-03,77,"05",1,"0-64"
18.9,0.05,3,2025-05-03,77,"05",1,"0-64"
20.4,0.1,3,2025-05-03,77,"05",1,"0-64"
25.1,0.25,3,2025-05-03,77,"05",1,"0-64"
31.5,0.5,3,2025-05-03,77,"05",1,"0-64"
40.9,0.75,3,2025-05-03,77,"05",1,"0-64"
56,0.9,3,2025-05-03,77,"05",1,"0-64"
59.6,0.95,3,2025-05-03,77,"05",1,"0-64"
63.2,0.975,3,2025-05-03,77,"05",1,"0-64"
68.5,0.99,3,2025-05-03,77,"05",1,"0-64"
5.1,0.01,3,2025-05-03,77,"05",1,"65-130"
6.8,0.025,3,2025-05-03,77,"05",1,"65-130"
7.4,0.05,3,2025-05-03,77,"05",1,"65-130"
8.3,0.1,3,2025-05-03,77,"05",1,"65-130"
10.2,0.25,3,2025-05-03,77,"05",1,"65-130"
13.4,0.5,3,2025-05-03,77,"05",1,"65-130"
22.3,0.75,3,2025-05-03,77,"05",1,"65-130"
29.6,0.9,3,2025-05-03,77,"05",1,"65-130"
34.5,0.95,3,2025-05-03,77,"05",1,"65-130"
37.9,0.975,3,2025-05-03,77,"05",1,"65-130"
42,0.99,3,2025-05-03,77,"05",1,"65-130"
4.499,0.01,6,2025-05-03,77,"05",1,"0-130"
5.0375,0.025,6,2025-05-03,77,"05",1,"0-130"
5.69,0.05,6,2025-05-03,77,"05",1,"0-130"
6.18,0.1,6,2025-05-03,77,"05",1,"0-130"
7.6,0.25,6,2025-05-03,77,"05",1,"0-130"
9.2,0.5,6,2025-05-03,77,"05",1,"0-130"
11.2,0.75,6,2025-05-03,77,"05",1,"0-130"
13.03,0.9,6,2025-05-03,77,"05",1,"0-130"
14.805,0.95,6,2025-05-03,77,"05",1,"0-130"
16.1925,0.975,6,2025-05-03,77,"05",1,"0-130"
19.595,0.99,6,2025-05-03,77,"05",1,"0-130"
2.2,0.01,6,2025-05-03,77,"05",1,"0-64"
2.495,0.025,6,2025-05-03,77,"05",1,"0-64"
2.795,0.05,6,2025-05-03,77,"05",1,"0-64"
3,0.1,6,2025-05-03,77,"05",1,"0-64"
3.7,0.25,6,2025-05-03,77,"05",1,"0-64"
4.5,0.5,6,2025-05-03,77,"05",1,"0-64"
5.45,0.75,6,2025-05-03,77,"05",1,"0-64"
6.42,0.9,6,2025-05-03,77,"05",1,"0-64"
7.3,0.95,6,2025-05-03,77,"05",1,"0-64"
7.9725,0.975,6,2025-05-03,77,"05",1,"0-64"
9.545,0.99,6,2025-05-03,77,"05",1,"0-64"
2.3,0.01,6,2025-05-03,77,"05",1,"65-130"
2.5425,0.025,6,2025-05-03,77,"05",1,"65-130"
2.895,0.05,6,2025-05-03,77,"05",1,"65-130"
3.19,0.1,6,2025-05-03,77,"05",1,"65-130"
3.875,0.25,6,2025-05-03,77,"05",1,"65-130"
4.7,0.5,6,2025-05-03,77,"05",1,"65-130"
5.65,0.75,6,2025-05-03,77,"05",1,"65-130"
6.62,0.9,6,2025-05-03,77,"05",1,"65-130"
7.6,0.95,6,2025-05-03,77,"05",1,"65-130"
8.2725,0.975,6,2025-05-03,77,"05",1,"65-130"
9.95,0.99,6,2025-05-03,77,"05",1,"65-130"
15.1445,0.01,7,2025-05-03,77,"05",1,"0-130"
19.02125,0.025,7,2025-05-03,77,"05",1,"0-130"
20.54,0.05,7,2025-05-03,77,"05",1,"0-130"
23.32,0.1,7,2025-05-03,77,"05",1,"0-130"
28.8875,0.25,7,2025-05-03,77,"05",1,"0-130"
34.45,0.5,7,2025-05-03,77,"05",1,"0-130"
46.35,0.75,7,2025-05-03,77,"05",1,"0-130"
62.83,0.9,7,2025-05-03,77,"05",1,"0-130"
70.45,0.95,7,2025-05-03,77,"05",1,"0-130"
74.95,0.975,7,2025-05-03,77,"05",1,"0-130"
79.7,0.99,7,2025-05-03,77,"05",1,"0-130"
5.1,0.01,7,2025-05-03,77,"05",1,"0-64"
6.12375,0.025,7,2025-05-03,77,"05",1,"0-64"
6.635,0.05,7,2025-05-03,77,"05",1,"0-64"
7.235,0.1,7,2025-05-03,77,"05",1,"0-64"
8.7375,0.25,7,2025-05-03,77,"05",1,"0-64"
11.9,0.5,7,2025-05-03,77,"05",1,"0-64"
14.25,0.75,7,2025-05-03,77,"05",1,"0-64"
19.32,0.9,7,2025-05-03,77,"05",1,"0-64"
23.96,0.95,7,2025-05-03,77,"05",1,"0-64"
31.165,0.975,7,2025-05-03,77,"05",1,"0-64"
42.5,0.99,7,2025-05-03,77,"05",1,"0-64"
8.8415,0.01,7,2025-05-03,77,"05",1,"65-130"
10.96625,0.025,7,2025-05-03,77,"05",1,"65-130"
12.455,0.05,7,2025-05-03,77,"05",1,"65-130"
14.37,0.1,7,2025-05-03,77,"05",1,"65-130"
18.3625,0.25,7,2025-05-03,77,"05",1,"65-130"
22.55,0.5,7,2025-05-03,77,"05",1,"65-130"
28.2625,0.75,7,2025-05-03,77,"05",1,"65-130"
30.85,0.9,7,2025-05-03,77,"05",1,"65-130"
33.75,0.95,7,2025-05-03,77,"05",1,"65-130"
35.95,0.975,7,2025-05-03,77,"05",1,"65-130"
39.005,0.99,7,2025-05-03,77,"05",1,"65-130"
6.774,0.01,12,2025-05-03,77,"05",1,"0-130"
10.4062321025,0.025,12,2025-05-03,77,"05",1,"0-130"
14.3142541144,0.05,12,2025-05-03,77,"05",1,"0-130"
17.9826126707,0.1,12,2025-05-03,77,"05",1,"0-130"
24.8816453666,0.25,12,2025-05-03,77,"05",1,"0-130"
35.4875314127,0.5,12,2025-05-03,77,"05",1,"0-130"
43.9250713997,0.75,12,2025-05-03,77,"05",1,"0-130"
67.7990984105,0.9,12,2025-05-03,77,"05",1,"0-130"
89.026015794,0.95,12,2025-05-03,77,"05",1,"0-130"
