"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
143.4,0.01,3,2025-05-03,77,"06",1,"0-130"
149.9,0.025,3,2025-05-03,77,"06",1,"0-130"
187.2,0.05,3,2025-05-03,77,"06",1,"0-130"
198,0.1,3,2025-05-03,77,"06",1,"0-130"
315.6,0.25,3,2025-05-03,77,"06",1,"0-130"
501,0.5,3,2025-05-03,77,"06",1,"0-130"
807.3,0.75,3,2025-05-03,77,"06",1,"0-130"
1122.4,0.9,3,2025-05-03,77,"06",1,"0-130"
1145.6,0.95,3,2025-05-03,77,"06",1,"0-130"
1174.4,0.975,3,2025-05-03,77,"06",1,"0-130"
1195.9,0.99,3,2025-05-03,77,"06",1,"0-130"
100.6,0.01,3,2025-05-03,77,"06",1,"0-64"
104.1,0.025,3,2025-05-03,77,"06",1,"0-64"
133.5,0.05,3,2025-05-03,77,"06",1,"0-64"
140.9,0.1,3,2025-05-03,77,"06",1,"0-64"
210.9,0.25,3,2025-05-03,77,"06",1,"0-64"
329.1,0.5,3,2025-05-03,77,"06",1,"0-64"
508.7,0.75,3,2025-05-03,77,"06",1,"0-64"
708.4,0.9,3,2025-05-03,77,"06",1,"0-64"
726.9,0.95,3,2025-05-03,77,"06",1,"0-64"
733.6,0.975,3,2025-05-03,77,"06",1,"0-64"
757.3,0.99,3,2025-05-03,77,"06",1,"0-64"
42.8,0.01,3,2025-05-03,77,"06",1,"65-130"
46.3,0.025,3,2025-05-03,77,"06",1,"65-130"
53,0.05,3,2025-05-03,77,"06",1,"65-130"
57.3,0.1,3,2025-05-03,77,"06",1,"65-130"
95.4,0.25,3,2025-05-03,77,"06",1,"65-130"
162.4,0.5,3,2025-05-03,77,"06",1,"65-130"
299.2,0.75,3,2025-05-03,77,"06",1,"65-130"
413.5,0.9,3,2025-05-03,77,"06",1,"65-130"
429.4,0.95,3,2025-05-03,77,"06",1,"65-130"
440.6,0.975,3,2025-05-03,77,"06",1,"65-130"
445.7,0.99,3,2025-05-03,77,"06",1,"65-130"
116.062,0.01,6,2025-05-03,77,"06",1,"0-130"
124.755,0.025,6,2025-05-03,77,"06",1,"0-130"
139.82,0.05,6,2025-05-03,77,"06",1,"0-130"
155.08,0.1,6,2025-05-03,77,"06",1,"0-130"
212.775,0.25,6,2025-05-03,77,"06",1,"0-130"
510.45,0.5,6,2025-05-03,77,"06",1,"0-130"
656.625,0.75,6,2025-05-03,77,"06",1,"0-130"
760.3,0.9,6,2025-05-03,77,"06",1,"0-130"
853.055,0.95,6,2025-05-03,77,"06",1,"0-130"
953.7825,0.975,6,2025-05-03,77,"06",1,"0-130"
1035.684,0.99,6,2025-05-03,77,"06",1,"0-130"
61.48,0.01,6,2025-05-03,77,"06",1,"0-64"
66.07,0.025,6,2025-05-03,77,"06",1,"0-64"
74.005,0.05,6,2025-05-03,77,"06",1,"0-64"
82.09,0.1,6,2025-05-03,77,"06",1,"0-64"
112.625,0.25,6,2025-05-03,77,"06",1,"0-64"
270.2,0.5,6,2025-05-03,77,"06",1,"0-64"
347.525,0.75,6,2025-05-03,77,"06",1,"0-64"
402.39,0.9,6,2025-05-03,77,"06",1,"0-64"
451.455,0.95,6,2025-05-03,77,"06",1,"0-64"
504.815,0.975,6,2025-05-03,77,"06",1,"0-64"
548.207,0.99,6,2025-05-03,77,"06",1,"0-64"
54.682,0.01,6,2025-05-03,77,"06",1,"65-130"
58.785,0.025,6,2025-05-03,77,"06",1,"65-130"
65.815,0.05,6,2025-05-03,77,"06",1,"65-130"
73,0.1,6,2025-05-03,77,"06",1,"65-130"
100.15,0.25,6,2025-05-03,77,"06",1,"65-130"
240.25,0.5,6,2025-05-03,77,"06",1,"65-130"
309.1,0.75,6,2025-05-03,77,"06",1,"65-130"
357.91,0.9,6,2025-05-03,77,"06",1,"65-130"
401.505,0.95,6,2025-05-03,77,"06",1,"65-130"
448.9675,0.975,6,2025-05-03,77,"06",1,"65-130"
487.576,0.99,6,2025-05-03,77,"06",1,"65-130"
190.1915,0.01,7,2025-05-03,77,"06",1,"0-130"
196.10625,0.025,7,2025-05-03,77,"06",1,"0-130"
219.85,0.05,7,2025-05-03,77,"06",1,"0-130"
234.475,0.1,7,2025-05-03,77,"06",1,"0-130"
314.175,0.25,7,2025-05-03,77,"06",1,"0-130"
505.725,0.5,7,2025-05-03,77,"06",1,"0-130"
667.6875,0.75,7,2025-05-03,77,"06",1,"0-130"
777.2,0.9,7,2025-05-03,77,"06",1,"0-130"
927.4675,0.95,7,2025-05-03,77,"06",1,"0-130"
1064.09125,0.975,7,2025-05-03,77,"06",1,"0-130"
1115.792,0.99,7,2025-05-03,77,"06",1,"0-130"
85.4285,0.01,7,2025-05-03,77,"06",1,"0-64"
88.27125,0.025,7,2025-05-03,77,"06",1,"0-64"
105.005,0.05,7,2025-05-03,77,"06",1,"0-64"
111.495,0.1,7,2025-05-03,77,"06",1,"0-64"
145.7125,0.25,7,2025-05-03,77,"06",1,"0-64"
221.3,0.5,7,2025-05-03,77,"06",1,"0-64"
285.2625,0.75,7,2025-05-03,77,"06",1,"0-64"
329.795,0.9,7,2025-05-03,77,"06",1,"0-64"
374.8825,0.95,7,2025-05-03,77,"06",1,"0-64"
429.545,0.975,7,2025-05-03,77,"06",1,"0-64"
516.6525,0.99,7,2025-05-03,77,"06",1,"0-64"
127.9015,0.01,7,2025-05-03,77,"06",1,"65-130"
133.3075,0.025,7,2025-05-03,77,"06",1,"65-130"
142.9825,0.05,7,2025-05-03,77,"06",1,"65-130"
160.67,0.1,7,2025-05-03,77,"06",1,"65-130"
205.775,0.25,7,2025-05-03,77,"06",1,"65-130"
289.35,0.5,7,2025-05-03,77,"06",1,"65-130"
365.425,0.75,7,2025-05-03,77,"06",1,"65-130"
457.75,0.9,7,2025-05-03,77,"06",1,"65-130"
474.7,0.95,7,2025-05-03,77,"06",1,"65-130"
486.53375,0.975,7,2025-05-03,77,"06",1,"65-130"
514.293,0.99,7,2025-05-03,77,"06",1,"65-130"
136.2380477157,0.01,12,2025-05-03,77,"06",1,"0-130"
151.2532221341,0.025,12,2025-05-03,77,"06",1,"0-130"
191.4606802843,0.05,12,2025-05-03,77,"06",1,"0-130"
255.7757695707,0.1,12,2025-05-03,77,"06",1,"0-130"
368.2343638329,0.25,12,2025-05-03,77,"06",1,"0-130"
489.9659768215,0.5,12,2025-05-03,77,"06",1,"0-130"
665.5016888955,0.75,12,2025-05-03,77,"06",1,"0-130"
895.5923111087,0.9,12,2025-05-03,77,"06",1,"0-130"
1134.9421505485,0.95,12,2025-05-03,77,"06",1,"0-130"
1370.922887294,0.975,12,2025-05-03,77,"06",1,"0-130"
1478.7677969371,0.99,12,2025-05-03,77,"06",1,"0-130"
54.262,0.01,12,2025-05-03,77,"06",1,"0-64"
70.2850962457,0.025,12,2025-05-03,77,"06",1,"0-64"
78.8172546593,0.05,12,2025-05-03,77,"06",1,"0-64"
96.1504568129,0.1,12,2025-05-03,77,"06",1,"0-64"
153.479073602,0.25,12,2025-05-03,77,"06",1,"0-64"
181.4398996428,0.5,12,2025-05-03,77,"06",1,"0-64"
292.1527375299,0.75,12,2025-05-03,77,"06",1,"0-64"
467.0678167887,0.9,12,2025-05-03,77,"06",1,"0-64"
606.2557705598,0.95,12,2025-05-03,77,"06",1,"0-64"
678.5410033727,0.975,12,2025-05-03,77,"06",1,"0-64"
723.2,0.99,12,2025-05-03,77,"06",1,"0-64"
57.1002491609,0.01,12,2025-05-03,77,"06",1,"65-130"
69.8556808852,0.025,12,2025-05-03,77,"06",1,"65-130"
89.0802040816,0.05,12,2025-05-03,77,"06",1,"65-130"
127.9858296368,0.1,12,2025-05-03,77,"06",1,"65-130"
202.1717051736,0.25,12,2025-05-03,77,"06",1,"65-130"
295.0018311497,0.5,12,2025-05-03,77,"06",1,"65-130"
400.7828013767,0.75,12,2025-05-03,77,"06",1,"65-130"
486.3593507194,0.9,12,2025-05-03,77,"06",1,"65-130"
586.3095824277,0.95,12,2025-05-03,77,"06",1,"65-130"
776.0602157472,0.975,12,2025-05-03,77,"06",1,"65-130"
833.9663280808,0.99,12,2025-05-03,77,"06",1,"65-130"
120.8603106684,0.01,15,2025-05-03,77,"06",1,"0-130"
144.8254123469,0.025,15,2025-05-03,77,"06",1,"0-130"
179.3197527514,0.05,15,2025-05-03,77,"06",1,"0-130"
243.3813441128,0.1,15,2025-05-03,77,"06",1,"0-130"
316.2852572774,0.25,15,2025-05-03,77,"06",1,"0-130"
489.9659768215,0.5,15,2025-05-03,77,"06",1,"0-130"
729.2650547314,0.75,15,2025-05-03,77,"06",1,"0-130"
1152.8102410356,0.9,15,2025-05-03,77,"06",1,"0-130"
1294.8176489899,0.95,15,2025-05-03,77,"06",1,"0-130"
1463.6334722597,0.975,15,2025-05-03,77,"06",1,"0-130"
1878.5867098808,0.99,15,2025-05-03,77,"06",1,"0-130"
46.3565723462,0.01,15,2025-05-03,77,"06",1,"0-64"
62.363097544,0.025,15,2025-05-03,77,"06",1,"0-64"
76.1206741807,0.05,15,2025-05-03,77,"06",1,"0-64"
87.0698188793,0.1,15,2025-05-03,77,"06",1,"0-64"
125.9186624925,0.25,15,2025-05-03,77,"06",1,"0-64"
181.4398996428,0.5,15,2025-05-03,77,"06",1,"0-64"
358.8819456235,0.75,15,2025-05-03,77,"06",1,"0-64"
548.1632764001,0.9,15,2025-05-03,77,"06",1,"0-64"
634.6872877138,0.95,15,2025-05-03,77,"06",1,"0-64"
711.3303897896,0.975,15,2025-05-03,77,"06",1,"0-64"
854.4891698248,0.99,15,2025-05-03,77,"06",1,"0-64"
52.80521995,0.01,15,2025-05-03,77,"06",1,"65-130"
61.8436286345,0.025,15,2025-05-03,77,"06",1,"65-130"
80.9344316915,0.05,15,2025-05-03,77,"06",1,"65-130"
109.6128882683,0.1,15,2025-05-03,77,"06",1,"65-130"
198.6198445238,0.25,15,2025-05-03,77,"06",1,"65-130"
295.0018311497,0.5,15,2025-05-03,77,"06",1,"65-130"
434.9024695377,0.75,15,2025-05-03,77,"06",1,"65-130"
633.7326872657,0.9,15,2025-05-03,77,"06",1,"65-130"
724.9914869004,0.95,15,2025-05-03,77,"06",1,"65-130"
813.4136288794,0.975,15,2025-05-03,77,"06",1,"65-130"
1084.8920383727,0.99,15,2025-05-03,77,"06",1,"65-130"
984.98,0.01,29,2025-05-03,77,"06",1,"0-130"
997.7,0.025,29,2025-05-03,77,"06",1,"0-130"
1011,0.05,29,2025-05-03,77,"06",1,"0-130"
1039.6,0.1,29,2025-05-03,77,"06",1,"0-130"
1092.75,0.25,29,2025-05-03,77,"06",1,"0-130"
1163,0.5,29,2025-05-03,77,"06",1,"0-130"
1273.5,0.75,29,2025-05-03,77,"06",1,"0-130"
1412.2,0.9,29,2025-05-03,77,"06",1,"0-130"
1471.2,0.95,29,2025-05-03,77,"06",1,"0-130"
1508,0.975,29,2025-05-03,77,"06",1,"0-130"
1565.07,0.99,29,2025-05-03,77,"06",1,"0-130"
424.93,0.01,29,2025-05-03,77,"06",1,"0-64"
439.475,0.025,29,2025-05-03,77,"06",1,"0-64"
446,0.05,29,2025-05-03,77,"06",1,"0-64"
461,0.1,29,2025-05-03,77,"06",1,"0-64"
488.75,0.25,29,2025-05-03,77,"06",1,"0-64"
525.5,0.5,29,2025-05-03,77,"06",1,"0-64"
579,0.75,29,2025-05-03,77,"06",1,"0-64"
628.4,0.9,29,2025-05-03,77,"06",1,"0-64"
657.05,0.95,29,2025-05-03,77,"06",1,"0-64"
682.775,0.975,29,2025-05-03,77,"06",1,"0-64"
699.05,0.99,29,2025-05-03,77,"06",1,"0-64"
539.96,0.01,29,2025-05-03,77,"06",1,"65-130"
547.425,0.025,29,2025-05-03,77,"06",1,"65-130"
556,0.05,29,2025-05-03,77,"06",1,"65-130"
575.9,0.1,29,2025-05-03,77,"06",1,"65-130"
603,0.25,29,2025-05-03,77,"06",1,"65-130"
641.5,0.5,29,2025-05-03,77,"06",1,"65-130"
703.25,0.75,29,2025-05-03,77,"06",1,"65-130"
791,0.9,29,2025-05-03,77,"06",1,"65-130"
812.1,0.95,29,2025-05-03,77,"06",1,"65-130"
847.725,0.975,29,2025-05-03,77,"06",1,"65-130"
859.07,0.99,29,2025-05-03,77,"06",1,"65-130"
132.794,0.01,30,2025-05-03,77,"06",1,"0-130"
141.485,0.025,30,2025-05-03,77,"06",1,"0-130"
162.48,0.05,30,2025-05-03,77,"06",1,"0-130"
204.66,0.1,30,2025-05-03,77,"06",1,"0-130"
312.75,0.25,30,2025-05-03,77,"06",1,"0-130"
448.7,0.5,30,2025-05-03,77,"06",1,"0-130"
600.4,0.75,30,2025-05-03,77,"06",1,"0-130"
794.1,0.9,30,2025-05-03,77,"06",1,"0-130"
1001.88,0.95,30,2025-05-03,77,"06",1,"0-130"
1190.065,0.975,30,2025-05-03,77,"06",1,"0-130"
1629.32,0.99,30,2025-05-03,77,"06",1,"0-130"
39.508,0.01,30,2025-05-03,77,"06",1,"0-64"
42.105,0.025,30,2025-05-03,77,"06",1,"0-64"
48.4,0.05,30,2025-05-03,77,"06",1,"0-64"
60.96,0.1,30,2025-05-03,77,"06",1,"0-64"
93.15,0.25,30,2025-05-03,77,"06",1,"0-64"
133.6,0.5,30,2025-05-03,77,"06",1,"0-64"
178.7,0.75,30,2025-05-03,77,"06",1,"0-64"
236.4,0.9,30,2025-05-03,77,"06",1,"0-64"
298.31,0.95,30,2025-05-03,77,"06",1,"0-64"
354.275,0.975,30,2025-05-03,77,"06",1,"0-64"
485.098,0.99,30,2025-05-03,77,"06",1,"0-64"
93.186,0.01,30,2025-05-03,77,"06",1,"65-130"
99.38,0.025,30,2025-05-03,77,"06",1,"65-130"
114.08,0.05,30,2025-05-03,77,"06",1,"65-130"
143.7,0.1,30,2025-05-03,77,"06",1,"65-130"
219.6,0.25,30,2025-05-03,77,"06",1,"65-130"
315.1,0.5,30,2025-05-03,77,"06",1,"65-130"
421.75,0.75,30,2025-05-03,77,"06",1,"65-130"
557.68,0.9,30,2025-05-03,77,"06",1,"65-130"
703.56,0.95,30,2025-05-03,77,"06",1,"65-130"
835.79,0.975,30,2025-05-03,77,"06",1,"65-130"
1144.222,0.99,30,2025-05-03,77,"06",1,"65-130"
236.983,0.01,31,2025-05-03,77,"06",1,"0-130"
242.3125,0.025,31,2025-05-03,77,"06",1,"0-130"
252.5,0.05,31,2025-05-03,77,"06",1,"0-130"
264.29,0.1,31,2025-05-03,77,"06",1,"0-130"
279.55,0.25,31,2025-05-03,77,"06",1,"0-130"
297.35,0.5,31,2025-05-03,77,"06",1,"0-130"
312.625,0.75,31,2025-05-03,77,"06",1,"0-130"
323.93,0.9,31,2025-05-03,77,"06",1,"0-130"
336.685,0.95,31,2025-05-03,77,"06",1,"0-130"
347.7425,0.975,31,2025-05-03,77,"06",1,"0-130"
354.724,0.99,31,2025-05-03,77,"06",1,"0-130"
70.257,0.01,31,2025-05-03,77,"06",1,"0-64"
72.4425,0.025,31,2025-05-03,77,"06",1,"0-64"
76.51,0.05,31,2025-05-03,77,"06",1,"0-64"
