"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
125.9,0.01,3,2025-05-03,77,"12",1,"0-130"
132,0.025,3,2025-05-03,77,"12",1,"0-130"
136.4,0.05,3,2025-05-03,77,"12",1,"0-130"
160.9,0.1,3,2025-05-03,77,"12",1,"0-130"
209.1,0.25,3,2025-05-03,77,"12",1,"0-130"
245.5,0.5,3,2025-05-03,77,"12",1,"0-130"
400,0.75,3,2025-05-03,77,"12",1,"0-130"
585.8,0.9,3,2025-05-03,77,"12",1,"0-130"
647.8,0.95,3,2025-05-03,77,"12",1,"0-130"
680.8,0.975,3,2025-05-03,77,"12",1,"0-130"
713.5,0.99,3,2025-05-03,77,"12",1,"0-130"
80.1,0.01,3,2025-05-03,77,"12",1,"0-64"
85.1,0.025,3,2025-05-03,77,"12",1,"0-64"
87.9,0.05,3,2025-05-03,77,"12",1,"0-64"
100.1,0.1,3,2025-05-03,77,"12",1,"0-64"
129.4,0.25,3,2025-05-03,77,"12",1,"0-64"
148.3,0.5,3,2025-05-03,77,"12",1,"0-64"
233.6,0.75,3,2025-05-03,77,"12",1,"0-64"
328.3,0.9,3,2025-05-03,77,"12",1,"0-64"
366.7,0.95,3,2025-05-03,77,"12",1,"0-64"
394.3,0.975,3,2025-05-03,77,"12",1,"0-64"
407.7,0.99,3,2025-05-03,77,"12",1,"0-64"
44.1,0.01,3,2025-05-03,77,"12",1,"65-130"
48,0.025,3,2025-05-03,77,"12",1,"65-130"
50.4,0.05,3,2025-05-03,77,"12",1,"65-130"
59.6,0.1,3,2025-05-03,77,"12",1,"65-130"
78.2,0.25,3,2025-05-03,77,"12",1,"65-130"
98.3,0.5,3,2025-05-03,77,"12",1,"65-130"
172.3,0.75,3,2025-05-03,77,"12",1,"65-130"
259.3,0.9,3,2025-05-03,77,"12",1,"65-130"
285.1,0.95,3,2025-05-03,77,"12",1,"65-130"
293,0.975,3,2025-05-03,77,"12",1,"65-130"
311.1,0.99,3,2025-05-03,77,"12",1,"65-130"
86.363,0.01,6,2025-05-03,77,"12",1,"0-130"
103.6075,0.025,6,2025-05-03,77,"12",1,"0-130"
112.2,0.05,6,2025-05-03,77,"12",1,"0-130"
171.52,0.1,6,2025-05-03,77,"12",1,"0-130"
233.85,0.25,6,2025-05-03,77,"12",1,"0-130"
320.65,0.5,6,2025-05-03,77,"12",1,"0-130"
381.45,0.75,6,2025-05-03,77,"12",1,"0-130"
501.13,0.9,6,2025-05-03,77,"12",1,"0-130"
548.09,0.95,6,2025-05-03,77,"12",1,"0-130"
566.5475,0.975,6,2025-05-03,77,"12",1,"0-130"
589.857,0.99,6,2025-05-03,77,"12",1,"0-130"
40.882,0.01,6,2025-05-03,77,"12",1,"0-64"
49.0275,0.025,6,2025-05-03,77,"12",1,"0-64"
53.11,0.05,6,2025-05-03,77,"12",1,"0-64"
81.15,0.1,6,2025-05-03,77,"12",1,"0-64"
110.675,0.25,6,2025-05-03,77,"12",1,"0-64"
151.75,0.5,6,2025-05-03,77,"12",1,"0-64"
