"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
10.2,0.01,3,2025-05-03,77,"32",1,"0-130"
10.9,0.025,3,2025-05-03,77,"32",1,"0-130"
11.8,0.05,3,2025-05-03,77,"32",1,"0-130"
13.9,0.1,3,2025-05-03,77,"32",1,"0-130"
17.2,0.25,3,2025-05-03,77,"32",1,"0-130"
25.1,0.5,3,2025-05-03,77,"32",1,"0-130"
33.5,0.75,3,2025-05-03,77,"32",1,"0-130"
42.8,0.9,3,2025-05-03,77,"32",1,"0-130"
53.9,0.95,3,2025-05-03,77,"32",1,"0-130"
56.2,0.975,3,2025-05-03,77,"32",1,"0-130"
57.6,0.99,3,2025-05-03,77,"32",1,"0-130"
7.5,0.01,3,2025-05-03,77,"32",1,"0-64"
8,0.025,3,2025-05-03,77,"32",1,"0-64"
8.6,0.05,3,2025-05-03,77,"32",1,"0-64"
9.7,0.1,3,2025-05-03,77,"32",1,"0-64"
11.9,0.25,3,2025-05-03,77,"32",1,"0-64"
17.1,0.5,3,2025-05-03,77,"32",1,"0-64"
22.5,0.75,3,2025-05-03,77,"32",1,"0-64"
27.6,0.9,3,2025-05-03,77,"32",1,"0-64"
35.1,0.95,3,2025-05-03,77,"32",1,"0-64"
36.1,0.975,3,2025-05-03,77,"32",1,"0-64"
37.4,0.99,3,2025-05-03,77,"32",1,"0-64"
2.6,0.01,3,2025-05-03,77,"32",1,"65-130"
2.8,0.025,3,2025-05-03,77,"32",1,"65-130"
3.4,0.05,3,2025-05-03,77,"32",1,"65-130"
4.1,0.1,3,2025-05-03,77,"32",1,"65-130"
4.9,0.25,3,2025-05-03,77,"32",1,"65-130"
7.7,0.5,3,2025-05-03,77,"32",1,"65-130"
11.1,0.75,3,2025-05-03,77,"32",1,"65-130"
15.3,0.9,3,2025-05-03,77,"32",1,"65-130"
18,0.95,3,2025-05-03,77,"32",1,"65-130"
19.8,0.975,3,2025-05-03,77,"32",1,"65-130"
21.8,0.99,3,2025-05-03,77,"32",1,"65-130"
9.039,0.01,6,2025-05-03,77,"32",1,"0-130"
9.6325,0.025,6,2025-05-03,77,"32",1,"0-130"
10.68,0.05,6,2025-05-03,77,"32",1,"0-130"
11.3,0.1,6,2025-05-03,77,"32",1,"0-130"
14.875,0.25,6,2025-05-03,77,"32",1,"0-130"
28.9,0.5,6,2025-05-03,77,"32",1,"0-130"
39.6,0.75,6,2025-05-03,77,"32",1,"0-130"
56.36,0.9,6,2025-05-03,77,"32",1,"0-130"
78.975,0.95,6,2025-05-03,77,"32",1,"0-130"
86.56,0.975,6,2025-05-03,77,"32",1,"0-130"
204.208,0.99,6,2025-05-03,77,"32",1,"0-130"
4.569,0.01,6,2025-05-03,77,"32",1,"0-64"
4.89,0.025,6,2025-05-03,77,"32",1,"0-64"
5.485,0.05,6,2025-05-03,77,"32",1,"0-64"
5.7,0.1,6,2025-05-03,77,"32",1,"0-64"
7.5,0.25,6,2025-05-03,77,"32",1,"0-64"
14.65,0.5,6,2025-05-03,77,"32",1,"0-64"
20.1,0.75,6,2025-05-03,77,"32",1,"0-64"
28.53,0.9,6,2025-05-03,77,"32",1,"0-64"
40.085,0.95,6,2025-05-03,77,"32",1,"0-64"
43.93,0.975,6,2025-05-03,77,"32",1,"0-64"
103.614,0.99,6,2025-05-03,77,"32",1,"0-64"
4.47,0.01,6,2025-05-03,77,"32",1,"65-130"
4.7425,0.025,6,2025-05-03,77,"32",1,"65-130"
5.29,0.05,6,2025-05-03,77,"32",1,"65-130"
5.6,0.1,6,2025-05-03,77,"32",1,"65-130"
7.3,0.25,6,2025-05-03,77,"32",1,"65-130"
14.25,0.5,6,2025-05-03,77,"32",1,"65-130"
19.5,0.75,6,2025-05-03,77,"32",1,"65-130"
27.73,0.9,6,2025-05-03,77,"32",1,"65-130"
38.885,0.95,6,2025-05-03,77,"32",1,"65-130"
42.63,0.975,6,2025-05-03,77,"32",1,"65-130"
100.594,0.99,6,2025-05-03,77,"32",1,"65-130"
9.6195,0.01,7,2025-05-03,77,"32",1,"0-130"
10.26625,0.025,7,2025-05-03,77,"32",1,"0-130"
11.24,0.05,7,2025-05-03,77,"32",1,"0-130"
13.935,0.1,7,2025-05-03,77,"32",1,"0-130"
19.2875,0.25,7,2025-05-03,77,"32",1,"0-130"
27.95,0.5,7,2025-05-03,77,"32",1,"0-130"
36.725,0.75,7,2025-05-03,77,"32",1,"0-130"
45.885,0.9,7,2025-05-03,77,"32",1,"0-130"
54.335,0.95,7,2025-05-03,77,"32",1,"0-130"
64.315,0.975,7,2025-05-03,77,"32",1,"0-130"
79.422,0.99,7,2025-05-03,77,"32",1,"0-130"
5.2845,0.01,7,2025-05-03,77,"32",1,"0-64"
5.445,0.025,7,2025-05-03,77,"32",1,"0-64"
5.7425,0.05,7,2025-05-03,77,"32",1,"0-64"
6.595,0.1,7,2025-05-03,77,"32",1,"0-64"
8.4875,0.25,7,2025-05-03,77,"32",1,"0-64"
15.875,0.5,7,2025-05-03,77,"32",1,"0-64"
19.9125,0.75,7,2025-05-03,77,"32",1,"0-64"
24,0.9,7,2025-05-03,77,"32",1,"0-64"
27.905,0.95,7,2025-05-03,77,"32",1,"0-64"
28.5525,0.975,7,2025-05-03,77,"32",1,"0-64"
32.976,0.99,7,2025-05-03,77,"32",1,"0-64"
4.9265,0.01,7,2025-05-03,77,"32",1,"65-130"
5.31625,0.025,7,2025-05-03,77,"32",1,"65-130"
