"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
2.7,0.01,3,2025-05-03,77,"46",1,"0-130"
3.2,0.025,3,2025-05-03,77,"46",1,"0-130"
3.4,0.05,3,2025-05-03,77,"46",1,"0-130"
3.9,0.1,3,2025-05-03,77,"46",1,"0-130"
6,0.25,3,2025-05-03,77,"46",1,"0-130"
8.3,0.5,3,2025-05-03,77,"46",1,"0-130"
12.2,0.75,3,2025-05-03,77,"46",1,"0-130"
18.7,0.9,3,2025-05-03,77,"46",1,"0-130"
23.1,0.95,3,2025-05-03,77,"46",1,"0-130"
25.8,0.975,3,2025-05-03,77,"46",1,"0-130"
31.4,0.99,3,2025-05-03,77,"46",1,"0-130"
2,0.01,3,2025-05-03,77,"46",1,"0-64"
2.3,0.025,3,2025-05-03,77,"46",1,"0-64"
2.3,0.05,3,2025-05-03,77,"46",1,"0-64"
2.7,0.1,3,2025-05-03,77,"46",1,"0-64"
3.9,0.25,3,2025-05-03,77,"46",1,"0-64"
5.6,0.5,3,2025-05-03,77,"46",1,"0-64"
8.3,0.75,3,2025-05-03,77,"46",1,"0-64"
11.2,0.9,3,2025-05-03,77,"46",1,"0-64"
13.9,0.95,3,2025-05-03,77,"46",1,"0-64"
15.4,0.975,3,2025-05-03,77,"46",1,"0-64"
18.6,0.99,3,2025-05-03,77,"46",1,"0-64"
0.8,0.01,3,2025-05-03,77,"46",1,"65-130"
0.9,0.025,3,2025-05-03,77,"46",1,"65-130"
1,0.05,3,2025-05-03,77,"46",1,"65-130"
1.1,0.1,3,2025-05-03,77,"46",1,"65-130"
1.8,0.25,3,2025-05-03,77,"46",1,"65-130"
2.8,0.5,3,2025-05-03,77,"46",1,"65-130"
4.2,0.75,3,2025-05-03,77,"46",1,"65-130"
7.4,0.9,3,2025-05-03,77,"46",1,"65-130"
9.5,0.95,3,2025-05-03,77,"46",1,"65-130"
10.3,0.975,3,2025-05-03,77,"46",1,"65-130"
12.8,0.99,3,2025-05-03,77,"46",1,"65-130"
4.783,0.01,6,2025-05-03,77,"46",1,"0-130"
5,0.025,6,2025-05-03,77,"46",1,"0-130"
5.3,0.05,6,2025-05-03,77,"46",1,"0-130"
6.47,0.1,6,2025-05-03,77,"46",1,"0-130"
7.6,0.25,6,2025-05-03,77,"46",1,"0-130"
8.5,0.5,6,2025-05-03,77,"46",1,"0-130"
9.425,0.75,6,2025-05-03,77,"46",1,"0-130"
9.91,0.9,6,2025-05-03,77,"46",1,"0-130"
10.41,0.95,6,2025-05-03,77,"46",1,"0-130"
10.905,0.975,6,2025-05-03,77,"46",1,"0-130"
11.007,0.99,6,2025-05-03,77,"46",1,"0-130"
2.391,0.01,6,2025-05-03,77,"46",1,"0-64"
2.5475,0.025,6,2025-05-03,77,"46",1,"0-64"
2.7,0.05,6,2025-05-03,77,"46",1,"0-64"
3.28,0.1,6,2025-05-03,77,"46",1,"0-64"
3.8,0.25,6,2025-05-03,77,"46",1,"0-64"
4.3,0.5,6,2025-05-03,77,"46",1,"0-64"
4.8,0.75,6,2025-05-03,77,"46",1,"0-64"
