"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
134.1,0.01,3,2025-05-03,77,"48",1,"0-130"
164.9,0.025,3,2025-05-03,77,"48",1,"0-130"
180.1,0.05,3,2025-05-03,77,"48",1,"0-130"
213.3,0.1,3,2025-05-03,77,"48",1,"0-130"
252.5,0.25,3,2025-05-03,77,"48",1,"0-130"
428.4,0.5,3,2025-05-03,77,"48",1,"0-130"
678.2,0.75,3,2025-05-03,77,"48",1,"0-130"
795.7,0.9,3,2025-05-03,77,"48",1,"0-130"
830,0.95,3,2025-05-03,77,"48",1,"0-130"
876.8,0.975,3,2025-05-03,77,"48",1,"0-130"
899,0.99,3,2025-05-03,77,"48",1,"0-130"
96.3,0.01,3,2025-05-03,77,"48",1,"0-64"
118.9,0.025,3,2025-05-03,77,"48",1,"0-64"
130.2,0.05,3,2025-05-03,77,"48",1,"0-64"
153.7,0.1,3,2025-05-03,77,"48",1,"0-64"
179.3,0.25,3,2025-05-03,77,"48",1,"0-64"
299,0.5,3,2025-05-03,77,"48",1,"0-64"
439.3,0.75,3,2025-05-03,77,"48",1,"0-64"
514.9,0.9,3,2025-05-03,77,"48",1,"0-64"
545.7,0.95,3,2025-05-03,77,"48",1,"0-64"
574.4,0.975,3,2025-05-03,77,"48",1,"0-64"
576.9,0.99,3,2025-05-03,77,"48",1,"0-64"
38.5,0.01,3,2025-05-03,77,"48",1,"65-130"
46.4,0.025,3,2025-05-03,77,"48",1,"65-130"
48.9,0.05,3,2025-05-03,77,"48",1,"65-130"
59.6,0.1,3,2025-05-03,77,"48",1,"65-130"
73.5,0.25,3,2025-05-03,77,"48",1,"65-130"
130.7,0.5,3,2025-05-03,77,"48",1,"65-130"
233.5,0.75,3,2025-05-03,77,"48",1,"65-130"
277.1,0.9,3,2025-05-03,77,"48",1,"65-130"
285.7,0.95,3,2025-05-03,77,"48",1,"65-130"
303.6,0.975,3,2025-05-03,77,"48",1,"65-130"
323.7,0.99,3,2025-05-03,77,"48",1,"65-130"
113.473,0.01,6,2025-05-03,77,"48",1,"0-130"
120.7625,0.025,6,2025-05-03,77,"48",1,"0-130"
127.665,0.05,6,2025-05-03,77,"48",1,"0-130"
138.39,0.1,6,2025-05-03,77,"48",1,"0-130"
161.2,0.25,6,2025-05-03,77,"48",1,"0-130"
203.45,0.5,6,2025-05-03,77,"48",1,"0-130"
237.675,0.75,6,2025-05-03,77,"48",1,"0-130"
375.1,0.9,6,2025-05-03,77,"48",1,"0-130"
420.7,0.95,6,2025-05-03,77,"48",1,"0-130"
578.045,0.975,6,2025-05-03,77,"48",1,"0-130"
587.63,0.99,6,2025-05-03,77,"48",1,"0-130"
61.623,0.01,6,2025-05-03,77,"48",1,"0-64"
65.5475,0.025,6,2025-05-03,77,"48",1,"0-64"
69.325,0.05,6,2025-05-03,77,"48",1,"0-64"
75.19,0.1,6,2025-05-03,77,"48",1,"0-64"
87.575,0.25,6,2025-05-03,77,"48",1,"0-64"
110.5,0.5,6,2025-05-03,77,"48",1,"0-64"
129.1,0.75,6,2025-05-03,77,"48",1,"0-64"
203.74,0.9,6,2025-05-03,77,"48",1,"0-64"
228.485,0.95,6,2025-05-03,77,"48",1,"0-64"
313.925,0.975,6,2025-05-03,77,"48",1,"0-64"
319.151,0.99,6,2025-05-03,77,"48",1,"0-64"
51.851,0.01,6,2025-05-03,77,"48",1,"65-130"
55.1625,0.025,6,2025-05-03,77,"48",1,"65-130"
58.34,0.05,6,2025-05-03,77,"48",1,"65-130"
63.2,0.1,6,2025-05-03,77,"48",1,"65-130"
73.625,0.25,6,2025-05-03,77,"48",1,"65-130"
93,0.5,6,2025-05-03,77,"48",1,"65-130"
108.575,0.75,6,2025-05-03,77,"48",1,"65-130"
171.37,0.9,6,2025-05-03,77,"48",1,"65-130"
192.215,0.95,6,2025-05-03,77,"48",1,"65-130"
264.12,0.975,6,2025-05-03,77,"48",1,"65-130"
268.479,0.99,6,2025-05-03,77,"48",1,"65-130"
159.5245,0.01,7,2025-05-03,77,"48",1,"0-130"
177.44625,0.025,7,2025-05-03,77,"48",1,"0-130"
193.73,0.05,7,2025-05-03,77,"48",1,"0-130"
212.45,0.1,7,2025-05-03,77,"48",1,"0-130"
265.425,0.25,7,2025-05-03,77,"48",1,"0-130"
418.7,0.5,7,2025-05-03,77,"48",1,"0-130"
461.325,0.75,7,2025-05-03,77,"48",1,"0-130"
584.47,0.9,7,2025-05-03,77,"48",1,"0-130"
667.575,0.95,7,2025-05-03,77,"48",1,"0-130"
727.4225,0.975,7,2025-05-03,77,"48",1,"0-130"
743.315,0.99,7,2025-05-03,77,"48",1,"0-130"
75.7965,0.01,7,2025-05-03,77,"48",1,"0-64"
80.74875,0.025,7,2025-05-03,77,"48",1,"0-64"
84.1125,0.05,7,2025-05-03,77,"48",1,"0-64"
90.045,0.1,7,2025-05-03,77,"48",1,"0-64"
129.6625,0.25,7,2025-05-03,77,"48",1,"0-64"
149.4,0.5,7,2025-05-03,77,"48",1,"0-64"
165.8875,0.75,7,2025-05-03,77,"48",1,"0-64"
214.88,0.9,7,2025-05-03,77,"48",1,"0-64"
258.0225,0.95,7,2025-05-03,77,"48",1,"0-64"
373.5275,0.975,7,2025-05-03,77,"48",1,"0-64"
430.5445,0.99,7,2025-05-03,77,"48",1,"0-64"
96.3455,0.01,7,2025-05-03,77,"48",1,"65-130"
100.34125,0.025,7,2025-05-03,77,"48",1,"65-130"
105.57,0.05,7,2025-05-03,77,"48",1,"65-130"
115.98,0.1,7,2025-05-03,77,"48",1,"65-130"
143.225,0.25,7,2025-05-03,77,"48",1,"65-130"
216.825,0.5,7,2025-05-03,77,"48",1,"65-130"
276.4625,0.75,7,2025-05-03,77,"48",1,"65-130"
311.05,0.9,7,2025-05-03,77,"48",1,"65-130"
320.475,0.95,7,2025-05-03,77,"48",1,"65-130"
332.5625,0.975,7,2025-05-03,77,"48",1,"65-130"
342.865,0.99,7,2025-05-03,77,"48",1,"65-130"
117.2555772722,0.01,12,2025-05-03,77,"48",1,"0-130"
131.4122669191,0.025,12,2025-05-03,77,"48",1,"0-130"
165.7274220167,0.05,12,2025-05-03,77,"48",1,"0-130"
207.2101753212,0.1,12,2025-05-03,77,"48",1,"0-130"
250.0681789187,0.25,12,2025-05-03,77,"48",1,"0-130"
398.3405309876,0.5,12,2025-05-03,77,"48",1,"0-130"
474.6424979605,0.75,12,2025-05-03,77,"48",1,"0-130"
765.280343984,0.9,12,2025-05-03,77,"48",1,"0-130"
966.3272572589,0.95,12,2025-05-03,77,"48",1,"0-130"
1103.9567424611,0.975,12,2025-05-03,77,"48",1,"0-130"
1185.948572132,0.99,12,2025-05-03,77,"48",1,"0-130"
53.078,0.01,12,2025-05-03,77,"48",1,"0-64"
65.805318854,0.025,12,2025-05-03,77,"48",1,"0-64"
71.8561628728,0.05,12,2025-05-03,77,"48",1,"0-64"
79.287770835,0.1,12,2025-05-03,77,"48",1,"0-64"
113.0797823278,0.25,12,2025-05-03,77,"48",1,"0-64"
