"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
16.5,0.01,3,2025-05-03,77,"53",1,"0-130"
17.2,0.025,3,2025-05-03,77,"53",1,"0-130"
17.9,0.05,3,2025-05-03,77,"53",1,"0-130"
26.4,0.1,3,2025-05-03,77,"53",1,"0-130"
36.7,0.25,3,2025-05-03,77,"53",1,"0-130"
64.2,0.5,3,2025-05-03,77,"53",1,"0-130"
100.7,0.75,3,2025-05-03,77,"53",1,"0-130"
145.6,0.9,3,2025-05-03,77,"53",1,"0-130"
161.8,0.95,3,2025-05-03,77,"53",1,"0-130"
181.9,0.975,3,2025-05-03,77,"53",1,"0-130"
196.7,0.99,3,2025-05-03,77,"53",1,"0-130"
11.4,0.01,3,2025-05-03,77,"53",1,"0-64"
11.5,0.025,3,2025-05-03,77,"53",1,"0-64"
12.3,0.05,3,2025-05-03,77,"53",1,"0-64"
17.7,0.1,3,2025-05-03,77,"53",1,"0-64"
24.8,0.25,3,2025-05-03,77,"53",1,"0-64"
40.7,0.5,3,2025-05-03,77,"53",1,"0-64"
62.2,0.75,3,2025-05-03,77,"53",1,"0-64"
87.9,0.9,3,2025-05-03,77,"53",1,"0-64"
98.9,0.95,3,2025-05-03,77,"53",1,"0-64"
111.7,0.975,3,2025-05-03,77,"53",1,"0-64"
122.8,0.99,3,2025-05-03,77,"53",1,"0-64"
5.3,0.01,3,2025-05-03,77,"53",1,"65-130"
5.4,0.025,3,2025-05-03,77,"53",1,"65-130"
5.6,0.05,3,2025-05-03,77,"53",1,"65-130"
8.4,0.1,3,2025-05-03,77,"53",1,"65-130"
11.8,0.25,3,2025-05-03,77,"53",1,"65-130"
21.4,0.5,3,2025-05-03,77,"53",1,"65-130"
38.4,0.75,3,2025-05-03,77,"53",1,"65-130"
56.7,0.9,3,2025-05-03,77,"53",1,"65-130"
62.9,0.95,3,2025-05-03,77,"53",1,"65-130"
70.4,0.975,3,2025-05-03,77,"53",1,"65-130"
73.9,0.99,3,2025-05-03,77,"53",1,"65-130"
2.3,0.01,6,2025-05-03,77,"53",1,"0-130"
2.6,0.025,6,2025-05-03,77,"53",1,"0-130"
2.7,0.05,6,2025-05-03,77,"53",1,"0-130"
3.19,0.1,6,2025-05-03,77,"53",1,"0-130"
5.625,0.25,6,2025-05-03,77,"53",1,"0-130"
16.2,0.5,6,2025-05-03,77,"53",1,"0-130"
28.825,0.75,6,2025-05-03,77,"53",1,"0-130"
49.42,0.9,6,2025-05-03,77,"53",1,"0-130"
53.1,0.95,6,2025-05-03,77,"53",1,"0-130"
56.4125,0.975,6,2025-05-03,77,"53",1,"0-130"
60.819,0.99,6,2025-05-03,77,"53",1,"0-130"
1.2,0.01,6,2025-05-03,77,"53",1,"0-64"
1.3,0.025,6,2025-05-03,77,"53",1,"0-64"
1.4,0.05,6,2025-05-03,77,"53",1,"0-64"
1.6,0.1,6,2025-05-03,77,"53",1,"0-64"
2.95,0.25,6,2025-05-03,77,"53",1,"0-64"
8.35,0.5,6,2025-05-03,77,"53",1,"0-64"
14.9,0.75,6,2025-05-03,77,"53",1,"0-64"
25.51,0.9,6,2025-05-03,77,"53",1,"0-64"
27.45,0.95,6,2025-05-03,77,"53",1,"0-64"
29.1825,0.975,6,2025-05-03,77,"53",1,"0-64"
31.423,0.99,6,2025-05-03,77,"53",1,"0-64"
1.1,0.01,6,2025-05-03,77,"53",1,"65-130"
1.2,0.025,6,2025-05-03,77,"53",1,"65-130"
1.3,0.05,6,2025-05-03,77,"53",1,"65-130"
1.5,0.1,6,2025-05-03,77,"53",1,"65-130"
2.75,0.25,6,2025-05-03,77,"53",1,"65-130"
7.85,0.5,6,2025-05-03,77,"53",1,"65-130"
13.95,0.75,6,2025-05-03,77,"53",1,"65-130"
23.91,0.9,6,2025-05-03,77,"53",1,"65-130"
25.65,0.95,6,2025-05-03,77,"53",1,"65-130"
27.23,0.975,6,2025-05-03,77,"53",1,"65-130"
29.396,0.99,6,2025-05-03,77,"53",1,"65-130"
21.945,0.01,7,2025-05-03,77,"53",1,"0-130"
25.45,0.025,7,2025-05-03,77,"53",1,"0-130"
29.0925,0.05,7,2025-05-03,77,"53",1,"0-130"
32.68,0.1,7,2025-05-03,77,"53",1,"0-130"
40.8875,0.25,7,2025-05-03,77,"53",1,"0-130"
66.6,0.5,7,2025-05-03,77,"53",1,"0-130"
90.35,0.75,7,2025-05-03,77,"53",1,"0-130"
114.8,0.9,7,2025-05-03,77,"53",1,"0-130"
123.425,0.95,7,2025-05-03,77,"53",1,"0-130"
133.95,0.975,7,2025-05-03,77,"53",1,"0-130"
141.35,0.99,7,2025-05-03,77,"53",1,"0-130"
8.044,0.01,7,2025-05-03,77,"53",1,"0-64"
9.13,0.025,7,2025-05-03,77,"53",1,"0-64"
10.195,0.05,7,2025-05-03,77,"53",1,"0-64"
13.6,0.1,7,2025-05-03,77,"53",1,"0-64"
17.775,0.25,7,2025-05-03,77,"53",1,"0-64"
24.825,0.5,7,2025-05-03,77,"53",1,"0-64"
30.325,0.75,7,2025-05-03,77,"53",1,"0-64"
37.44,0.9,7,2025-05-03,77,"53",1,"0-64"
45.715,0.95,7,2025-05-03,77,"53",1,"0-64"
