"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
8.7,0.01,3,2025-05-03,77,"54",1,"0-130"
9.2,0.025,3,2025-05-03,77,"54",1,"0-130"
9.6,0.05,3,2025-05-03,77,"54",1,"0-130"
10.4,0.1,3,2025-05-03,77,"54",1,"0-130"
13.2,0.25,3,2025-05-03,77,"54",1,"0-130"
25.5,0.5,3,2025-05-03,77,"54",1,"0-130"
50.9,0.75,3,2025-05-03,77,"54",1,"0-130"
79.7,0.9,3,2025-05-03,77,"54",1,"0-130"
86.8,0.95,3,2025-05-03,77,"54",1,"0-130"
100.3,0.975,3,2025-05-03,77,"54",1,"0-130"
105.6,0.99,3,2025-05-03,77,"54",1,"0-130"
5.9,0.01,3,2025-05-03,77,"54",1,"0-64"
6.2,0.025,3,2025-05-03,77,"54",1,"0-64"
6.5,0.05,3,2025-05-03,77,"54",1,"0-64"
7,0.1,3,2025-05-03,77,"54",1,"0-64"
9.1,0.25,3,2025-05-03,77,"54",1,"0-64"
16.6,0.5,3,2025-05-03,77,"54",1,"0-64"
30.5,0.75,3,2025-05-03,77,"54",1,"0-64"
46.2,0.9,3,2025-05-03,77,"54",1,"0-64"
51,0.95,3,2025-05-03,77,"54",1,"0-64"
59.2,0.975,3,2025-05-03,77,"54",1,"0-64"
61.7,0.99,3,2025-05-03,77,"54",1,"0-64"
2.8,0.01,3,2025-05-03,77,"54",1,"65-130"
3,0.025,3,2025-05-03,77,"54",1,"65-130"
3.1,0.05,3,2025-05-03,77,"54",1,"65-130"
3.4,0.1,3,2025-05-03,77,"54",1,"65-130"
4.4,0.25,3,2025-05-03,77,"54",1,"65-130"
8.6,0.5,3,2025-05-03,77,"54",1,"65-130"
20.6,0.75,3,2025-05-03,77,"54",1,"65-130"
33.5,0.9,3,2025-05-03,77,"54",1,"65-130"
35.8,0.95,3,2025-05-03,77,"54",1,"65-130"
41.6,0.975,3,2025-05-03,77,"54",1,"65-130"
44.3,0.99,3,2025-05-03,77,"54",1,"65-130"
24.451,0.01,6,2025-05-03,77,"54",1,"0-130"
30.3775,0.025,6,2025-05-03,77,"54",1,"0-130"
36.07,0.05,6,2025-05-03,77,"54",1,"0-130"
44.57,0.1,6,2025-05-03,77,"54",1,"0-130"
52.125,0.25,6,2025-05-03,77,"54",1,"0-130"
58.9,0.5,6,2025-05-03,77,"54",1,"0-130"
70.575,0.75,6,2025-05-03,77,"54",1,"0-130"
84.87,0.9,6,2025-05-03,77,"54",1,"0-130"
