"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
14.5,0.01,3,2025-05-03,77,"55",1,"0-130"
14.7,0.025,3,2025-05-03,77,"55",1,"0-130"
15.1,0.05,3,2025-05-03,77,"55",1,"0-130"
16.1,0.1,3,2025-05-03,77,"55",1,"0-130"
19.4,0.25,3,2025-05-03,77,"55",1,"0-130"
36.8,0.5,3,2025-05-03,77,"55",1,"0-130"
121.9,0.75,3,2025-05-03,77,"55",1,"0-130"
203.6,0.9,3,2025-05-03,77,"55",1,"0-130"
235.4,0.95,3,2025-05-03,77,"55",1,"0-130"
249.3,0.975,3,2025-05-03,77,"55",1,"0-130"
287,0.99,3,2025-05-03,77,"55",1,"0-130"
10.2,0.01,3,2025-05-03,77,"55",1,"0-64"
10.3,0.025,3,2025-05-03,77,"55",1,"0-64"
10.6,0.05,3,2025-05-03,77,"55",1,"0-64"
11.2,0.1,3,2025-05-03,77,"55",1,"0-64"
13.1,0.25,3,2025-05-03,77,"55",1,"0-64"
24,0.5,3,2025-05-03,77,"55",1,"0-64"
75.3,0.75,3,2025-05-03,77,"55",1,"0-64"
120.3,0.9,3,2025-05-03,77,"55",1,"0-64"
140.8,0.95,3,2025-05-03,77,"55",1,"0-64"
147.9,0.975,3,2025-05-03,77,"55",1,"0-64"
170.5,0.99,3,2025-05-03,77,"55",1,"0-64"
4,0.01,3,2025-05-03,77,"55",1,"65-130"
4.2,0.025,3,2025-05-03,77,"55",1,"65-130"
4.5,0.05,3,2025-05-03,77,"55",1,"65-130"
4.8,0.1,3,2025-05-03,77,"55",1,"65-130"
6.2,0.25,3,2025-05-03,77,"55",1,"65-130"
13,0.5,3,2025-05-03,77,"55",1,"65-130"
47.9,0.75,3,2025-05-03,77,"55",1,"65-130"
83.1,0.9,3,2025-05-03,77,"55",1,"65-130"
94.6,0.95,3,2025-05-03,77,"55",1,"65-130"
102.3,0.975,3,2025-05-03,77,"55",1,"65-130"
116.2,0.99,3,2025-05-03,77,"55",1,"65-130"
16.889,0.01,6,2025-05-03,77,"55",1,"0-130"
19.0375,0.025,6,2025-05-03,77,"55",1,"0-130"
21.64,0.05,6,2025-05-03,77,"55",1,"0-130"
25.57,0.1,6,2025-05-03,77,"55",1,"0-130"
45.95,0.25,6,2025-05-03,77,"55",1,"0-130"
66.8,0.5,6,2025-05-03,77,"55",1,"0-130"
79.525,0.75,6,2025-05-03,77,"55",1,"0-130"
84.13,0.9,6,2025-05-03,77,"55",1,"0-130"
87.26,0.95,6,2025-05-03,77,"55",1,"0-130"
92.215,0.975,6,2025-05-03,77,"55",1,"0-130"
119.36,0.99,6,2025-05-03,77,"55",1,"0-130"
8.295,0.01,6,2025-05-03,77,"55",1,"0-64"
9.3425,0.025,6,2025-05-03,77,"55",1,"0-64"
10.57,0.05,6,2025-05-03,77,"55",1,"0-64"
12.49,0.1,6,2025-05-03,77,"55",1,"0-64"
22.475,0.25,6,2025-05-03,77,"55",1,"0-64"
32.75,0.5,6,2025-05-03,77,"55",1,"0-64"
38.95,0.75,6,2025-05-03,77,"55",1,"0-64"
41.22,0.9,6,2025-05-03,77,"55",1,"0-64"
42.73,0.95,6,2025-05-03,77,"55",1,"0-64"
45.155,0.975,6,2025-05-03,77,"55",1,"0-64"
58.43,0.99,6,2025-05-03,77,"55",1,"0-64"
8.595,0.01,6,2025-05-03,77,"55",1,"65-130"
9.7425,0.025,6,2025-05-03,77,"55",1,"65-130"
11.065,0.05,6,2025-05-03,77,"55",1,"65-130"
13.08,0.1,6,2025-05-03,77,"55",1,"65-130"
23.45,0.25,6,2025-05-03,77,"55",1,"65-130"
34.05,0.5,6,2025-05-03,77,"55",1,"65-130"
40.55,0.75,6,2025-05-03,77,"55",1,"65-130"
42.92,0.9,6,2025-05-03,77,"55",1,"65-130"
44.53,0.95,6,2025-05-03,77,"55",1,"65-130"
47.0075,0.975,6,2025-05-03,77,"55",1,"65-130"
60.831,0.99,6,2025-05-03,77,"55",1,"65-130"
43.938,0.01,7,2025-05-03,77,"55",1,"0-130"
53.1125,0.025,7,2025-05-03,77,"55",1,"0-130"
57.15,0.05,7,2025-05-03,77,"55",1,"0-130"
65.05,0.1,7,2025-05-03,77,"55",1,"0-130"
74.375,0.25,7,2025-05-03,77,"55",1,"0-130"
82.5,0.5,7,2025-05-03,77,"55",1,"0-130"
120.4875,0.75,7,2025-05-03,77,"55",1,"0-130"
127.315,0.9,7,2025-05-03,77,"55",1,"0-130"
131.5775,0.95,7,2025-05-03,77,"55",1,"0-130"
133.64625,0.975,7,2025-05-03,77,"55",1,"0-130"
134.4695,0.99,7,2025-05-03,77,"55",1,"0-130"
13.6,0.01,7,2025-05-03,77,"55",1,"0-64"
16.1175,0.025,7,2025-05-03,77,"55",1,"0-64"
17.235,0.05,7,2025-05-03,77,"55",1,"0-64"
20.5,0.1,7,2025-05-03,77,"55",1,"0-64"
25,0.25,7,2025-05-03,77,"55",1,"0-64"
30.95,0.5,7,2025-05-03,77,"55",1,"0-64"
39.375,0.75,7,2025-05-03,77,"55",1,"0-64"
41.425,0.9,7,2025-05-03,77,"55",1,"0-64"
43.315,0.95,7,2025-05-03,77,"55",1,"0-64"
45.43625,0.975,7,2025-05-03,77,"55",1,"0-64"
53.0205,0.99,7,2025-05-03,77,"55",1,"0-64"
27.193,0.01,7,2025-05-03,77,"55",1,"65-130"
33.995,0.025,7,2025-05-03,77,"55",1,"65-130"
37.365,0.05,7,2025-05-03,77,"55",1,"65-130"
43,0.1,7,2025-05-03,77,"55",1,"65-130"
47,0.25,7,2025-05-03,77,"55",1,"65-130"
52.5,0.5,7,2025-05-03,77,"55",1,"65-130"
69.375,0.75,7,2025-05-03,77,"55",1,"65-130"
84.405,0.9,7,2025-05-03,77,"55",1,"65-130"
90.9025,0.95,7,2025-05-03,77,"55",1,"65-130"
93.48375,0.975,7,2025-05-03,77,"55",1,"65-130"
94.67,0.99,7,2025-05-03,77,"55",1,"65-130"
15.3,0.01,12,2025-05-03,77,"55",1,"0-130"
