"time_value","geo_value_fullname","fips","value"
2019-10-05,"Alabama","01",0
2019-10-05,"Alaska","02",0
2019-10-05,"Arizona","04",0
2019-10-05,"Arkansas","05",0
2019-10-05,"California","06",0
2019-10-05,"Colorado","08",0
2019-10-05,"Connecticut","09",0
2019-10-05,"Delaware","10",0
2019-10-05,"District of Columbia","11",0
2019-10-05,"Florida","12",0
2019-10-05,"Georgia","13",0
2019-10-05,"Hawaii","15",0
2019-10-05,"Idaho","16",0
2019-10-05,"Illinois","17",0
2019-10-05,"Indiana","18",0
2019-10-05,"Iowa","19",0
2019-10-05,"Kansas","20",0
2019-10-05,"Kentucky","21",0
2019-10-05,"Louisiana","22",0
2019-10-05,"Maine","23",0
2019-10-05,"Maryland","24",0
2019-10-05,"Massachusetts","25",0
2019-10-05,"Michigan","26",0
2019-10-05,"Minnesota","27",0
2019-10-05,"Mississippi","28",0
2019-10-05,"Missouri","29",0
2019-10-05,"Montana","30",0
2019-10-05,"Nebraska","31",0
2019-10-05,"Nevada","32",0
2019-10-05,"New Hampshire","33",0
2019-10-05,"New Jersey","34",0
2019-10-05,"New Mexico","35",0
2019-10-05,"North Carolina","37",0
2019-10-05,"North Dakota","38",0
2019-10-05,"Ohio","39",0
2019-10-05,"Oklahoma","40",0
2019-10-05,"Oregon","41",0
2019-10-05,"Pennsylvania","42",0
2019-10-05,"Rhode Island","44",0
2019-10-05,"South Carolina","45",0
2019-10-05,"South Dakota","46",0
2019-10-05,"Tennessee","47",0
2019-10-05,"Texas","48",0
2019-10-05,"Utah","49",0
2019-10-05,"Vermont","50",0
2019-10-05,"Virginia","51",0
2019-10-05,"Washington","53",0
2019-10-05,"West Virginia","54",0
2019-10-05,"Wisconsin","55",0
2019-10-05,"Wyoming","56",0
2019-10-05,"New York","36",0
2019-10-05,"US","US",0
2019-10-12,"Alabama","01",0
2019-10-12,"Alaska","02",0
2019-10-12,"Arizona","04",0
2019-10-12,"Arkansas","05",0
2019-10-12,"California","06",0
2019-10-12,"Colorado","08",0
2019-10-12,"Connecticut","09",0
2019-10-12,"Delaware","10",0
2019-10-12,"District of Columbia","11",0
2019-10-12,"Florida","12",0
