"time_value","fips","geo_value_fullname","age_group","value"
2020-08-08,"32","Nevada","0-130",0
2020-09-19,"32","Nevada","0-130",NA
2020-09-26,"32","Nevada","0-130",0
2020-10-03,"32","Nevada","0-130",0
2020-10-10,"32","Nevada","0-130",0
2020-10-17,"32","Nevada","0-130",0
2020-10-17,"48","Texas","0-130",3
2020-10-24,"01","Alabama","0-130",3
2020-10-24,"02","Alaska","0-130",0
2020-10-24,"06","California","0-130",9
2020-10-24,"09","Connecticut","0-130",0
2020-10-24,"11","District of Columbia","0-130",0
2020-10-24,"13","Georgia","0-130",8
2020-10-24,"66","Guam","0-130",2
2020-10-24,"16","Idaho","0-130",1
2020-10-24,"18","Indiana","0-130",0
2020-10-24,"19","Iowa","0-130",1
2020-10-24,"20","Kansas","0-130",6
2020-10-24,"21","Kentucky","0-130",12
2020-10-24,"24","Maryland","0-130",0
2020-10-24,"25","Massachusetts","0-130",0
2020-10-24,"30","Montana","0-130",0
2020-10-24,"31","Nebraska","0-130",0
2020-10-24,"32","Nevada","0-130",5
2020-10-24,"33","New Hampshire","0-130",0
2020-10-24,"35","New Mexico","0-130",1
2020-10-24,"69","Northern Mariana Islands","0-130",0
2020-10-24,"44","Rhode Island","0-130",2
2020-10-24,"47","Tennessee","0-130",20
2020-10-24,"48","Texas","0-130",66
2020-10-24,"78","Virgin Islands","0-130",0
2020-10-24,"56","Wyoming","0-130",0
2020-10-31,"01","Alabama","0-130",18
2020-10-31,"02","Alaska","0-130",0
2020-10-31,"05","Arkansas","0-130",8
2020-10-31,"06","California","0-130",NA
2020-10-31,"08","Colorado","0-130",0
2020-10-31,"09","Connecticut","0-130",0
2020-10-31,"11","District of Columbia","0-130",0
2020-10-31,"13","Georgia","0-130",18
2020-10-31,"66","Guam","0-130",3
2020-10-31,"16","Idaho","0-130",0
2020-10-31,"18","Indiana","0-130",0
2020-10-31,"19","Iowa","0-130",2
2020-10-31,"20","Kansas","0-130",8
2020-10-31,"21","Kentucky","0-130",7
2020-10-31,"23","Maine","0-130",0
2020-10-31,"24","Maryland","0-130",1
2020-10-31,"25","Massachusetts","0-130",3
2020-10-31,"26","Michigan","0-130",13
2020-10-31,"28","Mississippi","0-130",5
2020-10-31,"30","Montana","0-130",1
2020-10-31,"31","Nebraska","0-130",0
2020-10-31,"32","Nevada","0-130",53
2020-10-31,"33","New Hampshire","0-130",0
2020-10-31,"35","New Mexico","0-130",5
2020-10-31,"38","North Dakota","0-130",0
2020-10-31,"69","Northern Mariana Islands","0-130",0
2020-10-31,"40","Oklahoma","0-130",9
2020-10-31,"41","Oregon","0-130",0
2020-10-31,"72","Puerto Rico","0-130",22
2020-10-31,"44","Rhode Island","0-130",3
2020-10-31,"45","South Carolina","0-130",3
2020-10-31,"46","South Dakota","0-130",0
2020-10-31,"47","Tennessee","0-130",30
2020-10-31,"48","Texas","0-130",134
2020-10-31,"US","US","0-130",471
2020-10-31,"78","Virgin Islands","0-130",0
2020-10-31,"51","Virginia","0-130",21
2020-10-31,"53","Washington","0-130",0
2020-10-31,"54","West Virginia","0-130",1
2020-10-31,"56","Wyoming","0-130",1
2020-11-07,"01","Alabama","0-130",21
2020-11-07,"02","Alaska","0-130",0
2020-11-07,"04","Arizona","0-130",10
2020-11-07,"05","Arkansas","0-130",14
2020-11-07,"06","California","0-130",27
2020-11-07,"08","Colorado","0-130",3
2020-11-07,"09","Connecticut","0-130",0
2020-11-07,"11","District of Columbia","0-130",0
2020-11-07,"13","Georgia","0-130",14
2020-11-07,"66","Guam","0-130",1
2020-11-07,"16","Idaho","0-130",0
2020-11-07,"17","Illinois","0-130",7
2020-11-07,"18","Indiana","0-130",6
2020-11-07,"19","Iowa","0-130",9
2020-11-07,"20","Kansas","0-130",2
2020-11-07,"21","Kentucky","0-130",11
2020-11-07,"22","Louisiana","0-130",5
2020-11-07,"23","Maine","0-130",0
2020-11-07,"24","Maryland","0-130",2
2020-11-07,"25","Massachusetts","0-130",6
2020-11-07,"26","Michigan","0-130",9
2020-11-07,"27","Minnesota","0-130",1
2020-11-07,"28","Mississippi","0-130",13
2020-11-07,"29","Missouri","0-130",8
2020-11-07,"30","Montana","0-130",1
2020-11-07,"31","Nebraska","0-130",2
2020-11-07,"32","Nevada","0-130",3
2020-11-07,"33","New Hampshire","0-130",0
2020-11-07,"34","New Jersey","0-130",4
2020-11-07,"35","New Mexico","0-130",10
2020-11-07,"36","New York","0-130",10
2020-11-07,"38","North Dakota","0-130",1
2020-11-07,"69","Northern Mariana Islands","0-130",0
2020-11-07,"39","Ohio","0-130",3
2020-11-07,"40","Oklahoma","0-130",9
2020-11-07,"41","Oregon","0-130",1
2020-11-07,"42","Pennsylvania","0-130",16
2020-11-07,"72","Puerto Rico","0-130",11
2020-11-07,"44","Rhode Island","0-130",2
2020-11-07,"45","South Carolina","0-130",3
2020-11-07,"46","South Dakota","0-130",1
2020-11-07,"47","Tennessee","0-130",28
2020-11-07,"48","Texas","0-130",177
2020-11-07,"US","US","0-130",520
2020-11-07,"49","Utah","0-130",1
2020-11-07,"50","Vermont","0-130",0
2020-11-07,"78","Virgin Islands","0-130",0
2020-11-07,"51","Virginia","0-130",19
2020-11-07,"53","Washington","0-130",0
2020-11-07,"54","West Virginia","0-130",2
2020-11-07,"55","Wisconsin","0-130",9
2020-11-07,"56","Wyoming","0-130",0
2020-11-14,"01","Alabama","0-130",25
2020-11-14,"02","Alaska","0-130",0
2020-11-14,"04","Arizona","0-130",21
2020-11-14,"05","Arkansas","0-130",10
2020-11-14,"06","California","0-130",41
2020-11-14,"08","Colorado","0-130",5
2020-11-14,"09","Connecticut","0-130",1
2020-11-14,"11","District of Columbia","0-130",0
2020-11-14,"13","Georgia","0-130",34
2020-11-14,"66","Guam","0-130",0
2020-11-14,"16","Idaho","0-130",1
2020-11-14,"17","Illinois","0-130",3
2020-11-14,"18","Indiana","0-130",8
2020-11-14,"19","Iowa","0-130",16
2020-11-14,"20","Kansas","0-130",3
2020-11-14,"21","Kentucky","0-130",15
2020-11-14,"22","Louisiana","0-130",23
2020-11-14,"23","Maine","0-130",0
2020-11-14,"24","Maryland","0-130",3
2020-11-14,"25","Massachusetts","0-130",3
2020-11-14,"26","Michigan","0-130",11
2020-11-14,"27","Minnesota","0-130",30
2020-11-14,"28","Mississippi","0-130",14
2020-11-14,"29","Missouri","0-130",11
2020-11-14,"30","Montana","0-130",1
2020-11-14,"31","Nebraska","0-130",3
2020-11-14,"32","Nevada","0-130",1
2020-11-14,"33","New Hampshire","0-130",0
2020-11-14,"34","New Jersey","0-130",1
2020-11-14,"35","New Mexico","0-130",7
2020-11-14,"36","New York","0-130",11
2020-11-14,"38","North Dakota","0-130",7
2020-11-14,"69","Northern Mariana Islands","0-130",0
2020-11-14,"39","Ohio","0-130",4
2020-11-14,"40","Oklahoma","0-130",16
2020-11-14,"41","Oregon","0-130",0
2020-11-14,"42","Pennsylvania","0-130",4
2020-11-14,"72","Puerto Rico","0-130",18
2020-11-14,"44","Rhode Island","0-130",0
2020-11-14,"45","South Carolina","0-130",2
2020-11-14,"46","South Dakota","0-130",2
2020-11-14,"47","Tennessee","0-130",44
2020-11-14,"48","Texas","0-130",171
2020-11-14,"US","US","0-130",653
2020-11-14,"49","Utah","0-130",1
2020-11-14,"50","Vermont","0-130",1
2020-11-14,"78","Virgin Islands","0-130",6
2020-11-14,"51","Virginia","0-130",22
2020-11-14,"53","Washington","0-130",2
2020-11-14,"54","West Virginia","0-130",1
2020-11-14,"55","Wisconsin","0-130",4
2020-11-14,"56","Wyoming","0-130",0
2020-11-21,"01","Alabama","0-130",11
2020-11-21,"02","Alaska","0-130",0
2020-11-21,"04","Arizona","0-130",17
2020-11-21,"05","Arkansas","0-130",6
2020-11-21,"06","California","0-130",39
2020-11-21,"08","Colorado","0-130",5
2020-11-21,"09","Connecticut","0-130",2
2020-11-21,"11","District of Columbia","0-130",0
2020-11-21,"13","Georgia","0-130",30
2020-11-21,"66","Guam","0-130",0
2020-11-21,"16","Idaho","0-130",0
2020-11-21,"17","Illinois","0-130",5
2020-11-21,"18","Indiana","0-130",8
2020-11-21,"19","Iowa","0-130",4
2020-11-21,"20","Kansas","0-130",4
2020-11-21,"21","Kentucky","0-130",11
2020-11-21,"22","Louisiana","0-130",8
2020-11-21,"23","Maine","0-130",0
2020-11-21,"24","Maryland","0-130",4
2020-11-21,"25","Massachusetts","0-130",1
2020-11-21,"26","Michigan","0-130",16
2020-11-21,"27","Minnesota","0-130",8
2020-11-21,"28","Mississippi","0-130",6
2020-11-21,"29","Missouri","0-130",8
2020-11-21,"30","Montana","0-130",1
2020-11-21,"31","Nebraska","0-130",1
2020-11-21,"32","Nevada","0-130",6
2020-11-21,"33","New Hampshire","0-130",1
2020-11-21,"34","New Jersey","0-130",13
2020-11-21,"35","New Mexico","0-130",0
2020-11-21,"36","New York","0-130",19
2020-11-21,"37","North Carolina","0-130",18
2020-11-21,"38","North Dakota","0-130",0
2020-11-21,"69","Northern Mariana Islands","0-130",0
2020-11-21,"39","Ohio","0-130",2
2020-11-21,"40","Oklahoma","0-130",8
2020-11-21,"41","Oregon","0-130",0
2020-11-21,"42","Pennsylvania","0-130",6
2020-11-21,"72","Puerto Rico","0-130",30
2020-11-21,"44","Rhode Island","0-130",0
2020-11-21,"45","South Carolina","0-130",7
2020-11-21,"46","South Dakota","0-130",1
2020-11-21,"47","Tennessee","0-130",50
2020-11-21,"48","Texas","0-130",184
2020-11-21,"US","US","0-130",608
2020-11-21,"49","Utah","0-130",0
2020-11-21,"50","Vermont","0-130",1
2020-11-21,"78","Virgin Islands","0-130",1
2020-11-21,"51","Virginia","0-130",23
2020-11-21,"53","Washington","0-130",2
2020-11-21,"54","West Virginia","0-130",7
2020-11-21,"55","Wisconsin","0-130",0
2020-11-21,"56","Wyoming","0-130",0
2020-11-28,"01","Alabama","0-130",17
2020-11-28,"02","Alaska","0-130",0
2020-11-28,"04","Arizona","0-130",13
2020-11-28,"05","Arkansas","0-130",13
2020-11-28,"06","California","0-130",76
2020-11-28,"08","Colorado","0-130",3
2020-11-28,"09","Connecticut","0-130",0
2020-11-28,"11","District of Columbia","0-130",0
2020-11-28,"13","Georgia","0-130",10
2020-11-28,"66","Guam","0-130",2
2020-11-28,"16","Idaho","0-130",0
2020-11-28,"17","Illinois","0-130",11
2020-11-28,"18","Indiana","0-130",5
2020-11-28,"19","Iowa","0-130",9
2020-11-28,"20","Kansas","0-130",4
2020-11-28,"21","Kentucky","0-130",16
2020-11-28,"22","Louisiana","0-130",7
2020-11-28,"23","Maine","0-130",0
2020-11-28,"24","Maryland","0-130",3
2020-11-28,"25","Massachusetts","0-130",1
2020-11-28,"26","Michigan","0-130",5
2020-11-28,"27","Minnesota","0-130",1
2020-11-28,"28","Mississippi","0-130",12
2020-11-28,"29","Missouri","0-130",16
2020-11-28,"30","Montana","0-130",0
2020-11-28,"31","Nebraska","0-130",0
2020-11-28,"32","Nevada","0-130",2
2020-11-28,"33","New Hampshire","0-130",0
2020-11-28,"34","New Jersey","0-130",4
2020-11-28,"35","New Mexico","0-130",1
2020-11-28,"36","New York","0-130",20
2020-11-28,"37","North Carolina","0-130",19
2020-11-28,"38","North Dakota","0-130",1
2020-11-28,"69","Northern Mariana Islands","0-130",0
2020-11-28,"39","Ohio","0-130",4
2020-11-28,"40","Oklahoma","0-130",11
2020-11-28,"41","Oregon","0-130",2
2020-11-28,"42","Pennsylvania","0-130",3
2020-11-28,"72","Puerto Rico","0-130",37
2020-11-28,"44","Rhode Island","0-130",0
2020-11-28,"45","South Carolina","0-130",6
2020-11-28,"46","South Dakota","0-130",0
2020-11-28,"47","Tennessee","0-130",38
2020-11-28,"48","Texas","0-130",221
2020-11-28,"US","US","0-130",684
2020-11-28,"49","Utah","0-130",0
2020-11-28,"50","Vermont","0-130",0
2020-11-28,"78","Virgin Islands","0-130",0
2020-11-28,"51","Virginia","0-130",33
2020-11-28,"53","Washington","0-130",3
2020-11-28,"54","West Virginia","0-130",4
2020-11-28,"55","Wisconsin","0-130",4
2020-11-28,"56","Wyoming","0-130",0
2020-12-05,"01","Alabama","0-130",12
2020-12-05,"02","Alaska","0-130",2
2020-12-05,"04","Arizona","0-130",19
2020-12-05,"05","Arkansas","0-130",6
2020-12-05,"06","California","0-130",47
2020-12-05,"08","Colorado","0-130",2
2020-12-05,"09","Connecticut","0-130",2
2020-12-05,"11","District of Columbia","0-130",0
2020-12-05,"12","Florida","0-130",31
2020-12-05,"13","Georgia","0-130",13
2020-12-05,"66","Guam","0-130",1
2020-12-05,"15","Hawaii","0-130",0
2020-12-05,"16","Idaho","0-130",1
2020-12-05,"17","Illinois","0-130",6
2020-12-05,"18","Indiana","0-130",3
2020-12-05,"19","Iowa","0-130",1
2020-12-05,"20","Kansas","0-130",7
2020-12-05,"21","Kentucky","0-130",20
2020-12-05,"22","Louisiana","0-130",9
2020-12-05,"23","Maine","0-130",0
2020-12-05,"24","Maryland","0-130",0
2020-12-05,"25","Massachusetts","0-130",3
2020-12-05,"26","Michigan","0-130",8
2020-12-05,"27","Minnesota","0-130",1
2020-12-05,"28","Mississippi","0-130",11
2020-12-05,"29","Missouri","0-130",15
2020-12-05,"30","Montana","0-130",0
2020-12-05,"31","Nebraska","0-130",2
2020-12-05,"32","Nevada","0-130",10
2020-12-05,"33","New Hampshire","0-130",0
2020-12-05,"34","New Jersey","0-130",14
2020-12-05,"35","New Mexico","0-130",0
2020-12-05,"36","New York","0-130",21
2020-12-05,"37","North Carolina","0-130",9
2020-12-05,"38","North Dakota","0-130",4
2020-12-05,"69","Northern Mariana Islands","0-130",0
2020-12-05,"39","Ohio","0-130",7
2020-12-05,"40","Oklahoma","0-130",21
2020-12-05,"41","Oregon","0-130",0
2020-12-05,"42","Pennsylvania","0-130",16
2020-12-05,"72","Puerto Rico","0-130",15
2020-12-05,"44","Rhode Island","0-130",0
2020-12-05,"45","South Carolina","0-130",8
2020-12-05,"46","South Dakota","0-130",1
2020-12-05,"47","Tennessee","0-130",24
2020-12-05,"48","Texas","0-130",247
2020-12-05,"US","US","0-130",658
2020-12-05,"49","Utah","0-130",0
2020-12-05,"50","Vermont","0-130",0
2020-12-05,"78","Virgin Islands","0-130",0
2020-12-05,"51","Virginia","0-130",27
2020-12-05,"53","Washington","0-130",3
2020-12-05,"54","West Virginia","0-130",9
2020-12-05,"55","Wisconsin","0-130",0
2020-12-05,"56","Wyoming","0-130",0
2020-12-12,"01","Alabama","0-130",6
2020-12-12,"02","Alaska","0-130",4
2020-12-12,"04","Arizona","0-130",33
2020-12-12,"05","Arkansas","0-130",12
2020-12-12,"06","California","0-130",54
2020-12-12,"08","Colorado","0-130",5
2020-12-12,"09","Connecticut","0-130",0
2020-12-12,"11","District of Columbia","0-130",0
2020-12-12,"12","Florida","0-130",38
2020-12-12,"13","Georgia","0-130",19
2020-12-12,"66","Guam","0-130",1
2020-12-12,"15","Hawaii","0-130",0
2020-12-12,"16","Idaho","0-130",1
2020-12-12,"17","Illinois","0-130",2
2020-12-12,"18","Indiana","0-130",6
