"time_value","fips","geo_value_fullname","age_group","value"
2023-12-23,"42","Pennsylvania","0-130",72
2023-12-30,"42","Pennsylvania","0-130",NA
2024-01-06,"42","Pennsylvania","0-130",48
2024-01-13,"42","Pennsylvania","0-130",NA
2024-01-20,"42","Pennsylvania","0-130",143
2024-03-02,"53","Washington","0-130",7
2024-03-09,"53","Washington","0-130",31
2024-03-16,"53","Washington","0-130",35
2024-03-23,"53","Washington","0-130",25
2024-03-30,"53","Washington","0-130",16
2024-04-06,"53","Washington","0-130",17
2024-04-13,"53","Washington","0-130",12
2024-04-20,"53","Washington","0-130",8
2024-04-27,"53","Washington","0-130",2
2024-05-04,"53","Washington","0-130",2
2024-05-11,"53","Washington","0-130",5
2024-05-18,"53","Washington","0-130",7
2024-05-25,"53","Washington","0-130",4
2024-06-01,"53","Washington","0-130",1
2024-06-08,"53","Washington","0-130",1
2024-06-15,"53","Washington","0-130",0
2024-06-22,"53","Washington","0-130",1
2024-06-29,"53","Washington","0-130",1
2024-07-06,"53","Washington","0-130",0
2024-07-13,"53","Washington","0-130",1
2024-07-20,"53","Washington","0-130",0
2024-07-27,"53","Washington","0-130",1
2024-08-03,"53","Washington","0-130",0
2024-08-10,"53","Washington","0-130",0
2024-08-17,"53","Washington","0-130",1
2024-08-24,"53","Washington","0-130",1
2024-08-31,"53","Washington","0-130",2
2024-09-07,"53","Washington","0-130",1
2024-09-14,"53","Washington","0-130",3
2024-09-21,"53","Washington","0-130",3
2024-09-28,"53","Washington","0-130",0
2024-10-05,"53","Washington","0-130",3
2024-10-19,"09","Connecticut","0-130",12
2024-10-19,"09","Connecticut","0-64",7
2024-10-19,"09","Connecticut","65-130",5
2024-10-26,"60","American Samoa","0-130",0
2024-10-26,"60","American Samoa","0-64",0
2024-10-26,"60","American Samoa","65-130",0
2024-10-26,"09","Connecticut","0-130",16
2024-10-26,"09","Connecticut","0-64",15
2024-10-26,"09","Connecticut","65-130",1
2024-11-02,"02","Alaska","0-130",4
2024-11-02,"02","Alaska","0-64",4
2024-11-02,"02","Alaska","65-130",0
2024-11-02,"60","American Samoa","0-130",0
2024-11-02,"60","American Samoa","0-64",0
2024-11-02,"60","American Samoa","65-130",0
2024-11-02,"06","California","0-130",52
2024-11-02,"06","California","0-64",40
2024-11-02,"06","California","65-130",12
2024-11-02,"09","Connecticut","0-130",12
2024-11-02,"09","Connecticut","0-64",12
2024-11-02,"09","Connecticut","65-130",0
2024-11-02,"22","Louisiana","0-130",31
2024-11-02,"22","Louisiana","0-64",11
2024-11-02,"22","Louisiana","65-130",5
2024-11-02,"30","Montana","0-130",0
2024-11-02,"30","Montana","0-64",0
2024-11-02,"30","Montana","65-130",0
2024-11-02,"31","Nebraska","0-130",0
2024-11-02,"31","Nebraska","0-64",0
2024-11-02,"31","Nebraska","65-130",0
2024-11-02,"33","New Hampshire","0-130",1
2024-11-02,"33","New Hampshire","0-64",0
2024-11-02,"33","New Hampshire","65-130",1
2024-11-02,"34","New Jersey","0-130",96
2024-11-02,"34","New Jersey","0-64",90
2024-11-02,"34","New Jersey","65-130",6
2024-11-02,"39","Ohio","0-130",52
2024-11-02,"39","Ohio","0-64",45
2024-11-02,"39","Ohio","65-130",7
2024-11-02,"42","Pennsylvania","0-130",NA
2024-11-02,"45","South Carolina","0-130",32
2024-11-02,"45","South Carolina","0-64",25
2024-11-02,"45","South Carolina","65-130",7
2024-11-02,"49","Utah","0-130",5
2024-11-02,"49","Utah","0-64",5
2024-11-02,"49","Utah","65-130",0
2024-11-02,"51","Virginia","0-130",26
2024-11-02,"51","Virginia","0-64",16
2024-11-02,"51","Virginia","65-130",10
2024-11-02,"53","Washington","0-130",NA
2024-11-09,"01","Alabama","0-130",62
2024-11-09,"01","Alabama","0-64",54
2024-11-09,"01","Alabama","65-130",8
2024-11-09,"02","Alaska","0-130",5
2024-11-09,"02","Alaska","0-64",5
2024-11-09,"02","Alaska","65-130",0
2024-11-09,"04","Arizona","0-130",7
2024-11-09,"04","Arizona","0-64",5
2024-11-09,"04","Arizona","65-130",2
2024-11-09,"05","Arkansas","0-130",7
2024-11-09,"05","Arkansas","0-64",7
2024-11-09,"05","Arkansas","65-130",0
2024-11-09,"06","California","0-130",114
2024-11-09,"06","California","0-64",84
2024-11-09,"06","California","65-130",29
2024-11-09,"08","Colorado","0-130",10
2024-11-09,"08","Colorado","0-64",6
2024-11-09,"08","Colorado","65-130",4
2024-11-09,"09","Connecticut","0-130",21
2024-11-09,"09","Connecticut","0-64",15
2024-11-09,"09","Connecticut","65-130",6
2024-11-09,"10","Delaware","0-130",23
2024-11-09,"10","Delaware","0-64",22
2024-11-09,"10","Delaware","65-130",1
2024-11-09,"12","Florida","0-130",423
2024-11-09,"12","Florida","0-64",297
2024-11-09,"12","Florida","65-130",115
2024-11-09,"13","Georgia","0-130",175
2024-11-09,"13","Georgia","0-64",153
2024-11-09,"13","Georgia","65-130",22
2024-11-09,"66","Guam","0-130",2
2024-11-09,"66","Guam","0-64",2
2024-11-09,"66","Guam","65-130",0
2024-11-09,"15","Hawaii","0-130",15
2024-11-09,"15","Hawaii","0-64",11
2024-11-09,"15","Hawaii","65-130",4
2024-11-09,"16","Idaho","0-130",2
2024-11-09,"16","Idaho","0-64",2
2024-11-09,"16","Idaho","65-130",0
2024-11-09,"17","Illinois","0-130",63
2024-11-09,"17","Illinois","0-64",47
2024-11-09,"17","Illinois","65-130",16
2024-11-09,"18","Indiana","0-130",17
2024-11-09,"18","Indiana","0-64",15
2024-11-09,"18","Indiana","65-130",2
2024-11-09,"19","Iowa","0-130",5
2024-11-09,"19","Iowa","0-64",5
2024-11-09,"19","Iowa","65-130",0
2024-11-09,"20","Kansas","0-130",1
2024-11-09,"20","Kansas","0-64",0
2024-11-09,"20","Kansas","65-130",1
2024-11-09,"21","Kentucky","0-130",25
2024-11-09,"21","Kentucky","0-64",21
2024-11-09,"21","Kentucky","65-130",4
2024-11-09,"22","Louisiana","0-130",48
2024-11-09,"22","Louisiana","0-64",42
2024-11-09,"22","Louisiana","65-130",6
2024-11-09,"23","Maine","0-130",1
2024-11-09,"23","Maine","0-64",1
2024-11-09,"23","Maine","65-130",0
2024-11-09,"24","Maryland","0-130",75
2024-11-09,"24","Maryland","0-64",70
2024-11-09,"24","Maryland","65-130",5
2024-11-09,"25","Massachusetts","0-130",29
2024-11-09,"25","Massachusetts","0-64",25
2024-11-09,"25","Massachusetts","65-130",4
2024-11-09,"26","Michigan","0-130",36
2024-11-09,"26","Michigan","0-64",34
2024-11-09,"26","Michigan","65-130",2
2024-11-09,"27","Minnesota","0-130",14
2024-11-09,"27","Minnesota","0-64",12
2024-11-09,"27","Minnesota","65-130",2
2024-11-09,"28","Mississippi","0-130",25
2024-11-09,"28","Mississippi","0-64",23
2024-11-09,"28","Mississippi","65-130",2
2024-11-09,"29","Missouri","0-130",20
2024-11-09,"29","Missouri","0-64",15
2024-11-09,"29","Missouri","65-130",5
2024-11-09,"30","Montana","0-130",0
2024-11-09,"30","Montana","0-64",0
2024-11-09,"30","Montana","65-130",0
