"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
2.8,0.01,3,2025-05-03,77,"02",1,"0-130"
3.2,0.025,3,2025-05-03,77,"02",1,"0-130"
3.5,0.05,3,2025-05-03,77,"02",1,"0-130"
4,0.1,3,2025-05-03,77,"02",1,"0-130"
6,0.25,3,2025-05-03,77,"02",1,"0-130"
7.4,0.5,3,2025-05-03,77,"02",1,"0-130"
10.2,0.75,3,2025-05-03,77,"02",1,"0-130"
13.3,0.9,3,2025-05-03,77,"02",1,"0-130"
15.6,0.95,3,2025-05-03,77,"02",1,"0-130"
20,0.975,3,2025-05-03,77,"02",1,"0-130"
22.8,0.99,3,2025-05-03,77,"02",1,"0-130"
2.2,0.01,3,2025-05-03,77,"02",1,"0-64"
2.4,0.025,3,2025-05-03,77,"02",1,"0-64"
2.7,0.05,3,2025-05-03,77,"02",1,"0-64"
3.3,0.1,3,2025-05-03,77,"02",1,"0-64"
4.6,0.25,3,2025-05-03,77,"02",1,"0-64"
5.5,0.5,3,2025-05-03,77,"02",1,"0-64"
7.3,0.75,3,2025-05-03,77,"02",1,"0-64"
9.7,0.9,3,2025-05-03,77,"02",1,"0-64"
11.4,0.95,3,2025-05-03,77,"02",1,"0-64"
14.5,0.975,3,2025-05-03,77,"02",1,"0-64"
16.4,0.99,3,2025-05-03,77,"02",1,"0-64"
0.6,0.01,3,2025-05-03,77,"02",1,"65-130"
0.7,0.025,3,2025-05-03,77,"02",1,"65-130"
0.8,0.05,3,2025-05-03,77,"02",1,"65-130"
0.8,0.1,3,2025-05-03,77,"02",1,"65-130"
1.3,0.25,3,2025-05-03,77,"02",1,"65-130"
1.9,0.5,3,2025-05-03,77,"02",1,"65-130"
2.7,0.75,3,2025-05-03,77,"02",1,"65-130"
3.5,0.9,3,2025-05-03,77,"02",1,"65-130"
4.6,0.95,3,2025-05-03,77,"02",1,"65-130"
5.5,0.975,3,2025-05-03,77,"02",1,"65-130"
6.3,0.99,3,2025-05-03,77,"02",1,"65-130"
0.1,0.01,6,2025-05-03,77,"02",1,"0-130"
0.1,0.025,6,2025-05-03,77,"02",1,"0-130"
0.2,0.05,6,2025-05-03,77,"02",1,"0-130"
0.4,0.1,6,2025-05-03,77,"02",1,"0-130"
0.6,0.25,6,2025-05-03,77,"02",1,"0-130"
0.9,0.5,6,2025-05-03,77,"02",1,"0-130"
1.9,0.75,6,2025-05-03,77,"02",1,"0-130"
2.4,0.9,6,2025-05-03,77,"02",1,"0-130"
2.7,0.95,6,2025-05-03,77,"02",1,"0-130"
8.7,0.975,6,2025-05-03,77,"02",1,"0-130"
9.9,0.99,6,2025-05-03,77,"02",1,"0-130"
0.1,0.01,6,2025-05-03,77,"02",1,"0-64"
0.1,0.025,6,2025-05-03,77,"02",1,"0-64"
0.1,0.05,6,2025-05-03,77,"02",1,"0-64"
0.2,0.1,6,2025-05-03,77,"02",1,"0-64"
0.3,0.25,6,2025-05-03,77,"02",1,"0-64"
0.5,0.5,6,2025-05-03,77,"02",1,"0-64"
1,0.75,6,2025-05-03,77,"02",1,"0-64"
1.3,0.9,6,2025-05-03,77,"02",1,"0-64"
1.4,0.95,6,2025-05-03,77,"02",1,"0-64"
4.6,0.975,6,2025-05-03,77,"02",1,"0-64"
5.3,0.99,6,2025-05-03,77,"02",1,"0-64"
0.1,0.01,6,2025-05-03,77,"02",1,"65-130"
0.1,0.025,6,2025-05-03,77,"02",1,"65-130"
0.1,0.05,6,2025-05-03,77,"02",1,"65-130"
0.2,0.1,6,2025-05-03,77,"02",1,"65-130"
0.3,0.25,6,2025-05-03,77,"02",1,"65-130"
0.4,0.5,6,2025-05-03,77,"02",1,"65-130"
0.9,0.75,6,2025-05-03,77,"02",1,"65-130"
1.1,0.9,6,2025-05-03,77,"02",1,"65-130"
1.3,0.95,6,2025-05-03,77,"02",1,"65-130"
4.1,0.975,6,2025-05-03,77,"02",1,"65-130"
4.7,0.99,6,2025-05-03,77,"02",1,"65-130"
1.55,0.01,7,2025-05-03,77,"02",1,"0-130"
1.75,0.025,7,2025-05-03,77,"02",1,"0-130"
1.8,0.05,7,2025-05-03,77,"02",1,"0-130"
1.9,0.1,7,2025-05-03,77,"02",1,"0-130"
2.9,0.25,7,2025-05-03,77,"02",1,"0-130"
4.3,0.5,7,2025-05-03,77,"02",1,"0-130"
6.6125,0.75,7,2025-05-03,77,"02",1,"0-130"
8.05,0.9,7,2025-05-03,77,"02",1,"0-130"
9.4525,0.95,7,2025-05-03,77,"02",1,"0-130"
10.55,0.975,7,2025-05-03,77,"02",1,"0-130"
14.765,0.99,7,2025-05-03,77,"02",1,"0-130"
0.6,0.01,7,2025-05-03,77,"02",1,"0-64"
0.6,0.025,7,2025-05-03,77,"02",1,"0-64"
0.65,0.05,7,2025-05-03,77,"02",1,"0-64"
0.7,0.1,7,2025-05-03,77,"02",1,"0-64"
0.95,0.25,7,2025-05-03,77,"02",1,"0-64"
1.65,0.5,7,2025-05-03,77,"02",1,"0-64"
3.2,0.75,7,2025-05-03,77,"02",1,"0-64"
3.25,0.9,7,2025-05-03,77,"02",1,"0-64"
3.8025,0.95,7,2025-05-03,77,"02",1,"0-64"
4.65,0.975,7,2025-05-03,77,"02",1,"0-64"
5.955,0.99,7,2025-05-03,77,"02",1,"0-64"
0.4,0.01,7,2025-05-03,77,"02",1,"65-130"
0.45,0.025,7,2025-05-03,77,"02",1,"65-130"
0.55,0.05,7,2025-05-03,77,"02",1,"65-130"
0.6,0.1,7,2025-05-03,77,"02",1,"65-130"
1.1,0.25,7,2025-05-03,77,"02",1,"65-130"
2.1,0.5,7,2025-05-03,77,"02",1,"65-130"
2.85,0.75,7,2025-05-03,77,"02",1,"65-130"
3.65,0.9,7,2025-05-03,77,"02",1,"65-130"
5.05,0.95,7,2025-05-03,77,"02",1,"65-130"
5.77625,0.975,7,2025-05-03,77,"02",1,"65-130"
6.2005,0.99,7,2025-05-03,77,"02",1,"65-130"
0.1980246914,0.01,12,2025-05-03,77,"02",1,"0-130"
0.2833333333,0.025,12,2025-05-03,77,"02",1,"0-130"
0.4602577873,0.05,12,2025-05-03,77,"02",1,"0-130"
0.6681081081,0.1,12,2025-05-03,77,"02",1,"0-130"
1.9956521739,0.25,12,2025-05-03,77,"02",1,"0-130"
3.9116495507,0.5,12,2025-05-03,77,"02",1,"0-130"
8.380840925,0.75,12,2025-05-03,77,"02",1,"0-130"
10.2469458988,0.9,12,2025-05-03,77,"02",1,"0-130"
12.7037725835,0.95,12,2025-05-03,77,"02",1,"0-130"
16.7963755735,0.975,12,2025-05-03,77,"02",1,"0-130"
19.6367283951,0.99,12,2025-05-03,77,"02",1,"0-130"
0.0987142857,0.01,12,2025-05-03,77,"02",1,"0-64"
0.1,0.025,12,2025-05-03,77,"02",1,"0-64"
0.2090909091,0.05,12,2025-05-03,77,"02",1,"0-64"
0.32,0.1,12,2025-05-03,77,"02",1,"0-64"
0.9055284553,0.25,12,2025-05-03,77,"02",1,"0-64"
1.4390456477,0.5,12,2025-05-03,77,"02",1,"0-64"
3.9641980312,0.75,12,2025-05-03,77,"02",1,"0-64"
5.4303385417,0.9,12,2025-05-03,77,"02",1,"0-64"
7.4214876033,0.95,12,2025-05-03,77,"02",1,"0-64"
9.3783359498,0.975,12,2025-05-03,77,"02",1,"0-64"
11.6939252336,0.99,12,2025-05-03,77,"02",1,"0-64"
0.06,0.01,12,2025-05-03,77,"02",1,"65-130"
0.1333333333,0.025,12,2025-05-03,77,"02",1,"65-130"
0.2166666667,0.05,12,2025-05-03,77,"02",1,"65-130"
0.3184210526,0.1,12,2025-05-03,77,"02",1,"65-130"
0.9570469799,0.25,12,2025-05-03,77,"02",1,"65-130"
1.9974441361,0.5,12,2025-05-03,77,"02",1,"65-130"
3.2984026439,0.75,12,2025-05-03,77,"02",1,"65-130"
5.298286091,0.9,12,2025-05-03,77,"02",1,"65-130"
5.9620645661,0.95,12,2025-05-03,77,"02",1,"65-130"
7.4685963861,0.975,12,2025-05-03,77,"02",1,"65-130"
11.0190122854,0.99,12,2025-05-03,77,"02",1,"65-130"
0,0.01,15,2025-05-03,77,"02",1,"0-130"
0,0.025,15,2025-05-03,77,"02",1,"0-130"
0,0.05,15,2025-05-03,77,"02",1,"0-130"
0,0.1,15,2025-05-03,77,"02",1,"0-130"
1.1,0.25,15,2025-05-03,77,"02",1,"0-130"
3.9116495507,0.5,15,2025-05-03,77,"02",1,"0-130"
8.8749584856,0.75,15,2025-05-03,77,"02",1,"0-130"
11.5410475418,0.9,15,2025-05-03,77,"02",1,"0-130"
15.0215500135,0.95,15,2025-05-03,77,"02",1,"0-130"
17.6570866802,0.975,15,2025-05-03,77,"02",1,"0-130"
21.3018103065,0.99,15,2025-05-03,77,"02",1,"0-130"
0,0.01,15,2025-05-03,77,"02",1,"0-64"
0,0.025,15,2025-05-03,77,"02",1,"0-64"
0,0.05,15,2025-05-03,77,"02",1,"0-64"
0,0.1,15,2025-05-03,77,"02",1,"0-64"
0.5,0.25,15,2025-05-03,77,"02",1,"0-64"
