"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
10.2,0.01,3,2025-05-03,77,"08",1,"0-130"
11.4,0.025,3,2025-05-03,77,"08",1,"0-130"
12.5,0.05,3,2025-05-03,77,"08",1,"0-130"
13.9,0.1,3,2025-05-03,77,"08",1,"0-130"
15.8,0.25,3,2025-05-03,77,"08",1,"0-130"
30.7,0.5,3,2025-05-03,77,"08",1,"0-130"
55.8,0.75,3,2025-05-03,77,"08",1,"0-130"
102.9,0.9,3,2025-05-03,77,"08",1,"0-130"
117.7,0.95,3,2025-05-03,77,"08",1,"0-130"
123.8,0.975,3,2025-05-03,77,"08",1,"0-130"
159.9,0.99,3,2025-05-03,77,"08",1,"0-130"
7.2,0.01,3,2025-05-03,77,"08",1,"0-64"
7.9,0.025,3,2025-05-03,77,"08",1,"0-64"
9.1,0.05,3,2025-05-03,77,"08",1,"0-64"
10.2,0.1,3,2025-05-03,77,"08",1,"0-64"
11.6,0.25,3,2025-05-03,77,"08",1,"0-64"
21.9,0.5,3,2025-05-03,77,"08",1,"0-64"
37.3,0.75,3,2025-05-03,77,"08",1,"0-64"
66.9,0.9,3,2025-05-03,77,"08",1,"0-64"
75.7,0.95,3,2025-05-03,77,"08",1,"0-64"
80.1,0.975,3,2025-05-03,77,"08",1,"0-64"
103.8,0.99,3,2025-05-03,77,"08",1,"0-64"
3,0.01,3,2025-05-03,77,"08",1,"65-130"
3.1,0.025,3,2025-05-03,77,"08",1,"65-130"
3.5,0.05,3,2025-05-03,77,"08",1,"65-130"
3.8,0.1,3,2025-05-03,77,"08",1,"65-130"
4.6,0.25,3,2025-05-03,77,"08",1,"65-130"
8.9,0.5,3,2025-05-03,77,"08",1,"65-130"
17.4,0.75,3,2025-05-03,77,"08",1,"65-130"
36.1,0.9,3,2025-05-03,77,"08",1,"65-130"
41.5,0.95,3,2025-05-03,77,"08",1,"65-130"
44.5,0.975,3,2025-05-03,77,"08",1,"65-130"
55.4,0.99,3,2025-05-03,77,"08",1,"65-130"
12,0.01,6,2025-05-03,77,"08",1,"0-130"
14,0.025,6,2025-05-03,77,"08",1,"0-130"
16.6,0.05,6,2025-05-03,77,"08",1,"0-130"
17.4,0.1,6,2025-05-03,77,"08",1,"0-130"
21.7,0.25,6,2025-05-03,77,"08",1,"0-130"
34.5,0.5,6,2025-05-03,77,"08",1,"0-130"
57.3,0.75,6,2025-05-03,77,"08",1,"0-130"
65.5,0.9,6,2025-05-03,77,"08",1,"0-130"
78.9,0.95,6,2025-05-03,77,"08",1,"0-130"
80,0.975,6,2025-05-03,77,"08",1,"0-130"
81.9,0.99,6,2025-05-03,77,"08",1,"0-130"
6.3,0.01,6,2025-05-03,77,"08",1,"0-64"
7.3,0.025,6,2025-05-03,77,"08",1,"0-64"
8.7,0.05,6,2025-05-03,77,"08",1,"0-64"
9.1,0.1,6,2025-05-03,77,"08",1,"0-64"
11.3,0.25,6,2025-05-03,77,"08",1,"0-64"
18,0.5,6,2025-05-03,77,"08",1,"0-64"
29.9,0.75,6,2025-05-03,77,"08",1,"0-64"
34.1,0.9,6,2025-05-03,77,"08",1,"0-64"
41.1,0.95,6,2025-05-03,77,"08",1,"0-64"
41.7,0.975,6,2025-05-03,77,"08",1,"0-64"
42.7,0.99,6,2025-05-03,77,"08",1,"0-64"
5.8,0.01,6,2025-05-03,77,"08",1,"65-130"
6.7,0.025,6,2025-05-03,77,"08",1,"65-130"
8,0.05,6,2025-05-03,77,"08",1,"65-130"
8.4,0.1,6,2025-05-03,77,"08",1,"65-130"
10.4,0.25,6,2025-05-03,77,"08",1,"65-130"
16.5,0.5,6,2025-05-03,77,"08",1,"65-130"
27.5,0.75,6,2025-05-03,77,"08",1,"65-130"
31.4,0.9,6,2025-05-03,77,"08",1,"65-130"
37.8,0.95,6,2025-05-03,77,"08",1,"65-130"
38.3,0.975,6,2025-05-03,77,"08",1,"65-130"
39.2,0.99,6,2025-05-03,77,"08",1,"65-130"
18.049,0.01,7,2025-05-03,77,"08",1,"0-130"
19.995,0.025,7,2025-05-03,77,"08",1,"0-130"
21.55,0.05,7,2025-05-03,77,"08",1,"0-130"
28.445,0.1,7,2025-05-03,77,"08",1,"0-130"
31.175,0.25,7,2025-05-03,77,"08",1,"0-130"
42.975,0.5,7,2025-05-03,77,"08",1,"0-130"
58.65,0.75,7,2025-05-03,77,"08",1,"0-130"
84.2,0.9,7,2025-05-03,77,"08",1,"0-130"
94.45,0.95,7,2025-05-03,77,"08",1,"0-130"
97,0.975,7,2025-05-03,77,"08",1,"0-130"
100.45,0.99,7,2025-05-03,77,"08",1,"0-130"
6.75,0.01,7,2025-05-03,77,"08",1,"0-64"
7.6,0.025,7,2025-05-03,77,"08",1,"0-64"
8.9,0.05,7,2025-05-03,77,"08",1,"0-64"
9.695,0.1,7,2025-05-03,77,"08",1,"0-64"
