"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
12.2,0.01,3,2025-05-03,77,"09",1,"0-130"
13,0.025,3,2025-05-03,77,"09",1,"0-130"
13.4,0.05,3,2025-05-03,77,"09",1,"0-130"
15,0.1,3,2025-05-03,77,"09",1,"0-130"
21.4,0.25,3,2025-05-03,77,"09",1,"0-130"
36.1,0.5,3,2025-05-03,77,"09",1,"0-130"
58.5,0.75,3,2025-05-03,77,"09",1,"0-130"
100.2,0.9,3,2025-05-03,77,"09",1,"0-130"
112.5,0.95,3,2025-05-03,77,"09",1,"0-130"
168.7,0.975,3,2025-05-03,77,"09",1,"0-130"
186.5,0.99,3,2025-05-03,77,"09",1,"0-130"
8.4,0.01,3,2025-05-03,77,"09",1,"0-64"
8.6,0.025,3,2025-05-03,77,"09",1,"0-64"
9.4,0.05,3,2025-05-03,77,"09",1,"0-64"
10.1,0.1,3,2025-05-03,77,"09",1,"0-64"
14.8,0.25,3,2025-05-03,77,"09",1,"0-64"
24.1,0.5,3,2025-05-03,77,"09",1,"0-64"
37.5,0.75,3,2025-05-03,77,"09",1,"0-64"
60.4,0.9,3,2025-05-03,77,"09",1,"0-64"
65.8,0.95,3,2025-05-03,77,"09",1,"0-64"
99.4,0.975,3,2025-05-03,77,"09",1,"0-64"
110.1,0.99,3,2025-05-03,77,"09",1,"0-64"
3.6,0.01,3,2025-05-03,77,"09",1,"65-130"
4,0.025,3,2025-05-03,77,"09",1,"65-130"
4.2,0.05,3,2025-05-03,77,"09",1,"65-130"
4.6,0.1,3,2025-05-03,77,"09",1,"65-130"
6.8,0.25,3,2025-05-03,77,"09",1,"65-130"
12.2,0.5,3,2025-05-03,77,"09",1,"65-130"
21.1,0.75,3,2025-05-03,77,"09",1,"65-130"
40.8,0.9,3,2025-05-03,77,"09",1,"65-130"
46.5,0.95,3,2025-05-03,77,"09",1,"65-130"
69.7,0.975,3,2025-05-03,77,"09",1,"65-130"
74.6,0.99,3,2025-05-03,77,"09",1,"65-130"
52.7,0.01,6,2025-05-03,77,"09",1,"0-130"
56.9,0.025,6,2025-05-03,77,"09",1,"0-130"
59.6,0.05,6,2025-05-03,77,"09",1,"0-130"
62.3,0.1,6,2025-05-03,77,"09",1,"0-130"
167.2,0.25,6,2025-05-03,77,"09",1,"0-130"
252.1,0.5,6,2025-05-03,77,"09",1,"0-130"
354.8,0.75,6,2025-05-03,77,"09",1,"0-130"
433.5,0.9,6,2025-05-03,77,"09",1,"0-130"
462.5,0.95,6,2025-05-03,77,"09",1,"0-130"
527.5,0.975,6,2025-05-03,77,"09",1,"0-130"
555,0.99,6,2025-05-03,77,"09",1,"0-130"
25.9,0.01,6,2025-05-03,77,"09",1,"0-64"
28,0.025,6,2025-05-03,77,"09",1,"0-64"
29.3,0.05,6,2025-05-03,77,"09",1,"0-64"
30.7,0.1,6,2025-05-03,77,"09",1,"0-64"
82.3,0.25,6,2025-05-03,77,"09",1,"0-64"
124,0.5,6,2025-05-03,77,"09",1,"0-64"
174.5,0.75,6,2025-05-03,77,"09",1,"0-64"
213.2,0.9,6,2025-05-03,77,"09",1,"0-64"
227.5,0.95,6,2025-05-03,77,"09",1,"0-64"
259.5,0.975,6,2025-05-03,77,"09",1,"0-64"
273,0.99,6,2025-05-03,77,"09",1,"0-64"
26.8,0.01,6,2025-05-03,77,"09",1,"65-130"
28.9,0.025,6,2025-05-03,77,"09",1,"65-130"
30.3,0.05,6,2025-05-03,77,"09",1,"65-130"
31.7,0.1,6,2025-05-03,77,"09",1,"65-130"
84.9,0.25,6,2025-05-03,77,"09",1,"65-130"
128.1,0.5,6,2025-05-03,77,"09",1,"65-130"
180.2,0.75,6,2025-05-03,77,"09",1,"65-130"
220.2,0.9,6,2025-05-03,77,"09",1,"65-130"
235,0.95,6,2025-05-03,77,"09",1,"65-130"
268,0.975,6,2025-05-03,77,"09",1,"65-130"
281.9,0.99,6,2025-05-03,77,"09",1,"65-130"
30.936,0.01,7,2025-05-03,77,"09",1,"0-130"
31.46125,0.025,7,2025-05-03,77,"09",1,"0-130"
32.63,0.05,7,2025-05-03,77,"09",1,"0-130"
34.55,0.1,7,2025-05-03,77,"09",1,"0-130"
38.375,0.25,7,2025-05-03,77,"09",1,"0-130"
47.575,0.5,7,2025-05-03,77,"09",1,"0-130"
67.9,0.75,7,2025-05-03,77,"09",1,"0-130"
89.53,0.9,7,2025-05-03,77,"09",1,"0-130"
103.265,0.95,7,2025-05-03,77,"09",1,"0-130"
112.305,0.975,7,2025-05-03,77,"09",1,"0-130"
121.54,0.99,7,2025-05-03,77,"09",1,"0-130"
8.7495,0.01,7,2025-05-03,77,"09",1,"0-64"
8.85,0.025,7,2025-05-03,77,"09",1,"0-64"
9.2975,0.05,7,2025-05-03,77,"09",1,"0-64"
