"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
53.3,0.01,3,2025-05-03,77,"17",1,"0-130"
56.6,0.025,3,2025-05-03,77,"17",1,"0-130"
58.3,0.05,3,2025-05-03,77,"17",1,"0-130"
65.8,0.1,3,2025-05-03,77,"17",1,"0-130"
73.3,0.25,3,2025-05-03,77,"17",1,"0-130"
138.3,0.5,3,2025-05-03,77,"17",1,"0-130"
352.7,0.75,3,2025-05-03,77,"17",1,"0-130"
430.8,0.9,3,2025-05-03,77,"17",1,"0-130"
607.4,0.95,3,2025-05-03,77,"17",1,"0-130"
692.7,0.975,3,2025-05-03,77,"17",1,"0-130"
701.6,0.99,3,2025-05-03,77,"17",1,"0-130"
36.4,0.01,3,2025-05-03,77,"17",1,"0-64"
40.5,0.025,3,2025-05-03,77,"17",1,"0-64"
42.3,0.05,3,2025-05-03,77,"17",1,"0-64"
46.6,0.1,3,2025-05-03,77,"17",1,"0-64"
53.1,0.25,3,2025-05-03,77,"17",1,"0-64"
97.7,0.5,3,2025-05-03,77,"17",1,"0-64"
222.6,0.75,3,2025-05-03,77,"17",1,"0-64"
264.1,0.9,3,2025-05-03,77,"17",1,"0-64"
372.4,0.95,3,2025-05-03,77,"17",1,"0-64"
426.2,0.975,3,2025-05-03,77,"17",1,"0-64"
433.6,0.99,3,2025-05-03,77,"17",1,"0-64"
16,0.01,3,2025-05-03,77,"17",1,"65-130"
16.1,0.025,3,2025-05-03,77,"17",1,"65-130"
16.6,0.05,3,2025-05-03,77,"17",1,"65-130"
18.2,0.1,3,2025-05-03,77,"17",1,"65-130"
20.4,0.25,3,2025-05-03,77,"17",1,"65-130"
41.7,0.5,3,2025-05-03,77,"17",1,"65-130"
130.8,0.75,3,2025-05-03,77,"17",1,"65-130"
166.7,0.9,3,2025-05-03,77,"17",1,"65-130"
238,0.95,3,2025-05-03,77,"17",1,"65-130"
260,0.975,3,2025-05-03,77,"17",1,"65-130"
271.6,0.99,3,2025-05-03,77,"17",1,"65-130"
56.3,0.01,6,2025-05-03,77,"17",1,"0-130"
57.7,0.025,6,2025-05-03,77,"17",1,"0-130"
60.3,0.05,6,2025-05-03,77,"17",1,"0-130"
68.7,0.1,6,2025-05-03,77,"17",1,"0-130"
92.2,0.25,6,2025-05-03,77,"17",1,"0-130"
158.9,0.5,6,2025-05-03,77,"17",1,"0-130"
237.6,0.75,6,2025-05-03,77,"17",1,"0-130"
271.7,0.9,6,2025-05-03,77,"17",1,"0-130"
277.4,0.95,6,2025-05-03,77,"17",1,"0-130"
284.4,0.975,6,2025-05-03,77,"17",1,"0-130"
287.5,0.99,6,2025-05-03,77,"17",1,"0-130"
28.5,0.01,6,2025-05-03,77,"17",1,"0-64"
29.2,0.025,6,2025-05-03,77,"17",1,"0-64"
30.5,0.05,6,2025-05-03,77,"17",1,"0-64"
34.8,0.1,6,2025-05-03,77,"17",1,"0-64"
46.7,0.25,6,2025-05-03,77,"17",1,"0-64"
80.4,0.5,6,2025-05-03,77,"17",1,"0-64"
120.3,0.75,6,2025-05-03,77,"17",1,"0-64"
137.6,0.9,6,2025-05-03,77,"17",1,"0-64"
140.4,0.95,6,2025-05-03,77,"17",1,"0-64"
144,0.975,6,2025-05-03,77,"17",1,"0-64"
145.6,0.99,6,2025-05-03,77,"17",1,"0-64"
27.8,0.01,6,2025-05-03,77,"17",1,"65-130"
28.5,0.025,6,2025-05-03,77,"17",1,"65-130"
29.8,0.05,6,2025-05-03,77,"17",1,"65-130"
33.9,0.1,6,2025-05-03,77,"17",1,"65-130"
45.5,0.25,6,2025-05-03,77,"17",1,"65-130"
78.4,0.5,6,2025-05-03,77,"17",1,"65-130"
117.3,0.75,6,2025-05-03,77,"17",1,"65-130"
134.2,0.9,6,2025-05-03,77,"17",1,"65-130"
137,0.95,6,2025-05-03,77,"17",1,"65-130"
140.4,0.975,6,2025-05-03,77,"17",1,"65-130"
141.9,0.99,6,2025-05-03,77,"17",1,"65-130"
74.033,0.01,7,2025-05-03,77,"17",1,"0-130"
75.39375,0.025,7,2025-05-03,77,"17",1,"0-130"
83.1275,0.05,7,2025-05-03,77,"17",1,"0-130"
93.55,0.1,7,2025-05-03,77,"17",1,"0-130"
143.05,0.25,7,2025-05-03,77,"17",1,"0-130"
220.15,0.5,7,2025-05-03,77,"17",1,"0-130"
269.25,0.75,7,2025-05-03,77,"17",1,"0-130"
282.05,0.9,7,2025-05-03,77,"17",1,"0-130"
290.025,0.95,7,2025-05-03,77,"17",1,"0-130"
296,0.975,7,2025-05-03,77,"17",1,"0-130"
299,0.99,7,2025-05-03,77,"17",1,"0-130"
33.5495,0.01,7,2025-05-03,77,"17",1,"0-64"
35.7475,0.025,7,2025-05-03,77,"17",1,"0-64"
36.7,0.05,7,2025-05-03,77,"17",1,"0-64"
40.7,0.1,7,2025-05-03,77,"17",1,"0-64"
56.675,0.25,7,2025-05-03,77,"17",1,"0-64"
80.45,0.5,7,2025-05-03,77,"17",1,"0-64"
94,0.75,7,2025-05-03,77,"17",1,"0-64"
109.09,0.9,7,2025-05-03,77,"17",1,"0-64"
123.71,0.95,7,2025-05-03,77,"17",1,"0-64"
129.5,0.975,7,2025-05-03,77,"17",1,"0-64"
132.8,0.99,7,2025-05-03,77,"17",1,"0-64"
46.1265,0.01,7,2025-05-03,77,"17",1,"65-130"
48.80875,0.025,7,2025-05-03,77,"17",1,"65-130"
56.66,0.05,7,2025-05-03,77,"17",1,"65-130"
64.35,0.1,7,2025-05-03,77,"17",1,"65-130"
91.175,0.25,7,2025-05-03,77,"17",1,"65-130"
141.3,0.5,7,2025-05-03,77,"17",1,"65-130"
167.375,0.75,7,2025-05-03,77,"17",1,"65-130"
178.71,0.9,7,2025-05-03,77,"17",1,"65-130"
197.3775,0.95,7,2025-05-03,77,"17",1,"65-130"
202.05,0.975,7,2025-05-03,77,"17",1,"65-130"
206.416,0.99,7,2025-05-03,77,"17",1,"65-130"
55.6885803136,0.01,12,2025-05-03,77,"17",1,"0-130"
60.2833765986,0.025,12,2025-05-03,77,"17",1,"0-130"
74.5085363784,0.05,12,2025-05-03,77,"17",1,"0-130"
95.6148463448,0.1,12,2025-05-03,77,"17",1,"0-130"
147.1922719228,0.25,12,2025-05-03,77,"17",1,"0-130"
224.9876129137,0.5,12,2025-05-03,77,"17",1,"0-130"
263.6267600716,0.75,12,2025-05-03,77,"17",1,"0-130"
293.5868713462,0.9,12,2025-05-03,77,"17",1,"0-130"
376.6722308892,0.95,12,2025-05-03,77,"17",1,"0-130"
456.469118043,0.975,12,2025-05-03,77,"17",1,"0-130"
601.8050857796,0.99,12,2025-05-03,77,"17",1,"0-130"
24.328,0.01,12,2025-05-03,77,"17",1,"0-64"
30.7303486609,0.025,12,2025-05-03,77,"17",1,"0-64"
31.9804338566,0.05,12,2025-05-03,77,"17",1,"0-64"
41.5605565134,0.1,12,2025-05-03,77,"17",1,"0-64"
59.6665763791,0.25,12,2025-05-03,77,"17",1,"0-64"
78.7858810642,0.5,12,2025-05-03,77,"17",1,"0-64"
98.4634293565,0.75,12,2025-05-03,77,"17",1,"0-64"
132.8740911486,0.9,12,2025-05-03,77,"17",1,"0-64"
164.5551379661,0.95,12,2025-05-03,77,"17",1,"0-64"
214.24,0.975,12,2025-05-03,77,"17",1,"0-64"
258.386,0.99,12,2025-05-03,77,"17",1,"0-64"
27.2405455508,0.01,12,2025-05-03,77,"17",1,"65-130"
31.6591703814,0.025,12,2025-05-03,77,"17",1,"65-130"
39.5812439316,0.05,12,2025-05-03,77,"17",1,"65-130"
56.1959229526,0.1,12,2025-05-03,77,"17",1,"65-130"
74.9327374679,0.25,12,2025-05-03,77,"17",1,"65-130"
137.1977432598,0.5,12,2025-05-03,77,"17",1,"65-130"
165.8757137373,0.75,12,2025-05-03,77,"17",1,"65-130"
195.9358696236,0.9,12,2025-05-03,77,"17",1,"65-130"
219.301222186,0.95,12,2025-05-03,77,"17",1,"65-130"
260.8982576898,0.975,12,2025-05-03,77,"17",1,"65-130"
320.356,0.99,12,2025-05-03,77,"17",1,"65-130"
50.6777914532,0.01,15,2025-05-03,77,"17",1,"0-130"
59.1051922107,0.025,15,2025-05-03,77,"17",1,"0-130"
67.9115304518,0.05,15,2025-05-03,77,"17",1,"0-130"
91.8974048896,0.1,15,2025-05-03,77,"17",1,"0-130"
117.5258979778,0.25,15,2025-05-03,77,"17",1,"0-130"
220.9079749425,0.5,15,2025-05-03,77,"17",1,"0-130"
262.7504352319,0.75,15,2025-05-03,77,"17",1,"0-130"
332.9695665511,0.9,15,2025-05-03,77,"17",1,"0-130"
422.1111547846,0.95,15,2025-05-03,77,"17",1,"0-130"
537.2952743702,0.975,15,2025-05-03,77,"17",1,"0-130"
654.1238103448,0.99,15,2025-05-03,77,"17",1,"0-130"
18.5889455388,0.01,15,2025-05-03,77,"17",1,"0-64"
28.3125013303,0.025,15,2025-05-03,77,"17",1,"0-64"
31.6402596433,0.05,15,2025-05-03,77,"17",1,"0-64"
34.6597065333,0.1,15,2025-05-03,77,"17",1,"0-64"
49.7191784107,0.25,15,2025-05-03,77,"17",1,"0-64"
76.9080423212,0.5,15,2025-05-03,77,"17",1,"0-64"
99.4524360926,0.75,15,2025-05-03,77,"17",1,"0-64"
140.7296015041,0.9,15,2025-05-03,77,"17",1,"0-64"
216.5795630563,0.95,15,2025-05-03,77,"17",1,"0-64"
251.5161896975,0.975,15,2025-05-03,77,"17",1,"0-64"
338.7265826594,0.99,15,2025-05-03,77,"17",1,"0-64"
16.8860763607,0.01,15,2025-05-03,77,"17",1,"65-130"
19.5119808307,0.025,15,2025-05-03,77,"17",1,"65-130"
28.7765562143,0.05,15,2025-05-03,77,"17",1,"65-130"
40.3128653086,0.1,15,2025-05-03,77,"17",1,"65-130"
72.5972144578,0.25,15,2025-05-03,77,"17",1,"65-130"
136.5089946098,0.5,15,2025-05-03,77,"17",1,"65-130"
166.844551291,0.75,15,2025-05-03,77,"17",1,"65-130"
202.5591526293,0.9,15,2025-05-03,77,"17",1,"65-130"
245.6124506264,0.95,15,2025-05-03,77,"17",1,"65-130"
297.3403354407,0.975,15,2025-05-03,77,"17",1,"65-130"
358.8703587244,0.99,15,2025-05-03,77,"17",1,"65-130"
187,0.01,29,2025-05-03,77,"17",1,"0-130"
190,0.025,29,2025-05-03,77,"17",1,"0-130"
199,0.05,29,2025-05-03,77,"17",1,"0-130"
208,0.1,29,2025-05-03,77,"17",1,"0-130"
221,0.25,29,2025-05-03,77,"17",1,"0-130"
240,0.5,29,2025-05-03,77,"17",1,"0-130"
260,0.75,29,2025-05-03,77,"17",1,"0-130"
277,0.9,29,2025-05-03,77,"17",1,"0-130"
289,0.95,29,2025-05-03,77,"17",1,"0-130"
299,0.975,29,2025-05-03,77,"17",1,"0-130"
304,0.99,29,2025-05-03,77,"17",1,"0-130"
63,0.01,29,2025-05-03,77,"17",1,"0-64"
65,0.025,29,2025-05-03,77,"17",1,"0-64"
68,0.05,29,2025-05-03,77,"17",1,"0-64"
72,0.1,29,2025-05-03,77,"17",1,"0-64"
80,0.25,29,2025-05-03,77,"17",1,"0-64"
89,0.5,29,2025-05-03,77,"17",1,"0-64"
98,0.75,29,2025-05-03,77,"17",1,"0-64"
106,0.9,29,2025-05-03,77,"17",1,"0-64"
111,0.95,29,2025-05-03,77,"17",1,"0-64"
115,0.975,29,2025-05-03,77,"17",1,"0-64"
120,0.99,29,2025-05-03,77,"17",1,"0-64"
