"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
27.4,0.01,3,2025-05-03,77,"18",1,"0-130"
30.8,0.025,3,2025-05-03,77,"18",1,"0-130"
31.7,0.05,3,2025-05-03,77,"18",1,"0-130"
33.6,0.1,3,2025-05-03,77,"18",1,"0-130"
38.8,0.25,3,2025-05-03,77,"18",1,"0-130"
68.7,0.5,3,2025-05-03,77,"18",1,"0-130"
161.9,0.75,3,2025-05-03,77,"18",1,"0-130"
244.9,0.9,3,2025-05-03,77,"18",1,"0-130"
281.4,0.95,3,2025-05-03,77,"18",1,"0-130"
306.3,0.975,3,2025-05-03,77,"18",1,"0-130"
333.7,0.99,3,2025-05-03,77,"18",1,"0-130"
19.4,0.01,3,2025-05-03,77,"18",1,"0-64"
21.7,0.025,3,2025-05-03,77,"18",1,"0-64"
22.8,0.05,3,2025-05-03,77,"18",1,"0-64"
24.1,0.1,3,2025-05-03,77,"18",1,"0-64"
28.1,0.25,3,2025-05-03,77,"18",1,"0-64"
49.5,0.5,3,2025-05-03,77,"18",1,"0-64"
103.8,0.75,3,2025-05-03,77,"18",1,"0-64"
154.1,0.9,3,2025-05-03,77,"18",1,"0-64"
174.3,0.95,3,2025-05-03,77,"18",1,"0-64"
187.6,0.975,3,2025-05-03,77,"18",1,"0-64"
206.5,0.99,3,2025-05-03,77,"18",1,"0-64"
8.1,0.01,3,2025-05-03,77,"18",1,"65-130"
8.2,0.025,3,2025-05-03,77,"18",1,"65-130"
8.9,0.05,3,2025-05-03,77,"18",1,"65-130"
9.3,0.1,3,2025-05-03,77,"18",1,"65-130"
10.7,0.25,3,2025-05-03,77,"18",1,"65-130"
20.7,0.5,3,2025-05-03,77,"18",1,"65-130"
59.2,0.75,3,2025-05-03,77,"18",1,"65-130"
94.2,0.9,3,2025-05-03,77,"18",1,"65-130"
106.2,0.95,3,2025-05-03,77,"18",1,"65-130"
116.6,0.975,3,2025-05-03,77,"18",1,"65-130"
127.1,0.99,3,2025-05-03,77,"18",1,"65-130"
16.2,0.01,6,2025-05-03,77,"18",1,"0-130"
18.5,0.025,6,2025-05-03,77,"18",1,"0-130"
22.2,0.05,6,2025-05-03,77,"18",1,"0-130"
26,0.1,6,2025-05-03,77,"18",1,"0-130"
31.4,0.25,6,2025-05-03,77,"18",1,"0-130"
36.7,0.5,6,2025-05-03,77,"18",1,"0-130"
41.9,0.75,6,2025-05-03,77,"18",1,"0-130"
48,0.9,6,2025-05-03,77,"18",1,"0-130"
52.7,0.95,6,2025-05-03,77,"18",1,"0-130"
57.7,0.975,6,2025-05-03,77,"18",1,"0-130"
62,0.99,6,2025-05-03,77,"18",1,"0-130"
8,0.01,6,2025-05-03,77,"18",1,"0-64"
9.1,0.025,6,2025-05-03,77,"18",1,"0-64"
11,0.05,6,2025-05-03,77,"18",1,"0-64"
12.9,0.1,6,2025-05-03,77,"18",1,"0-64"
15.5,0.25,6,2025-05-03,77,"18",1,"0-64"
18.2,0.5,6,2025-05-03,77,"18",1,"0-64"
20.7,0.75,6,2025-05-03,77,"18",1,"0-64"
23.8,0.9,6,2025-05-03,77,"18",1,"0-64"
26.1,0.95,6,2025-05-03,77,"18",1,"0-64"
28.6,0.975,6,2025-05-03,77,"18",1,"0-64"
30.7,0.99,6,2025-05-03,77,"18",1,"0-64"
8.2,0.01,6,2025-05-03,77,"18",1,"65-130"
9.3,0.025,6,2025-05-03,77,"18",1,"65-130"
11.2,0.05,6,2025-05-03,77,"18",1,"65-130"
13.1,0.1,6,2025-05-03,77,"18",1,"65-130"
15.8,0.25,6,2025-05-03,77,"18",1,"65-130"
18.5,0.5,6,2025-05-03,77,"18",1,"65-130"
21.1,0.75,6,2025-05-03,77,"18",1,"65-130"
24.2,0.9,6,2025-05-03,77,"18",1,"65-130"
26.6,0.95,6,2025-05-03,77,"18",1,"65-130"
29.1,0.975,6,2025-05-03,77,"18",1,"65-130"
31.3,0.99,6,2025-05-03,77,"18",1,"65-130"
37.74,0.01,7,2025-05-03,77,"18",1,"0-130"
43.0225,0.025,7,2025-05-03,77,"18",1,"0-130"
46.095,0.05,7,2025-05-03,77,"18",1,"0-130"
57.295,0.1,7,2025-05-03,77,"18",1,"0-130"
81.6,0.25,7,2025-05-03,77,"18",1,"0-130"
105.25,0.5,7,2025-05-03,77,"18",1,"0-130"
129.225,0.75,7,2025-05-03,77,"18",1,"0-130"
