"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
19.9,0.01,3,2025-05-03,77,"21",1,"0-130"
21.9,0.025,3,2025-05-03,77,"21",1,"0-130"
22.2,0.05,3,2025-05-03,77,"21",1,"0-130"
24,0.1,3,2025-05-03,77,"21",1,"0-130"
28.5,0.25,3,2025-05-03,77,"21",1,"0-130"
56.3,0.5,3,2025-05-03,77,"21",1,"0-130"
105.3,0.75,3,2025-05-03,77,"21",1,"0-130"
167.1,0.9,3,2025-05-03,77,"21",1,"0-130"
176.9,0.95,3,2025-05-03,77,"21",1,"0-130"
194.8,0.975,3,2025-05-03,77,"21",1,"0-130"
218.7,0.99,3,2025-05-03,77,"21",1,"0-130"
13.7,0.01,3,2025-05-03,77,"21",1,"0-64"
15.5,0.025,3,2025-05-03,77,"21",1,"0-64"
16.4,0.05,3,2025-05-03,77,"21",1,"0-64"
17.3,0.1,3,2025-05-03,77,"21",1,"0-64"
20.5,0.25,3,2025-05-03,77,"21",1,"0-64"
39.5,0.5,3,2025-05-03,77,"21",1,"0-64"
67.1,0.75,3,2025-05-03,77,"21",1,"0-64"
102.9,0.9,3,2025-05-03,77,"21",1,"0-64"
109.9,0.95,3,2025-05-03,77,"21",1,"0-64"
117.3,0.975,3,2025-05-03,77,"21",1,"0-64"
137,0.99,3,2025-05-03,77,"21",1,"0-64"
5.7,0.01,3,2025-05-03,77,"21",1,"65-130"
6.1,0.025,3,2025-05-03,77,"21",1,"65-130"
6.3,0.05,3,2025-05-03,77,"21",1,"65-130"
6.7,0.1,3,2025-05-03,77,"21",1,"65-130"
7.8,0.25,3,2025-05-03,77,"21",1,"65-130"
16.6,0.5,3,2025-05-03,77,"21",1,"65-130"
38.9,0.75,3,2025-05-03,77,"21",1,"65-130"
64.7,0.9,3,2025-05-03,77,"21",1,"65-130"
69.1,0.95,3,2025-05-03,77,"21",1,"65-130"
77.2,0.975,3,2025-05-03,77,"21",1,"65-130"
81.8,0.99,3,2025-05-03,77,"21",1,"65-130"
14.6,0.01,6,2025-05-03,77,"21",1,"0-130"
15.3,0.025,6,2025-05-03,77,"21",1,"0-130"
16.6,0.05,6,2025-05-03,77,"21",1,"0-130"
17.6,0.1,6,2025-05-03,77,"21",1,"0-130"
40.9,0.25,6,2025-05-03,77,"21",1,"0-130"
62.9,0.5,6,2025-05-03,77,"21",1,"0-130"
71.2,0.75,6,2025-05-03,77,"21",1,"0-130"
77.4,0.9,6,2025-05-03,77,"21",1,"0-130"
81.4,0.95,6,2025-05-03,77,"21",1,"0-130"
81.7,0.975,6,2025-05-03,77,"21",1,"0-130"
84.9,0.99,6,2025-05-03,77,"21",1,"0-130"
7.1,0.01,6,2025-05-03,77,"21",1,"0-64"
7.4,0.025,6,2025-05-03,77,"21",1,"0-64"
8.1,0.05,6,2025-05-03,77,"21",1,"0-64"
8.6,0.1,6,2025-05-03,77,"21",1,"0-64"
20,0.25,6,2025-05-03,77,"21",1,"0-64"
30.7,0.5,6,2025-05-03,77,"21",1,"0-64"
34.7,0.75,6,2025-05-03,77,"21",1,"0-64"
37.8,0.9,6,2025-05-03,77,"21",1,"0-64"
39.7,0.95,6,2025-05-03,77,"21",1,"0-64"
39.9,0.975,6,2025-05-03,77,"21",1,"0-64"
41.4,0.99,6,2025-05-03,77,"21",1,"0-64"
7.5,0.01,6,2025-05-03,77,"21",1,"65-130"
7.8,0.025,6,2025-05-03,77,"21",1,"65-130"
8.5,0.05,6,2025-05-03,77,"21",1,"65-130"
9,0.1,6,2025-05-03,77,"21",1,"65-130"
21,0.25,6,2025-05-03,77,"21",1,"65-130"
32.2,0.5,6,2025-05-03,77,"21",1,"65-130"
36.5,0.75,6,2025-05-03,77,"21",1,"65-130"
