"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
43.9,0.01,3,2025-05-03,77,"22",1,"0-130"
50.9,0.025,3,2025-05-03,77,"22",1,"0-130"
52.3,0.05,3,2025-05-03,77,"22",1,"0-130"
61.8,0.1,3,2025-05-03,77,"22",1,"0-130"
71.8,0.25,3,2025-05-03,77,"22",1,"0-130"
85.5,0.5,3,2025-05-03,77,"22",1,"0-130"
122.2,0.75,3,2025-05-03,77,"22",1,"0-130"
156.7,0.9,3,2025-05-03,77,"22",1,"0-130"
174.8,0.95,3,2025-05-03,77,"22",1,"0-130"
188.4,0.975,3,2025-05-03,77,"22",1,"0-130"
200,0.99,3,2025-05-03,77,"22",1,"0-130"
28.7,0.01,3,2025-05-03,77,"22",1,"0-64"
33.4,0.025,3,2025-05-03,77,"22",1,"0-64"
34.4,0.05,3,2025-05-03,77,"22",1,"0-64"
40.5,0.1,3,2025-05-03,77,"22",1,"0-64"
46.6,0.25,3,2025-05-03,77,"22",1,"0-64"
54.6,0.5,3,2025-05-03,77,"22",1,"0-64"
75.7,0.75,3,2025-05-03,77,"22",1,"0-64"
96.9,0.9,3,2025-05-03,77,"22",1,"0-64"
107.9,0.95,3,2025-05-03,77,"22",1,"0-64"
116.2,0.975,3,2025-05-03,77,"22",1,"0-64"
122.6,0.99,3,2025-05-03,77,"22",1,"0-64"
15.1,0.01,3,2025-05-03,77,"22",1,"65-130"
17.5,0.025,3,2025-05-03,77,"22",1,"65-130"
17.8,0.05,3,2025-05-03,77,"22",1,"65-130"
21.2,0.1,3,2025-05-03,77,"22",1,"65-130"
24.7,0.25,3,2025-05-03,77,"22",1,"65-130"
30.3,0.5,3,2025-05-03,77,"22",1,"65-130"
44.5,0.75,3,2025-05-03,77,"22",1,"65-130"
60.2,0.9,3,2025-05-03,77,"22",1,"65-130"
66,0.95,3,2025-05-03,77,"22",1,"65-130"
71.8,0.975,3,2025-05-03,77,"22",1,"65-130"
77.4,0.99,3,2025-05-03,77,"22",1,"65-130"
15.8,0.01,6,2025-05-03,77,"22",1,"0-130"
19.1,0.025,6,2025-05-03,77,"22",1,"0-130"
19.8,0.05,6,2025-05-03,77,"22",1,"0-130"
21.2,0.1,6,2025-05-03,77,"22",1,"0-130"
