"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
8,0.01,3,2025-05-03,77,"27",1,"0-130"
8.7,0.025,3,2025-05-03,77,"27",1,"0-130"
9.2,0.05,3,2025-05-03,77,"27",1,"0-130"
9.9,0.1,3,2025-05-03,77,"27",1,"0-130"
14.4,0.25,3,2025-05-03,77,"27",1,"0-130"
38.7,0.5,3,2025-05-03,77,"27",1,"0-130"
94.2,0.75,3,2025-05-03,77,"27",1,"0-130"
185.1,0.9,3,2025-05-03,77,"27",1,"0-130"
219.2,0.95,3,2025-05-03,77,"27",1,"0-130"
249,0.975,3,2025-05-03,77,"27",1,"0-130"
271,0.99,3,2025-05-03,77,"27",1,"0-130"
5.6,0.01,3,2025-05-03,77,"27",1,"0-64"
6.2,0.025,3,2025-05-03,77,"27",1,"0-64"
6.3,0.05,3,2025-05-03,77,"27",1,"0-64"
6.7,0.1,3,2025-05-03,77,"27",1,"0-64"
9.7,0.25,3,2025-05-03,77,"27",1,"0-64"
24.7,0.5,3,2025-05-03,77,"27",1,"0-64"
58.7,0.75,3,2025-05-03,77,"27",1,"0-64"
109.5,0.9,3,2025-05-03,77,"27",1,"0-64"
132.9,0.95,3,2025-05-03,77,"27",1,"0-64"
151.8,0.975,3,2025-05-03,77,"27",1,"0-64"
164.1,0.99,3,2025-05-03,77,"27",1,"0-64"
2.3,0.01,3,2025-05-03,77,"27",1,"65-130"
2.5,0.025,3,2025-05-03,77,"27",1,"65-130"
2.7,0.05,3,2025-05-03,77,"27",1,"65-130"
3.1,0.1,3,2025-05-03,77,"27",1,"65-130"
4.8,0.25,3,2025-05-03,77,"27",1,"65-130"
13.7,0.5,3,2025-05-03,77,"27",1,"65-130"
36.1,0.75,3,2025-05-03,77,"27",1,"65-130"
71.8,0.9,3,2025-05-03,77,"27",1,"65-130"
86.4,0.95,3,2025-05-03,77,"27",1,"65-130"
98,0.975,3,2025-05-03,77,"27",1,"65-130"
110.3,0.99,3,2025-05-03,77,"27",1,"65-130"
26.7,0.01,6,2025-05-03,77,"27",1,"0-130"
27.2,0.025,6,2025-05-03,77,"27",1,"0-130"
28.2,0.05,6,2025-05-03,77,"27",1,"0-130"
30.1,0.1,6,2025-05-03,77,"27",1,"0-130"
34,0.25,6,2025-05-03,77,"27",1,"0-130"
48.4,0.5,6,2025-05-03,77,"27",1,"0-130"
58.7,0.75,6,2025-05-03,77,"27",1,"0-130"
69.9,0.9,6,2025-05-03,77,"27",1,"0-130"
86.3,0.95,6,2025-05-03,77,"27",1,"0-130"
90.1,0.975,6,2025-05-03,77,"27",1,"0-130"
97.8,0.99,6,2025-05-03,77,"27",1,"0-130"
13.6,0.01,6,2025-05-03,77,"27",1,"0-64"
13.8,0.025,6,2025-05-03,77,"27",1,"0-64"
14.3,0.05,6,2025-05-03,77,"27",1,"0-64"
15.3,0.1,6,2025-05-03,77,"27",1,"0-64"
17.3,0.25,6,2025-05-03,77,"27",1,"0-64"
24.5,0.5,6,2025-05-03,77,"27",1,"0-64"
29.8,0.75,6,2025-05-03,77,"27",1,"0-64"
35.5,0.9,6,2025-05-03,77,"27",1,"0-64"
43.8,0.95,6,2025-05-03,77,"27",1,"0-64"
