"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
8.5,0.01,3,2025-05-03,77,"31",1,"0-130"
9,0.025,3,2025-05-03,77,"31",1,"0-130"
9.9,0.05,3,2025-05-03,77,"31",1,"0-130"
10.9,0.1,3,2025-05-03,77,"31",1,"0-130"
14.8,0.25,3,2025-05-03,77,"31",1,"0-130"
19.7,0.5,3,2025-05-03,77,"31",1,"0-130"
30.4,0.75,3,2025-05-03,77,"31",1,"0-130"
41.9,0.9,3,2025-05-03,77,"31",1,"0-130"
45.2,0.95,3,2025-05-03,77,"31",1,"0-130"
48.1,0.975,3,2025-05-03,77,"31",1,"0-130"
62.3,0.99,3,2025-05-03,77,"31",1,"0-130"
6.2,0.01,3,2025-05-03,77,"31",1,"0-64"
6.4,0.025,3,2025-05-03,77,"31",1,"0-64"
6.9,0.05,3,2025-05-03,77,"31",1,"0-64"
7.9,0.1,3,2025-05-03,77,"31",1,"0-64"
10.6,0.25,3,2025-05-03,77,"31",1,"0-64"
14.1,0.5,3,2025-05-03,77,"31",1,"0-64"
21.1,0.75,3,2025-05-03,77,"31",1,"0-64"
26.8,0.9,3,2025-05-03,77,"31",1,"0-64"
29.3,0.95,3,2025-05-03,77,"31",1,"0-64"
32.8,0.975,3,2025-05-03,77,"31",1,"0-64"
37.8,0.99,3,2025-05-03,77,"31",1,"0-64"
2.3,0.01,3,2025-05-03,77,"31",1,"65-130"
2.5,0.025,3,2025-05-03,77,"31",1,"65-130"
2.9,0.05,3,2025-05-03,77,"31",1,"65-130"
3.2,0.1,3,2025-05-03,77,"31",1,"65-130"
4.4,0.25,3,2025-05-03,77,"31",1,"65-130"
5.8,0.5,3,2025-05-03,77,"31",1,"65-130"
9.7,0.75,3,2025-05-03,77,"31",1,"65-130"
14.4,0.9,3,2025-05-03,77,"31",1,"65-130"
16.8,0.95,3,2025-05-03,77,"31",1,"65-130"
18.4,0.975,3,2025-05-03,77,"31",1,"65-130"
24.2,0.99,3,2025-05-03,77,"31",1,"65-130"
4.6,0.01,6,2025-05-03,77,"31",1,"0-130"
5.2,0.025,6,2025-05-03,77,"31",1,"0-130"
5.5,0.05,6,2025-05-03,77,"31",1,"0-130"
5.9,0.1,6,2025-05-03,77,"31",1,"0-130"
7.6,0.25,6,2025-05-03,77,"31",1,"0-130"
10.5,0.5,6,2025-05-03,77,"31",1,"0-130"
13.5,0.75,6,2025-05-03,77,"31",1,"0-130"
38.1,0.9,6,2025-05-03,77,"31",1,"0-130"
43,0.95,6,2025-05-03,77,"31",1,"0-130"
45.1,0.975,6,2025-05-03,77,"31",1,"0-130"
45.3,0.99,6,2025-05-03,77,"31",1,"0-130"
2.4,0.01,6,2025-05-03,77,"31",1,"0-64"
2.7,0.025,6,2025-05-03,77,"31",1,"0-64"
2.9,0.05,6,2025-05-03,77,"31",1,"0-64"
3.1,0.1,6,2025-05-03,77,"31",1,"0-64"
4,0.25,6,2025-05-03,77,"31",1,"0-64"
5.5,0.5,6,2025-05-03,77,"31",1,"0-64"
7.1,0.75,6,2025-05-03,77,"31",1,"0-64"
20,0.9,6,2025-05-03,77,"31",1,"0-64"
22.6,0.95,6,2025-05-03,77,"31",1,"0-64"
23.6,0.975,6,2025-05-03,77,"31",1,"0-64"
23.8,0.99,6,2025-05-03,77,"31",1,"0-64"
2.2,0.01,6,2025-05-03,77,"31",1,"65-130"
2.5,0.025,6,2025-05-03,77,"31",1,"65-130"
2.6,0.05,6,2025-05-03,77,"31",1,"65-130"
2.8,0.1,6,2025-05-03,77,"31",1,"65-130"
3.6,0.25,6,2025-05-03,77,"31",1,"65-130"
5,0.5,6,2025-05-03,77,"31",1,"65-130"
6.4,0.75,6,2025-05-03,77,"31",1,"65-130"
18.1,0.9,6,2025-05-03,77,"31",1,"65-130"
20.5,0.95,6,2025-05-03,77,"31",1,"65-130"
21.4,0.975,6,2025-05-03,77,"31",1,"65-130"
21.6,0.99,6,2025-05-03,77,"31",1,"65-130"
6.09,0.01,7,2025-05-03,77,"31",1,"0-130"
6.67125,0.025,7,2025-05-03,77,"31",1,"0-130"
7.09,0.05,7,2025-05-03,77,"31",1,"0-130"
7.93,0.1,7,2025-05-03,77,"31",1,"0-130"
12.8875,0.25,7,2025-05-03,77,"31",1,"0-130"
20.775,0.5,7,2025-05-03,77,"31",1,"0-130"
29.7,0.75,7,2025-05-03,77,"31",1,"0-130"
40,0.9,7,2025-05-03,77,"31",1,"0-130"
44.1,0.95,7,2025-05-03,77,"31",1,"0-130"
46.6,0.975,7,2025-05-03,77,"31",1,"0-130"
48.65,0.99,7,2025-05-03,77,"31",1,"0-130"
1.85,0.01,7,2025-05-03,77,"31",1,"0-64"
2,0.025,7,2025-05-03,77,"31",1,"0-64"
2.1,0.05,7,2025-05-03,77,"31",1,"0-64"
2.45,0.1,7,2025-05-03,77,"31",1,"0-64"
4.1,0.25,7,2025-05-03,77,"31",1,"0-64"
7.85,0.5,7,2025-05-03,77,"31",1,"0-64"
