"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
108.8,0.01,3,2025-05-03,77,"36",1,"0-130"
172.7,0.025,3,2025-05-03,77,"36",1,"0-130"
216.3,0.05,3,2025-05-03,77,"36",1,"0-130"
286.7,0.1,3,2025-05-03,77,"36",1,"0-130"
358.8,0.25,3,2025-05-03,77,"36",1,"0-130"
653.3,0.5,3,2025-05-03,77,"36",1,"0-130"
1034.6,0.75,3,2025-05-03,77,"36",1,"0-130"
1151.9,0.9,3,2025-05-03,77,"36",1,"0-130"
1204.7,0.95,3,2025-05-03,77,"36",1,"0-130"
1356.5,0.975,3,2025-05-03,77,"36",1,"0-130"
1505.9,0.99,3,2025-05-03,77,"36",1,"0-130"
76.2,0.01,3,2025-05-03,77,"36",1,"0-64"
119.9,0.025,3,2025-05-03,77,"36",1,"0-64"
147.8,0.05,3,2025-05-03,77,"36",1,"0-64"
193.6,0.1,3,2025-05-03,77,"36",1,"0-64"
238,0.25,3,2025-05-03,77,"36",1,"0-64"
411.2,0.5,3,2025-05-03,77,"36",1,"0-64"
632.3,0.75,3,2025-05-03,77,"36",1,"0-64"
697,0.9,3,2025-05-03,77,"36",1,"0-64"
743.5,0.95,3,2025-05-03,77,"36",1,"0-64"
818.9,0.975,3,2025-05-03,77,"36",1,"0-64"
906.5,0.99,3,2025-05-03,77,"36",1,"0-64"
33.1,0.01,3,2025-05-03,77,"36",1,"65-130"
52.5,0.025,3,2025-05-03,77,"36",1,"65-130"
71,0.05,3,2025-05-03,77,"36",1,"65-130"
94.7,0.1,3,2025-05-03,77,"36",1,"65-130"
120.5,0.25,3,2025-05-03,77,"36",1,"65-130"
251.1,0.5,3,2025-05-03,77,"36",1,"65-130"
399.8,0.75,3,2025-05-03,77,"36",1,"65-130"
453.6,0.9,3,2025-05-03,77,"36",1,"65-130"
459.4,0.95,3,2025-05-03,77,"36",1,"65-130"
540.6,0.975,3,2025-05-03,77,"36",1,"65-130"
600,0.99,3,2025-05-03,77,"36",1,"65-130"
327.1,0.01,6,2025-05-03,77,"36",1,"0-130"
333.9,0.025,6,2025-05-03,77,"36",1,"0-130"
342.7,0.05,6,2025-05-03,77,"36",1,"0-130"
371.3,0.1,6,2025-05-03,77,"36",1,"0-130"
415.1,0.25,6,2025-05-03,77,"36",1,"0-130"
510.1,0.5,6,2025-05-03,77,"36",1,"0-130"
670.2,0.75,6,2025-05-03,77,"36",1,"0-130"
745.9,0.9,6,2025-05-03,77,"36",1,"0-130"
805.5,0.95,6,2025-05-03,77,"36",1,"0-130"
829,0.975,6,2025-05-03,77,"36",1,"0-130"
835.4,0.99,6,2025-05-03,77,"36",1,"0-130"
162.8,0.01,6,2025-05-03,77,"36",1,"0-64"
166.2,0.025,6,2025-05-03,77,"36",1,"0-64"
170.5,0.05,6,2025-05-03,77,"36",1,"0-64"
184.8,0.1,6,2025-05-03,77,"36",1,"0-64"
206.6,0.25,6,2025-05-03,77,"36",1,"0-64"
253.9,0.5,6,2025-05-03,77,"36",1,"0-64"
333.5,0.75,6,2025-05-03,77,"36",1,"0-64"
371.2,0.9,6,2025-05-03,77,"36",1,"0-64"
400.9,0.95,6,2025-05-03,77,"36",1,"0-64"
412.6,0.975,6,2025-05-03,77,"36",1,"0-64"
415.8,0.99,6,2025-05-03,77,"36",1,"0-64"
164.3,0.01,6,2025-05-03,77,"36",1,"65-130"
167.7,0.025,6,2025-05-03,77,"36",1,"65-130"
172.1,0.05,6,2025-05-03,77,"36",1,"65-130"
186.5,0.1,6,2025-05-03,77,"36",1,"65-130"
208.5,0.25,6,2025-05-03,77,"36",1,"65-130"
256.2,0.5,6,2025-05-03,77,"36",1,"65-130"
336.6,0.75,6,2025-05-03,77,"36",1,"65-130"
374.7,0.9,6,2025-05-03,77,"36",1,"65-130"
404.6,0.95,6,2025-05-03,77,"36",1,"65-130"
416.4,0.975,6,2025-05-03,77,"36",1,"65-130"
419.6,0.99,6,2025-05-03,77,"36",1,"65-130"
309.3065,0.01,7,2025-05-03,77,"36",1,"0-130"
314.01375,0.025,7,2025-05-03,77,"36",1,"0-130"
320.8075,0.05,7,2025-05-03,77,"36",1,"0-130"
338.395,0.1,7,2025-05-03,77,"36",1,"0-130"
423.55,0.25,7,2025-05-03,77,"36",1,"0-130"
644.2,0.5,7,2025-05-03,77,"36",1,"0-130"
697.6,0.75,7,2025-05-03,77,"36",1,"0-130"
757,0.9,7,2025-05-03,77,"36",1,"0-130"
801.615,0.95,7,2025-05-03,77,"36",1,"0-130"
836.7625,0.975,7,2025-05-03,77,"36",1,"0-130"
840.235,0.99,7,2025-05-03,77,"36",1,"0-130"
122.4005,0.01,7,2025-05-03,77,"36",1,"0-64"
136.1625,0.025,7,2025-05-03,77,"36",1,"0-64"
155.4,0.05,7,2025-05-03,77,"36",1,"0-64"
182.3,0.1,7,2025-05-03,77,"36",1,"0-64"
197.075,0.25,7,2025-05-03,77,"36",1,"0-64"
246.2,0.5,7,2025-05-03,77,"36",1,"0-64"
276.625,0.75,7,2025-05-03,77,"36",1,"0-64"
291.7,0.9,7,2025-05-03,77,"36",1,"0-64"
302.55,0.95,7,2025-05-03,77,"36",1,"0-64"
314.8125,0.975,7,2025-05-03,77,"36",1,"0-64"
320.505,0.99,7,2025-05-03,77,"36",1,"0-64"
172.0675,0.01,7,2025-05-03,77,"36",1,"65-130"
176.90875,0.025,7,2025-05-03,77,"36",1,"65-130"
183.1675,0.05,7,2025-05-03,77,"36",1,"65-130"
192.025,0.1,7,2025-05-03,77,"36",1,"65-130"
224.5375,0.25,7,2025-05-03,77,"36",1,"65-130"
322.125,0.5,7,2025-05-03,77,"36",1,"65-130"
422.625,0.75,7,2025-05-03,77,"36",1,"65-130"
463.18,0.9,7,2025-05-03,77,"36",1,"65-130"
481.8,0.95,7,2025-05-03,77,"36",1,"65-130"
523.8,0.975,7,2025-05-03,77,"36",1,"65-130"
559.5,0.99,7,2025-05-03,77,"36",1,"65-130"
155.3273245684,0.01,12,2025-05-03,77,"36",1,"0-130"
236.1325516112,0.025,12,2025-05-03,77,"36",1,"0-130"
298.0631737386,0.05,12,2025-05-03,77,"36",1,"0-130"
325.0959201203,0.1,12,2025-05-03,77,"36",1,"0-130"
427.8607326812,0.25,12,2025-05-03,77,"36",1,"0-130"
627.2436903661,0.5,12,2025-05-03,77,"36",1,"0-130"
709.6252696205,0.75,12,2025-05-03,77,"36",1,"0-130"
817.5988998871,0.9,12,2025-05-03,77,"36",1,"0-130"
999.1098190604,0.95,12,2025-05-03,77,"36",1,"0-130"
1103.1700206072,0.975,12,2025-05-03,77,"36",1,"0-130"
1194.14,0.99,12,2025-05-03,77,"36",1,"0-130"
75.7283446251,0.01,12,2025-05-03,77,"36",1,"0-64"
100.5101380094,0.025,12,2025-05-03,77,"36",1,"0-64"
110.2419888136,0.05,12,2025-05-03,77,"36",1,"0-64"
117.7749181,0.1,12,2025-05-03,77,"36",1,"0-64"
185.4308243585,0.25,12,2025-05-03,77,"36",1,"0-64"
214.8929500236,0.5,12,2025-05-03,77,"36",1,"0-64"
276.8835712198,0.75,12,2025-05-03,77,"36",1,"0-64"
341.7221720733,0.9,12,2025-05-03,77,"36",1,"0-64"
420.1668600184,0.95,12,2025-05-03,77,"36",1,"0-64"
569.345,0.975,12,2025-05-03,77,"36",1,"0-64"
685.716,0.99,12,2025-05-03,77,"36",1,"0-64"
91.6628386052,0.01,12,2025-05-03,77,"36",1,"65-130"
123.4198221093,0.025,12,2025-05-03,77,"36",1,"65-130"
152.2501989722,0.05,12,2025-05-03,77,"36",1,"65-130"
184.0080369572,0.1,12,2025-05-03,77,"36",1,"65-130"
226.373222687,0.25,12,2025-05-03,77,"36",1,"65-130"
378.1890770322,0.5,12,2025-05-03,77,"36",1,"65-130"
432.4974412475,0.75,12,2025-05-03,77,"36",1,"65-130"
480.8583603253,0.9,12,2025-05-03,77,"36",1,"65-130"
537.1317218174,0.95,12,2025-05-03,77,"36",1,"65-130"
580.0747406183,0.975,12,2025-05-03,77,"36",1,"65-130"
623.5692807948,0.99,12,2025-05-03,77,"36",1,"65-130"
141.6306513688,0.01,15,2025-05-03,77,"36",1,"0-130"
183.71595089,0.025,15,2025-05-03,77,"36",1,"0-130"
231.5631209664,0.05,15,2025-05-03,77,"36",1,"0-130"
303.0428646849,0.1,15,2025-05-03,77,"36",1,"0-130"
373.1324303938,0.25,15,2025-05-03,77,"36",1,"0-130"
620.9713310409,0.5,15,2025-05-03,77,"36",1,"0-130"
712.7568281517,0.75,15,2025-05-03,77,"36",1,"0-130"
852.4093299747,0.9,15,2025-05-03,77,"36",1,"0-130"
1095.3916203701,0.95,15,2025-05-03,77,"36",1,"0-130"
1285.9235614893,0.975,15,2025-05-03,77,"36",1,"0-130"
1558.5761027958,0.99,15,2025-05-03,77,"36",1,"0-130"
46.5419778523,0.01,15,2025-05-03,77,"36",1,"0-64"
56.4270795256,0.025,15,2025-05-03,77,"36",1,"0-64"
73.1560529776,0.05,15,2025-05-03,77,"36",1,"0-64"
104.7188398302,0.1,15,2025-05-03,77,"36",1,"0-64"
147.6349207671,0.25,15,2025-05-03,77,"36",1,"0-64"
214.2678081443,0.5,15,2025-05-03,77,"36",1,"0-64"
285.1822936992,0.75,15,2025-05-03,77,"36",1,"0-64"
416.565657343,0.9,15,2025-05-03,77,"36",1,"0-64"
617.7642994578,0.95,15,2025-05-03,77,"36",1,"0-64"
679.275729473,0.975,15,2025-05-03,77,"36",1,"0-64"
739.6940014354,0.99,15,2025-05-03,77,"36",1,"0-64"
69.1471078687,0.01,15,2025-05-03,77,"36",1,"65-130"
98.2676009882,0.025,15,2025-05-03,77,"36",1,"65-130"
