"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
51.9,0.01,3,2025-05-03,77,"39",1,"0-130"
58.4,0.025,3,2025-05-03,77,"39",1,"0-130"
60.4,0.05,3,2025-05-03,77,"39",1,"0-130"
64.3,0.1,3,2025-05-03,77,"39",1,"0-130"
77.3,0.25,3,2025-05-03,77,"39",1,"0-130"
124.3,0.5,3,2025-05-03,77,"39",1,"0-130"
214.1,0.75,3,2025-05-03,77,"39",1,"0-130"
346.7,0.9,3,2025-05-03,77,"39",1,"0-130"
475.4,0.95,3,2025-05-03,77,"39",1,"0-130"
540.9,0.975,3,2025-05-03,77,"39",1,"0-130"
588.9,0.99,3,2025-05-03,77,"39",1,"0-130"
34.9,0.01,3,2025-05-03,77,"39",1,"0-64"
40.1,0.025,3,2025-05-03,77,"39",1,"0-64"
41.6,0.05,3,2025-05-03,77,"39",1,"0-64"
46.4,0.1,3,2025-05-03,77,"39",1,"0-64"
54.6,0.25,3,2025-05-03,77,"39",1,"0-64"
86.1,0.5,3,2025-05-03,77,"39",1,"0-64"
150.6,0.75,3,2025-05-03,77,"39",1,"0-64"
208.7,0.9,3,2025-05-03,77,"39",1,"0-64"
289,0.95,3,2025-05-03,77,"39",1,"0-64"
326.3,0.975,3,2025-05-03,77,"39",1,"0-64"
348.2,0.99,3,2025-05-03,77,"39",1,"0-64"
16.3,0.01,3,2025-05-03,77,"39",1,"65-130"
17.4,0.025,3,2025-05-03,77,"39",1,"65-130"
18.7,0.05,3,2025-05-03,77,"39",1,"65-130"
19.1,0.1,3,2025-05-03,77,"39",1,"65-130"
22.5,0.25,3,2025-05-03,77,"39",1,"65-130"
37,0.5,3,2025-05-03,77,"39",1,"65-130"
67.3,0.75,3,2025-05-03,77,"39",1,"65-130"
138.1,0.9,3,2025-05-03,77,"39",1,"65-130"
190,0.95,3,2025-05-03,77,"39",1,"65-130"
215.3,0.975,3,2025-05-03,77,"39",1,"65-130"
231.8,0.99,3,2025-05-03,77,"39",1,"65-130"
55.6,0.01,6,2025-05-03,77,"39",1,"0-130"
62.7,0.025,6,2025-05-03,77,"39",1,"0-130"
67,0.05,6,2025-05-03,77,"39",1,"0-130"
77.4,0.1,6,2025-05-03,77,"39",1,"0-130"
96.6,0.25,6,2025-05-03,77,"39",1,"0-130"
121.7,0.5,6,2025-05-03,77,"39",1,"0-130"
163.3,0.75,6,2025-05-03,77,"39",1,"0-130"
190.3,0.9,6,2025-05-03,77,"39",1,"0-130"
213.9,0.95,6,2025-05-03,77,"39",1,"0-130"
221.4,0.975,6,2025-05-03,77,"39",1,"0-130"
226.8,0.99,6,2025-05-03,77,"39",1,"0-130"
27.2,0.01,6,2025-05-03,77,"39",1,"0-64"
30.7,0.025,6,2025-05-03,77,"39",1,"0-64"
32.8,0.05,6,2025-05-03,77,"39",1,"0-64"
37.9,0.1,6,2025-05-03,77,"39",1,"0-64"
47.3,0.25,6,2025-05-03,77,"39",1,"0-64"
59.6,0.5,6,2025-05-03,77,"39",1,"0-64"
80,0.75,6,2025-05-03,77,"39",1,"0-64"
93.2,0.9,6,2025-05-03,77,"39",1,"0-64"
104.8,0.95,6,2025-05-03,77,"39",1,"0-64"
108.4,0.975,6,2025-05-03,77,"39",1,"0-64"
111.1,0.99,6,2025-05-03,77,"39",1,"0-64"
28.4,0.01,6,2025-05-03,77,"39",1,"65-130"
32,0.025,6,2025-05-03,77,"39",1,"65-130"
34.2,0.05,6,2025-05-03,77,"39",1,"65-130"
39.5,0.1,6,2025-05-03,77,"39",1,"65-130"
49.3,0.25,6,2025-05-03,77,"39",1,"65-130"
62.1,0.5,6,2025-05-03,77,"39",1,"65-130"
83.3,0.75,6,2025-05-03,77,"39",1,"65-130"
97.1,0.9,6,2025-05-03,77,"39",1,"65-130"
109.2,0.95,6,2025-05-03,77,"39",1,"65-130"
113,0.975,6,2025-05-03,77,"39",1,"65-130"
