"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
8.1,0.01,3,2025-05-03,77,"41",1,"0-130"
8.5,0.025,3,2025-05-03,77,"41",1,"0-130"
9.5,0.05,3,2025-05-03,77,"41",1,"0-130"
10.5,0.1,3,2025-05-03,77,"41",1,"0-130"
16.3,0.25,3,2025-05-03,77,"41",1,"0-130"
23.7,0.5,3,2025-05-03,77,"41",1,"0-130"
41.4,0.75,3,2025-05-03,77,"41",1,"0-130"
65.2,0.9,3,2025-05-03,77,"41",1,"0-130"
77.8,0.95,3,2025-05-03,77,"41",1,"0-130"
83.2,0.975,3,2025-05-03,77,"41",1,"0-130"
87.5,0.99,3,2025-05-03,77,"41",1,"0-130"
5.6,0.01,3,2025-05-03,77,"41",1,"0-64"
6.1,0.025,3,2025-05-03,77,"41",1,"0-64"
6.6,0.05,3,2025-05-03,77,"41",1,"0-64"
7.3,0.1,3,2025-05-03,77,"41",1,"0-64"
11.1,0.25,3,2025-05-03,77,"41",1,"0-64"
15.8,0.5,3,2025-05-03,77,"41",1,"0-64"
26.7,0.75,3,2025-05-03,77,"41",1,"0-64"
38.8,0.9,3,2025-05-03,77,"41",1,"0-64"
47,0.95,3,2025-05-03,77,"41",1,"0-64"
50,0.975,3,2025-05-03,77,"41",1,"0-64"
52,0.99,3,2025-05-03,77,"41",1,"0-64"
2.2,0.01,3,2025-05-03,77,"41",1,"65-130"
2.5,0.025,3,2025-05-03,77,"41",1,"65-130"
3,0.05,3,2025-05-03,77,"41",1,"65-130"
3.3,0.1,3,2025-05-03,77,"41",1,"65-130"
5.4,0.25,3,2025-05-03,77,"41",1,"65-130"
8,0.5,3,2025-05-03,77,"41",1,"65-130"
14.9,0.75,3,2025-05-03,77,"41",1,"65-130"
26.5,0.9,3,2025-05-03,77,"41",1,"65-130"
30.2,0.95,3,2025-05-03,77,"41",1,"65-130"
33.6,0.975,3,2025-05-03,77,"41",1,"65-130"
35.5,0.99,3,2025-05-03,77,"41",1,"65-130"
0.8,0.01,6,2025-05-03,77,"41",1,"0-130"
1.7,0.025,6,2025-05-03,77,"41",1,"0-130"
2.2,0.05,6,2025-05-03,77,"41",1,"0-130"
3.4,0.1,6,2025-05-03,77,"41",1,"0-130"
4.2,0.25,6,2025-05-03,77,"41",1,"0-130"
6.5,0.5,6,2025-05-03,77,"41",1,"0-130"
10.1,0.75,6,2025-05-03,77,"41",1,"0-130"
14.7,0.9,6,2025-05-03,77,"41",1,"0-130"
17.9,0.95,6,2025-05-03,77,"41",1,"0-130"
19.2,0.975,6,2025-05-03,77,"41",1,"0-130"
27.4,0.99,6,2025-05-03,77,"41",1,"0-130"
0.4,0.01,6,2025-05-03,77,"41",1,"0-64"
0.8,0.025,6,2025-05-03,77,"41",1,"0-64"
1,0.05,6,2025-05-03,77,"41",1,"0-64"
1.6,0.1,6,2025-05-03,77,"41",1,"0-64"
2,0.25,6,2025-05-03,77,"41",1,"0-64"
3.1,0.5,6,2025-05-03,77,"41",1,"0-64"
4.8,0.75,6,2025-05-03,77,"41",1,"0-64"
7,0.9,6,2025-05-03,77,"41",1,"0-64"
8.5,0.95,6,2025-05-03,77,"41",1,"0-64"
9.1,0.975,6,2025-05-03,77,"41",1,"0-64"
13,0.99,6,2025-05-03,77,"41",1,"0-64"
0.4,0.01,6,2025-05-03,77,"41",1,"65-130"
0.9,0.025,6,2025-05-03,77,"41",1,"65-130"
1.1,0.05,6,2025-05-03,77,"41",1,"65-130"
1.8,0.1,6,2025-05-03,77,"41",1,"65-130"
2.2,0.25,6,2025-05-03,77,"41",1,"65-130"
3.4,0.5,6,2025-05-03,77,"41",1,"65-130"
5.3,0.75,6,2025-05-03,77,"41",1,"65-130"
7.7,0.9,6,2025-05-03,77,"41",1,"65-130"
9.4,0.95,6,2025-05-03,77,"41",1,"65-130"
10.1,0.975,6,2025-05-03,77,"41",1,"65-130"
14.3,0.99,6,2025-05-03,77,"41",1,"65-130"
