"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
30.7,0.01,3,2025-05-03,77,"45",1,"0-130"
31.9,0.025,3,2025-05-03,77,"45",1,"0-130"
36.5,0.05,3,2025-05-03,77,"45",1,"0-130"
40.4,0.1,3,2025-05-03,77,"45",1,"0-130"
51.1,0.25,3,2025-05-03,77,"45",1,"0-130"
71,0.5,3,2025-05-03,77,"45",1,"0-130"
104.5,0.75,3,2025-05-03,77,"45",1,"0-130"
140.2,0.9,3,2025-05-03,77,"45",1,"0-130"
149,0.95,3,2025-05-03,77,"45",1,"0-130"
169.9,0.975,3,2025-05-03,77,"45",1,"0-130"
206.7,0.99,3,2025-05-03,77,"45",1,"0-130"
21.6,0.01,3,2025-05-03,77,"45",1,"0-64"
22.4,0.025,3,2025-05-03,77,"45",1,"0-64"
24.9,0.05,3,2025-05-03,77,"45",1,"0-64"
28,0.1,3,2025-05-03,77,"45",1,"0-64"
35.8,0.25,3,2025-05-03,77,"45",1,"0-64"
48,0.5,3,2025-05-03,77,"45",1,"0-64"
68,0.75,3,2025-05-03,77,"45",1,"0-64"
90.5,0.9,3,2025-05-03,77,"45",1,"0-64"
94.8,0.95,3,2025-05-03,77,"45",1,"0-64"
103.1,0.975,3,2025-05-03,77,"45",1,"0-64"
129.7,0.99,3,2025-05-03,77,"45",1,"0-64"
9.1,0.01,3,2025-05-03,77,"45",1,"65-130"
9.2,0.025,3,2025-05-03,77,"45",1,"65-130"
10.7,0.05,3,2025-05-03,77,"45",1,"65-130"
12.3,0.1,3,2025-05-03,77,"45",1,"65-130"
15.2,0.25,3,2025-05-03,77,"45",1,"65-130"
22.6,0.5,3,2025-05-03,77,"45",1,"65-130"
32.6,0.75,3,2025-05-03,77,"45",1,"65-130"
49.4,0.9,3,2025-05-03,77,"45",1,"65-130"
56.8,0.95,3,2025-05-03,77,"45",1,"65-130"
66.5,0.975,3,2025-05-03,77,"45",1,"65-130"
77.2,0.99,3,2025-05-03,77,"45",1,"65-130"
20.6,0.01,6,2025-05-03,77,"45",1,"0-130"
27.6,0.025,6,2025-05-03,77,"45",1,"0-130"
35.9,0.05,6,2025-05-03,77,"45",1,"0-130"
40.6,0.1,6,2025-05-03,77,"45",1,"0-130"
47.3,0.25,6,2025-05-03,77,"45",1,"0-130"
63.9,0.5,6,2025-05-03,77,"45",1,"0-130"
75.1,0.75,6,2025-05-03,77,"45",1,"0-130"
86.5,0.9,6,2025-05-03,77,"45",1,"0-130"
89.8,0.95,6,2025-05-03,77,"45",1,"0-130"
98.4,0.975,6,2025-05-03,77,"45",1,"0-130"
101.5,0.99,6,2025-05-03,77,"45",1,"0-130"
10.1,0.01,6,2025-05-03,77,"45",1,"0-64"
13.5,0.025,6,2025-05-03,77,"45",1,"0-64"
17.6,0.05,6,2025-05-03,77,"45",1,"0-64"
19.9,0.1,6,2025-05-03,77,"45",1,"0-64"
23.2,0.25,6,2025-05-03,77,"45",1,"0-64"
31.3,0.5,6,2025-05-03,77,"45",1,"0-64"
36.8,0.75,6,2025-05-03,77,"45",1,"0-64"
42.4,0.9,6,2025-05-03,77,"45",1,"0-64"
44,0.95,6,2025-05-03,77,"45",1,"0-64"
48.3,0.975,6,2025-05-03,77,"45",1,"0-64"
49.8,0.99,6,2025-05-03,77,"45",1,"0-64"
10.5,0.01,6,2025-05-03,77,"45",1,"65-130"
14,0.025,6,2025-05-03,77,"45",1,"65-130"
18.3,0.05,6,2025-05-03,77,"45",1,"65-130"
20.7,0.1,6,2025-05-03,77,"45",1,"65-130"
24.1,0.25,6,2025-05-03,77,"45",1,"65-130"
32.5,0.5,6,2025-05-03,77,"45",1,"65-130"
38.2,0.75,6,2025-05-03,77,"45",1,"65-130"
44.1,0.9,6,2025-05-03,77,"45",1,"65-130"
45.7,0.95,6,2025-05-03,77,"45",1,"65-130"
50.1,0.975,6,2025-05-03,77,"45",1,"65-130"
51.7,0.99,6,2025-05-03,77,"45",1,"65-130"
34.391,0.01,7,2025-05-03,77,"45",1,"0-130"
35.47375,0.025,7,2025-05-03,77,"45",1,"0-130"
38.3925,0.05,7,2025-05-03,77,"45",1,"0-130"
41.935,0.1,7,2025-05-03,77,"45",1,"0-130"
49.7125,0.25,7,2025-05-03,77,"45",1,"0-130"
67.45,0.5,7,2025-05-03,77,"45",1,"0-130"
