"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
11.7,0.01,3,2025-05-03,77,"49",1,"0-130"
13.4,0.025,3,2025-05-03,77,"49",1,"0-130"
14.1,0.05,3,2025-05-03,77,"49",1,"0-130"
15.9,0.1,3,2025-05-03,77,"49",1,"0-130"
21.7,0.25,3,2025-05-03,77,"49",1,"0-130"
27.6,0.5,3,2025-05-03,77,"49",1,"0-130"
39.9,0.75,3,2025-05-03,77,"49",1,"0-130"
50.3,0.9,3,2025-05-03,77,"49",1,"0-130"
53,0.95,3,2025-05-03,77,"49",1,"0-130"
56.1,0.975,3,2025-05-03,77,"49",1,"0-130"
58.3,0.99,3,2025-05-03,77,"49",1,"0-130"
8.8,0.01,3,2025-05-03,77,"49",1,"0-64"
9.9,0.025,3,2025-05-03,77,"49",1,"0-64"
10.6,0.05,3,2025-05-03,77,"49",1,"0-64"
12.1,0.1,3,2025-05-03,77,"49",1,"0-64"
16.1,0.25,3,2025-05-03,77,"49",1,"0-64"
20.5,0.5,3,2025-05-03,77,"49",1,"0-64"
29.2,0.75,3,2025-05-03,77,"49",1,"0-64"
34.9,0.9,3,2025-05-03,77,"49",1,"0-64"
37.4,0.95,3,2025-05-03,77,"49",1,"0-64"
39.5,0.975,3,2025-05-03,77,"49",1,"0-64"
39.9,0.99,3,2025-05-03,77,"49",1,"0-64"
2.7,0.01,3,2025-05-03,77,"49",1,"65-130"
3,0.025,3,2025-05-03,77,"49",1,"65-130"
3.4,0.05,3,2025-05-03,77,"49",1,"65-130"
3.8,0.1,3,2025-05-03,77,"49",1,"65-130"
5.4,0.25,3,2025-05-03,77,"49",1,"65-130"
7.2,0.5,3,2025-05-03,77,"49",1,"65-130"
10.8,0.75,3,2025-05-03,77,"49",1,"65-130"
14.3,0.9,3,2025-05-03,77,"49",1,"65-130"
16.2,0.95,3,2025-05-03,77,"49",1,"65-130"
17.7,0.975,3,2025-05-03,77,"49",1,"65-130"
18.6,0.99,3,2025-05-03,77,"49",1,"65-130"
0.7,0.01,6,2025-05-03,77,"49",1,"0-130"
0.7,0.025,6,2025-05-03,77,"49",1,"0-130"
0.9,0.05,6,2025-05-03,77,"49",1,"0-130"
1,0.1,6,2025-05-03,77,"49",1,"0-130"
1.5,0.25,6,2025-05-03,77,"49",1,"0-130"
23.4,0.5,6,2025-05-03,77,"49",1,"0-130"
36.5,0.75,6,2025-05-03,77,"49",1,"0-130"
44.3,0.9,6,2025-05-03,77,"49",1,"0-130"
49.5,0.95,6,2025-05-03,77,"49",1,"0-130"
50,0.975,6,2025-05-03,77,"49",1,"0-130"
50.6,0.99,6,2025-05-03,77,"49",1,"0-130"
0.4,0.01,6,2025-05-03,77,"49",1,"0-64"
0.4,0.025,6,2025-05-03,77,"49",1,"0-64"
0.5,0.05,6,2025-05-03,77,"49",1,"0-64"
0.6,0.1,6,2025-05-03,77,"49",1,"0-64"
0.9,0.25,6,2025-05-03,77,"49",1,"0-64"
13.4,0.5,6,2025-05-03,77,"49",1,"0-64"
20.9,0.75,6,2025-05-03,77,"49",1,"0-64"
25.4,0.9,6,2025-05-03,77,"49",1,"0-64"
28.3,0.95,6,2025-05-03,77,"49",1,"0-64"
28.6,0.975,6,2025-05-03,77,"49",1,"0-64"
